平谷山水放歌别墅,平谷-平谷其他区-东湖路8号,117.259086,40.219821,9461,↓2.32%,247,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
乐园东小区,平谷-平谷其他区-平翔路,117.12705,40.158527,21276,↓1.15%,10,1,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,暂无数据,北京市城市改建综合开发总公司,业主自管,
鼎基公寓,平谷-平谷其他区-文化南街,117.118993,40.142408,32923,——,5,0,暂无数据,0.80元/平米/月,10000m²,暂无数据,2006年,充足,2,30%(一般),北京新昱昊海房地产开发有限公司,业主自管,平谷三小,
春曦园小区,平谷-平谷其他区-平谷南街,117.113845,40.161784,29352,↑3.94%,9,7,公寓,0.75元/平米/月,暂无数据,暂无数据,2008年,地上150元/月,1.49,35%(一般),北京亚连房地产开发有限公司,居民自管委,平谷六小,
粮食局家属楼,平谷-平谷县城-新平北路30号,117.127717,40.15038,28649,↓2.98%,14,0,暂无数据,0.80元/平米/月,100000m²,2000户,暂无数据,10000,暂无数据,40%(高),暂无数据,暂无数据,平谷一小,
金谷东园,平谷-平谷县城-新开西街,117.107665,40.148795,25048,↓0.74%,13,10,暂无数据,0.50元/平米/月,20000m²,暂无数据,2007年,充足,1.5,20%(一般),北京金谷科工贸集团公司,北京金谷科工贸物业公司,
中昂邑上原著,平谷-平谷其他区-平谷大街,117.109711,40.161098,28905,↑11.98%,70,4,暂无数据,4.98元/平米/月,暂无数据,暂无数据,2015年,暂无数据,0.6,50%(高),北京昂内，中天置业有限公司,北京远景方舟物业管理有限公司,
腾飞园,平谷-平谷其他区-马坊大街109号,117.005071,40.054361,24157,↓11.19%,82,1,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.64,30%(一般),北京飞腾房地产开发有限公司,北京龙腾房地产开发有限公司,
乐园西小区,平谷-平谷其他区-平谷南街,117.121523,40.15869,25437,↓0.16%,84,15,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2003年,充足,暂无数据,30%(一般),北京金隅嘉业房地产开发有限公司,北京芳星园物业管理中心,平谷六小,
林荫家园,平谷-平谷其他区-林荫南街9-16号,117.109148,40.141672,29116,↓1.04%,67,9,暂无数据,1.30元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2,30%(一般),北京兴谷园房地产开发有限公司,都明豪廷物业公司,平谷一小,
天润香墅湾1号,平谷-平谷其他区-平谷体育中心西路6号,117.07979,40.149749,38380,↑2.64%,36,9,暂无数据,暂无数据,479180m²,2000户,2013年,1121,1.75,50%(高),天润同泰置业有限公司,北京盛世物业服务有限公司,
夏各庄新城,平谷-平谷其他区-北一路,117.203816,40.130941,19060,↓1.25%,10,4,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2017年,暂无数据,暂无数据,暂无数据,北京弘轩鼎成房地产开发有限公司,北京中弘文昌物业管理有限公司夏各庄由山由谷分公司,
腾龙源城,平谷-平谷其他区-谷丰路39号,117.121303,40.162464,29548,↓5.23%,21,4,公寓,2.50元/平米/月,75054m²,639户,2011年,停车位充足,暂无数据,30%(一般),北京腾龙嘉华房地产开发有限公司,北京怡景源城物业管理有限公司,平谷六小,
新平北路5号院,平谷-平谷其他区-新平北路5号,117.136712,40.153532,26962,↓1.52%,27,3,暂无数据,0.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,暂无数据,
平翔东园,平谷-平谷其他区-平谷南大街,117.131997,40.159468,21938,↓0.83%,17,0,公寓,0.46元/平米/月,暂无数据,暂无数据,1999年,暂无数据,暂无数据,40%(高),北京市平谷区和平农工商联合总公司,居民自管,
世外桃苑,平谷-平谷其他区-黑豆峪佛山南街188号,117.249656,40.20562,22110,↑6.11%,45,0,暂无数据,3.20元/平米/月,25000m²,暂无数据,2014年,暂无数据,0.6,51%(高),北京八通房地产开发有限公司,北京金蝉物业管理有限公司,
都丽豪庭,平谷-平谷县城-新开街,117.123169,40.148191,35463,↓0.03%,22,4,公寓,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,10%(低),暂无数据,暂无数据,平谷一小,
中弘由山由谷,平谷-平谷其他区-夏大路,117.188804,40.126013,20693,↑3.47%,54,2,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2017年,暂无数据,1.07,40%(高),北京弘轩鼎成房地产开发有限公司,北京中弘文昌物业管理有限公司,
兴谷园小区,平谷-平谷其他区-平翔路,117.131241,40.162341,22979,↓13.13%,43,3,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,45%(高),暂无数据,北京公正明物业管理服务有限公司,
新华联慧谷,平谷-平谷其他区-小屯新路2号,117.024011,40.071653,26807,↓3.56%,300,3,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.8,15%(低),北京新华联伟业房地产有限公司,北京悦豪物业管理有限公司,
新平北路1号院,平谷-平谷其他区-新平北路1号,117.138218,40.155116,22081,↓7.86%,31,1,公寓,0.49元/平米/月,暂无数据,暂无数据,2001年,100,2.7,70%(高),北京诚信瑞祥物业管理有限公司,北京诚信瑞祥物业管理有限公司,
平谷胜利小区,平谷-平谷其他区-旧城街,117.135712,40.145669,27291,↑2.41%,66,4,暂无数据,0.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1.3,30%(一般),暂无数据,顺义房管所,
海关西园,平谷-平谷其他区-海关南路,117.096344,40.143781,24712,↓3.73%,57,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,150元/车位/月,4.3,30%(一般),暂无数据,暂无数据,
紫贵庄园,平谷-平谷县城-新平北路,117.107634,40.15047,36322,↑20.48%,29,14,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2010年,暂无数据,2.38,30%(一般),北京银宴禄辰房地产开发有限公司,北京海泰家园物业管理有限公司,
首城汇景湾(别墅),平谷-平谷其他区-金河街108号,117.010206,40.067602,26666,↑1.06%,420,0,暂无数据,暂无数据,暂无数据,暂无数据,2014年,暂无数据,0.8,30%(一般),北京首城置业有限公司,2.46,
首城汇景湾(西区),平谷-平谷其他区-金河街108号,117.012959,40.065306,28882,↓0.33%,477,2,暂无数据,2.46元/平米/月,248590m²,暂无数据,2014年,暂无数据,1.2,30%(一般),北京首城置业有限公司,北京城承物业管理有限责任公司,
新华联YOYO悦城,平谷-平谷其他区-沿密三路,117.016756,40.065519,16089,↑3.23%,1133,2,公寓,5.30元/平米/月,暂无数据,暂无数据,2016年,暂无数据,1.94,30%(一般),北京新华联悦谷商业地产有限公司,北京悦豪物业管理有限公司,
建兰馨居,平谷-平谷其他区-建设街,117.126887,40.14234,26436,↓0.83%,16,1,暂无数据,暂无数据,74000m²,300户,暂无数据,充足,2,40%(高),暂无数据,暂无数据,平谷三小,
新开街小区,平谷-平谷县城-新开街,117.12732,40.148082,28893,↓2.99%,7,4,暂无数据,暂无数据,暂无数据,暂无数据,2002年,暂无数据,1.8,30%(一般),新开有限公司,春成物业,平谷一小,
滨河小区,平谷-平谷其他区-新平南街,117.120605,40.138923,32152,↓0.64%,40,8,暂无数据,0.30元/平米/月,暂无数据,暂无数据,1992年,暂无数据,暂无数据,30%(一般),北京大龙伟业房地产开发股份有限公司,北京大龙绿港物业管理有限公司,平谷三小,
金谷园,平谷-平谷县城-新平西路,117.104634,40.149408,26724,↑0.80%,66,4,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1997年,暂无数据,1.5,30%(一般),北京集达房地产开发有限公司,北京金谷科工贸物业公司,
万德福广场,平谷-平谷其他区-顺平路,117.100562,40.152334,19814,↓8.28%,3,11,暂无数据,2.95元/平米/月,暂无数据,暂无数据,2015年,暂无数据,4.25,30%(一般),北京九源富春房地产开发有限公司,暂无数据,
东方国际公寓,平谷-平谷其他区-林荫南街,117.110776,40.145476,28487,↓0.19%,1,3,暂无数据,暂无数据,暂无数据,暂无数据,1999年,暂无数据,暂无数据,30%(一般),北京世纪城房地产开发有限公司,北京恒成行房地产经纪有限公司,
平谷中学家属楼,平谷-平谷其他区-建设街7号,117.125184,40.14394,22448,↑8.67%,3,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
邑上原著,平谷-平谷其他区-平谷南街,117.110056,40.160847,34669,↑2.65%,11,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,北京昂内，中天置业有限公司,北京远景方舟物业管理有限公司,
平谷向阳楼,平谷-平谷县城-向阳北街,117.125708,40.148341,29449,↓7.38%,1,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,平谷一小,
平翔园,平谷-平谷其他区-平翔路,117.132082,40.158956,21670,↓1.05%,5,0,暂无数据,1.80元/平米/月,暂无数据,暂无数据,1995年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
桃花源木墅,平谷-平谷其他区-平谷4A景区,117.266741,40.216175,57857,↑280.91%,2,3,暂无数据,暂无数据,暂无数据,暂无数据,2010年,暂无数据,0.5,45%(高),北京庄园时代旅游资源开发有限公司,暂无数据,
