龙山新新小镇,怀柔-怀柔-京承高速,116.64203,40.292198,30106,↓0.74%,419,8,暂无数据,2.20元/平米/月,360000m²,1000户,2007年,充1；1.1,0.47,50%(高),北京万通龙山置业有限公司,北京万通鼎安国际物业管理顾问有限公司,
融城小区(融城园南区),怀柔-怀柔-南华大街,116.639714,40.298286,30284,↓0.44%,45,5,公寓,3.00元/平米/月,暂无数据,暂无数据,2005年,168,2.2,30%(一般),中实投资有限责任公司,上海启胜物业管理服务公司,
益田影人四季花园,怀柔-怀柔-杨雁路,116.682225,40.290007,37335,↓1.39%,70,19,暂无数据,0.55元/平米/月,100000m²,600户,2011年,330,1.8,30%(一般),北京亿来置业有限公司,北京亿来物业管理有限公司,
金第梦想山,怀柔-怀柔-和平南路,116.693073,40.289299,36735,↑0.35%,48,30,暂无数据,2.00元/平米/月,34070m²,428户,2013年,150,2.5,30%(一般),北京金第房地产开发有限责任公司,北京北宇物业服务公司,
融城小区(融城园北区),怀柔-怀柔-南华大街,116.636983,40.300645,31013,↓2.69%,92,21,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2006年,120,暂无数据,暂无数据,北京金源鸿大房地产开发有限公司,上海启胜物业管理有限公司,
中建府前观邸,怀柔-怀柔-府前街9号,116.640974,40.324019,47349,↓1.19%,81,13,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2013年,300,2.47,30%(一般),北京市昂力房地产开发有限公司,北京长城物业管理有限公司,怀柔三小,
青春路九院,怀柔-怀柔-青春路,116.634435,40.329035,37553,↓4.09%,62,25,暂无数据,0.50元/平米/月,15000m²,暂无数据,2000年,充足,1.5,15%(低),无,居民自管委。,光明小学怀柔分校,
凤瑞二园,怀柔-怀柔-凤翔大街,116.686529,40.29146,31494,↓0.71%,26,11,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
龙泉小区东区,怀柔-怀柔-桥梓镇北宅村005县道,116.569465,40.340997,16410,↑0.33%,8,3,暂无数据,2.00元/平米/月,24680m²,286户,2000年,266,2.91,35%(一般),北京龙脉温泉房地产开发有限责任公司,北京奥和物业有限公司,怀柔中心小学,
龙山御景,怀柔-怀柔-龙山东路,116.632442,40.318052,44321,↓0.99%,120,21,暂无数据,2.53元/平米/月,暂无数据,暂无数据,2012年,500,2.6,30%(一般),北京安宝房地产开发有限公司,居民自管委,光明小学怀柔分校,
湖光小区,怀柔-怀柔-湖光北街,116.633703,40.340151,38164,↓0.58%,151,36,暂无数据,1.12元/平米/月,9000m²,700户,2000年,700,2,35%(一般),北京世纪今创房地产开发有限公司,北京华泰物业管理有限公司,怀柔一小,
世嘉光织谷(东区),怀柔-怀柔-乐园西大街13号,116.667133,40.355732,37905,↑0.94%,155,62,暂无数据,2.80元/平米/月,210761m²,2500户,2008年,2500,1.6,34%(一般),北京军建育龙房地产开发有限责任公司,北京网信物业管理有限公司,
青春苑(西区),怀柔-怀柔-西园小街,116.63405,40.326354,39887,↑0.28%,59,25,暂无数据,0.50元/平米/月,50000m²,暂无数据,1998年,充足,2,40%(高),北京宏怀房地产开发有限公司,怀建物业,光明小学怀柔分校,
茶坞铁路小区,怀柔-怀柔-怀昌路,116.560637,40.287619,14208,↓19.73%,4,0,暂无数据,0.72元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,25%(一般),暂无数据,居民自管委,
天恒半山世家,怀柔-怀柔-红螺路39号,116.629948,40.362258,46664,↑11.04%,55,0,暂无数据,3.98元/平米/月,38000m²,118户,2012年,暂无数据,0.32,50%(高),北京山天置业有限公司,北京鼎泽物业有限公司,
八龙桥雅苑,怀柔-怀柔-怀昌路,116.590712,40.297118,32147,↓1.91%,95,3,暂无数据,0.80元/平米/月,60000m²,暂无数据,2007年,充足,1.3,30%(一般),北京慧友房地产开发有限责任公司,北京慧友物业管理有限公司,
汇都家园,怀柔-怀柔-迎宾中路206号,116.646911,40.337297,40197,↑0.77%,113,13,暂无数据,1.06元/平米/月,684000m²,暂无数据,2000年,暂无数据,2,30%(一般),无,居民自管委,
龙祥小区,怀柔-怀柔-南大街31号,116.635108,40.317812,36018,↑6.25%,25,0,暂无数据,0.56元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3,30%(一般),暂无数据,居民自管委,光明小学怀柔分校,
天韵家园,怀柔-怀柔-兴怀大街,116.638582,40.327717,41109,↓4.91%,7,10,暂无数据,2.56元/平米/月,暂无数据,暂无数据,2000年,120,暂无数据,32%(一般),无,居民自管委,怀柔一小,
香水城南区,怀柔-怀柔-杨艳路,116.683354,40.291685,32129,↑1.68%,103,2,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2010年,暂无数据,0.45,40%(高),北京凤桐祥瑞房地产开发有限公司,北京金罗马物业管理有限公司,
