首开铂郡,朝阳-三里屯-新东路12号,116.457691,39.944634,94292,↓0.52%,264,412,公寓,5.60元/平米/月,200000m²,1650户,2011年,1000,3.97,30%(一般),北京首都开发控股（集团）有限公司,北京嘉宝物业管理有限公司,
幸福一村,朝阳-三里屯-工人体育场北路,116.454652,39.940786,91647,↓0.13%,99,43,暂无数据,1.36元/平米/月,100000m²,432户,1998年,充足,暂无数据,30%(一般),北京天鸿宝业房地产股份有限公司,北京天鸿宝地物业管理经营有限公司,朝阳实验小学,
新源里东小区,朝阳-三里屯-新源街,116.456784,39.956725,74149,↑0.18%,78,36,暂无数据,0.50元/平米/月,80000m²,302户,1985年,1200,2,30%(一般),北京住总房地产开发有限责任公司,北京市朝阳区物业管理有限公司左家庄分公司,
世方豪庭,朝阳-三里屯-新源南路16号,116.457208,39.954645,77536,↑0.12%,15,20,暂无数据,5.00元/平米/月,50000m²,189户,2000年,每户一位,出租500元/月,暂无数据,30%(一般),城峰房地产开发有限公司,保利信物业管理公司,
东三里屯社区,朝阳-三里屯-工人体育场北路,116.46293,39.940168,111435,↓14.80%,8,45,暂无数据,0.80元/平米/月,172000m²,暂无数据,1965年,车位充足,2,40%(高),北京绿都源房地产开发有限公司,社区自管,
港湾国际,朝阳-三里屯-东直门外大街28号,116.453359,39.946466,78947,↓1.82%,26,57,暂无数据,4.28元/平米/月,17000m²,312户,2004年,车位充足,暂无数据,30%(一般),北京兴隆基置业有限公司,北京迪宇物业管理有限责任公司,
三源里生态小区,朝阳-三里屯-新源街,116.460629,39.958341,75040,↓1.15%,133,99,公寓,0.85元/平米/月,35000m²,3100户,1980年,150,2.1,45%(高),北京金陛房地产发展有限公司,北京首华物业管理有限公司,
顺源里小区,朝阳-三里屯-新源街,116.464893,39.956034,79923,↑0.44%,210,123,暂无数据,0.80元/平米/月,65520m²,1092户,1983年,350,2,30%(一般),首创股份有限公司,北京市朝阳区物业管理有限公司左家庄分公司,
逸盛阁,朝阳-三里屯-春秀路,116.457915,39.943447,115190,↑42.55%,7,135,暂无数据,5.30元/平米/月,37233m²,500户,2010年,635,4,30%(一般),北京美迪亚置业有限公司,北京金罗马物业管理有限公司,
SOHO北京公馆,朝阳-三里屯-新源南路5号,116.461334,39.954367,84088,↓2.57%,265,530,暂无数据,16.00元/平米/月,69626m²,235户,2008年,充足,3,30%(一般),北京SOHO有限公司,第一太平戴维斯物业顾问（北京）有限公司,
幸福二村,朝阳-三里屯-春秀路,116.45396,39.944969,88074,↓2.34%,346,445,公寓,2.40元/平米/月,暂无数据,暂无数据,1992年,600,1.6,30%(一般),北京天鸿宝业房地产股份有限公司,北京天鸿宝地物业管理经营有限公司,朝阳实验小学,
锦绣园公寓,朝阳-三里屯-幸福村中路,116.453135,39.942699,75577,↓4.91%,84,33,暂无数据,2.20元/平米/月,50000m²,228户,1999年,200,3.5,35%(一般),北京银信房地产开发有限公司,北京南洋物业管理有限公司,朝阳实验小学,
首开幸福广场,朝阳-三里屯-新东路38-40号,116.456082,39.943184,81639,↑0.62%,170,485,公寓,5.30元/平米/月,暂无数据,暂无数据,2005年,暂无数据,4.09,30%(一般),北京首都房地产开发控股(集团)有限公司,北京天鸿宝地物业管理有限公司,
