金驹家园F区,朝阳-东坝-东坝中街,116.575449,39.964559,27725,↑0.12%,42,247,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2012年,643,暂无数据,暂无数据,北京市朝阳城市建设综合开发公司,朝青物业有限公司,
首开龙湖学府苑,朝阳-东坝-驹子房路,116.558253,39.965007,42941,↓0.70%,67,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,北京锦泰房地产开发有限公司,暂无数据,
金泰丽富嘉园(28号院),朝阳-东坝-东坝中路28号,116.555569,39.963478,51666,↑9.57%,1,117,暂无数据,1.98元/平米/月,416750m²,5956户,2011年,地下：1871个；地上：800个,2.5,30%(一般),北京丽富房地产开发有限公司,北京东翔众合物业管理有限责任公司,
富北嘉园,朝阳-东坝-高杨树中街15号,116.558743,39.953885,48269,↓2.47%,2,8,暂无数据,1.20元/平米/月,23773m²,182户,2013年,156,暂无数据,31%(一般),北京富利房地产开发有限责任公司,北京富乐园物业管理有限公司,
富东嘉园,朝阳-东坝-福东家园路,116.5578,39.951896,51229,↓3.42%,7,62,暂无数据,1.20元/平米/月,15m²,2650户,2000年,150,2,35%(一般),北京富利房地产开发有限责任公司,北京富乐园物业管理有限公司,
金隅景和园,朝阳-东坝-驹子房路,116.559071,39.958021,49288,↓3.90%,32,95,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.7,30%(一般),北京金隅嘉业房地产开发有限公司,金海燕物业管理有限公司东坝分公司,
红松园,朝阳-东坝-东坝中路,116.560662,39.969912,51674,↓0.70%,20,47,暂无数据,1.50元/平米/月,220000m²,3800户,1985年,充足,2.3,30%(一般),华润置地（北京）股份有限公司,机关物业,
奥林匹克花园(一期),朝阳-东坝-天辰东路11号,116.550075,39.96736,68825,↓2.47%,162,105,暂无数据,1.50元/平米/月,520000m²,4000户,2003年,一期869个,二期700个,2.1,40%(高),北京奥林匹克置业投资有限公司,北京奥园物业管理有限公司,北师大奥林匹克花园实验小学,
康静里小区,朝阳-东坝-平房路,116.539154,39.967772,54153,↓1.12%,127,39,暂无数据,1.20元/平米/月,30000m²,2100户,1995年,300,1.4,30%(一般),北京银信兴业房地产开发有限公司,北京房修一物业公司,北师大奥林匹克花园实验小学,
朝新嘉园东里一区,朝阳-东坝-驹子房路,116.561042,39.954908,48675,↓1.70%,187,108,暂无数据,1.98元/平米/月,220000m²,2000户,2006年,1640,1.7,30%(一般),北京金隅嘉业房地产经纪有限公司,金海燕物业管理有限公司东坝分公司,
金隅景和园(朝新嘉园东里七区),朝阳-东坝-驹子房路,116.556791,39.957987,49529,↓1.30%,40,71,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
华纺星海家园,朝阳-东坝-和敬路59号,116.565868,39.966953,28159,↑1.47%,31,21,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,华纺房地产开发有限公司,华纺物业,
奥林匹克花园(三期),朝阳-东坝-东坝中路,116.551628,39.964543,62800,↓0.19%,169,87,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京奥林匹克置业投资有限公司,北京奥园物业管理有限公司,
北京城建福润四季A区,朝阳-东坝-管庄路,116.584256,39.964067,29209,↓0.07%,15,395,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2014年,暂无数据,2.8,30%(一般),北京城建房地产开发有限公司,北京市金源顺达物业有限公司,
首开常青藤B区,朝阳-东坝-东坝中街11号,116.544404,39.973034,71263,↓1.63%,214,146,暂无数据,2.58元/平米/月,446200m²,794户,2004年,500,1.2,40%(高),北京首开天成房地产开发有限公司,北京嘉宝物业管理有限公司,北师大奥林匹克花园实验小学,
奥林匹克花园(四期),朝阳-东坝-东坝南三街,近单店中路,116.548661,39.964255,63724,↓1.27%,88,114,公寓,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京奥林匹克置业投资有限公司,北京奥园物业管理有限公司,
华瀚福园(C区),朝阳-东坝-东坝中路,116.579309,39.967297,37538,↓16.57%,11,35,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,29%(一般),华翰投资集团,和泓物业有限公司,
保利首开天誉,朝阳-东坝-七棵树路,116.540136,39.972352,89008,↓4.17%,8,79,暂无数据,7.80元/平米/月,暂无数据,暂无数据,2017年,暂无数据,2.5,30%(一般),北京朗泰房地产开发有限公司,保利物业管理（北京）有限公司,
朝新嘉园东里五区,朝阳-东坝-驹子房路,116.56539,39.957763,50476,↓1.54%,22,26,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,30%(一般),北京金隅嘉业房地产经纪有限公司,金海燕物业管理有限公司东坝分公司,
首开常青藤C区,朝阳-东坝-单店西路15号,116.539697,39.97067,70438,↑1.16%,82,31,暂无数据,2.58元/平米/月,暂无数据,暂无数据,2012年,暂无数据,1.2,30%(一般),北京首都开发股份有限公司,北京嘉宝物业管理有限公司,北师大奥林匹克花园实验小学,
恒大华府,朝阳-东坝-东坝中街,116.538927,39.974854,117416,↑4.13%,45,0,暂无数据,1.06元/平米/月,暂无数据,暂无数据,2017年,暂无数据,2.5,30%(一般),恒大地产集团有限公司,恒大金碧物业集团有限公司,
首开常青藤E区,朝阳-东坝-东坝南一街2号,116.544242,39.968057,70654,↓0.60%,50,31,暂无数据,2.58元/平米/月,暂无数据,暂无数据,2004年,暂无数据,暂无数据,30%(一般),北京首都开发股份有限公司,北京嘉宝物业管理有限公司,北师大奥林匹克花园实验小学,
利锦府,朝阳-东坝-红松园北里18号院,116.554893,39.972428,77097,↑13.46%,21,147,暂无数据,7.00元/平米/月,暂无数据,暂无数据,2016年,暂无数据,2.8,30%(一般),北京利锦荣房地产开发有限公司,北京百瑞苑物业服务有限公司,
首开龙湖天璞,朝阳-东坝-驹子房路,116.563145,39.973727,78094,↑15.28%,19,47,暂无数据,暂无数据,暂无数据,暂无数据,2017年,暂无数据,2.2,30%(一般),北京锦泰房地产开发有限公司,北京龙湖物业管理有限公司,
朝新嘉园东里二区,朝阳-东坝-驹子房路,116.565066,39.954797,48287,↓3.00%,28,8,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产经纪有限公司,金海燕物业管理有限公司东坝分公司,
朝新嘉园东里三区,朝阳-东坝-驹子房路,116.564972,39.952295,45948,↑1.21%,48,28,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2006年,暂无数据,1.7,30%(一般),北京金隅嘉业房地产经纪有限公司,金海燕物业管理有限公司东坝分公司,
首城珑玺,朝阳-东坝-七棵树路,116.535376,39.974699,94676,↑3.66%,43,11,暂无数据,暂无数据,暂无数据,暂无数据,2017年,暂无数据,0.68,30%(一般),北京首城置业有限公司,北京城承物业管理有限责任公司,
首开常青藤D区,朝阳-东坝-东坝中街12号,116.54435,39.97067,74244,↑0.83%,92,22,暂无数据,2.58元/平米/月,暂无数据,暂无数据,2004年,暂无数据,暂无数据,35%(一般),北京首都开发股份有限公司,北京嘉宝物业管理有限公司,北师大奥林匹克花园实验小学,
朝新嘉园东里四区,朝阳-东坝-姚家园路,116.562439,39.952226,41365,↓1.56%,59,70,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,30%(一般),北京金隅嘉业房地产经纪有限公司,金海燕物业管理有限公司东坝分公司,
东泽园,朝阳-东坝-红松路1号,116.56407,39.966219,49130,↓3.02%,73,113,暂无数据,1.20元/平米/月,140365m²,997户,2011年,小区车位充足,2.5,30%(一般),北京东泽房地产开发有限公司,朝青物业,
单店西村,朝阳-东坝-东坝南二街,116.542373,39.967007,53655,↓8.95%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
高杨树南里,朝阳-东坝-富东家园路,116.557546,39.953482,61310,↑1.96%,5,25,暂无数据,0.43元/平米/月,暂无数据,暂无数据,1986年,488,2.2,35%(一般),北京富利房地产开发有限责任公司,单位自营物业,驹子房小学,
新动力上东上品,朝阳-东坝-富东家园路,116.556679,39.951869,56250,——,0,0,公寓,暂无数据,151700m²,1273户,2008年,3000,2.07,35%(一般),北京富利房地产开发有限责任公司,北京富乐园物业管理有限公司,
坝鑫家园,朝阳-东坝-东坝路与东坝中街交叉口,116.54065044398,39.975249912186,33415,↓0.41%,0,4,普通住宅,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
金隅汇景苑四区,朝阳-东坝-朝阳区平房路,116.546104,39.960658,20714,——,0,215,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2016年,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产经纪有限公司,金海燕物业管理有限公司东坝分公司,
奥林匹克花园四期,朝阳-东坝-东坝中路,116.552862,39.966882,61637,↓0.25%,0,0,公寓,2.50元/平米/月,暂无数据,暂无数据,2002年,暂无数据,2.1,30%(一般),北京奥林匹克置业投资有限公司,北京奥园物业管理有限公司,北师大奥林匹克花园实验小学,
坝鑫家园,朝阳-东坝-东坝路,116.541747,39.976305,42758,↑7.28%,0,141,暂无数据,2.58元/平米/月,暂无数据,暂无数据,2013年,暂无数据,2,33%(一般),北京首都开发股份有限公司,北京嘉宝物业管理有限公司,
