远洋天地,朝阳-八里庄-八里庄西里1号,116.499492,39.919415,78519,↓2.26%,525,462,暂无数据,2.30元/平米/月,700000m²,3300户,2003年,1：0.7,3.2,32%(一般),中远房地产开发有限公司,北京远洋基业物业管理有限公司,芳草地国际学校远洋小学,
朝阳嘉园,朝阳-八里庄-十里堡路,116.511968,39.923261,25530,↑0.03%,0,0,公寓,1.86元/平米/月,130000m²,384户,2004年,1
晨光家园,朝阳-八里庄-朝阳北路,116.512563,39.932004,71478,——,0,0,暂无数据,0.70元/平米/月,160000m²,1908户,1999年,每2户1个车位,3.2,30%(一般),北京住总集团有限责任公司,北京天诺物业管理有限责任公司,
双兴小区(朝阳),朝阳-八里庄-朝阳北路,116.499226,39.92808,56260,——,0,0,公寓,0.50元/平米/月,28800m²,360户,1995年,充足,3.2,30%(一般),北京宏城房地产开发有限公司,双兴物业,
普乐门公寓,朝阳-八里庄-陈家林甲2号,116.516186,39.918676,58575,↓0.38%,0,7,公寓,暂无数据,暂无数据,暂无数据,2011年,暂无数据,暂无数据,37%(一般),北京万润投资控股集团有限公司,无,
住四小区,朝阳-八里庄-西大望路北3号,116.485442,39.920403,60000,↓1.96%,0,1,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京房地产开发有限公司,北京市朝阳区房屋管理局,
八里庄东里北巷,朝阳-八里庄-八里庄路,116.504365,39.926097,54366,↓5.86%,7,42,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
八里庄西里,朝阳-八里庄-八里庄西里10号,116.4976501,39.92375914,61209,↓4.49%,48,92,暂无数据,0.50元/平米/月,50000m²,1990户,2000年,地上150元/月,1.6,20%(一般),北京市西城区住宅建设开发公司,无,
八里庄东里,朝阳-八里庄-朝阳路,116.5051826238,39.9239321902,58111,↓1.25%,30,139,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
十里堡甲3号院,朝阳-八里庄-朝阳路,116.50983,39.921126,54649,↑3.36%,23,9,暂无数据,2.66元/平米/月,300000m²,704户,2001年,地上150元/月,2.8,42%(高),北京方恒置业房地产开发有限公司,北京华泰龙安物业管理有限责任公司,
爱这城二期,朝阳-八里庄-十里堡甲2号,116.512084,39.918585,83648,↑2.70%,157,83,公寓,3.20元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.3,30%(一般),首创置业股份有限公司,北京金网络物业管理公司,
爱这城一期,朝阳-八里庄-十里堡甲1号,116.514384,39.9188,83055,↓2.61%,130,255,公寓,2.75元/平米/月,450000m²,2300户,2007年,充足,3.2,30%(一般),北京惠明置业有限公司,北京金网络物业管理公司,
