农光里小区,朝阳-劲松东-南磨房路,116.47113,39.888072,64861,↓0.61%,385,329,暂无数据,1.50元/平米/月,220000m²,6500户,2015年,150/月,2.1,40%(高),北京建工集团第三房地产开发公司,北京大北物业管理有限公司,
紫东苑,朝阳-劲松东-东三环南路,116.470369,39.884108,66297,↑7.34%,27,38,暂无数据,1.58元/平米/月,100000m²,416户,2000年,1.5
建业苑,朝阳-劲松东-松榆北路7号,116.4719,39.882892,67220,↑0.69%,40,56,暂无数据,1.58元/平米/月,36000m²,3000户,1990年,地上地下,2,40%(高),北京立达建业投资有限公司,北京竭诚物业管理有限公司,
武圣东里,朝阳-劲松东-松榆北路,116.476367,39.883677,58840,↓1.69%,53,31,暂无数据,0.68元/平米/月,220000m²,2600户,2015年,150,1.7,20%(一般),北京宏宇房地产开发有限责任公司,北京京机兴物业管理有限责任公司,
风度柏林,朝阳-劲松东-西大望路59号,116.482429,39.895444,87411,↓0.34%,282,260,暂无数据,2.66元/平米/月,170000m²,1300户,2003年,1000,2.8,30%(一般),北京融利达房地产开发有限公司,北京同舟物业公司,
农光东里,朝阳-劲松东-南磨房路,116.476251,39.88816,64821,↓2.53%,178,98,暂无数据,1.46元/平米/月,160000m²,3300户,1983年,150元/月,3,30%(一般),北京建工集团第三房地产开发公司,农光里,
武圣西里,朝阳-劲松东-松榆北路,116.471934,39.884317,59892,↓3.34%,39,43,暂无数据,暂无数据,200000m²,4725户,2015年,400,1.7,30%(一般),北京宏宇房地产开发有限责任公司,无,
乐澜宝邸,朝阳-劲松东-南磨房路39号,116.471297,39.890687,65474,↓2.70%,47,84,暂无数据,2.80元/平米/月,180000m²,500户,2003年,1：1,3.33,33%(一般),北京市万发房地产开发股份有限公司,中信物业管理公司,
东方雅苑,朝阳-劲松东-西大望路63号,116.481834,39.893481,89045,↓0.53%,252,304,暂无数据,2.00元/平米/月,200000m²,1500户,2005年,116位/10万/位/年,2.75,30%(一般),北京中力房地产开发有限公司,北京颐中国际物业管理有限公司,
华腾园,朝阳-劲松东-东三环南路54号,116.471842,39.893056,75419,↓0.93%,414,548,暂无数据,2.12元/平米/月,40m²,3000户,1999年,2200个车位,2.1,40%(高),北京北化房地产开发有限公司,北京华腾世纪物业管理公司,
万科蓝山,朝阳-劲松东-南磨坊路3号,116.493453,39.89308,104413,↓4.09%,279,134,暂无数据,4.98元/平米/月,170000m²,638户,2009年,650,2.63,31%(一般),北京万科企业有限公司,万科物业管理有限公司,实验二小朝阳学校,
百环家园,朝阳-劲松东-广渠路66号,116.471642,39.896174,62089,↓0.95%,637,800,暂无数据,1.70元/平米/月,630000m²,5000户,2005年,350元/月元,2.9,30%(一般),北京百环房地产实业有限公司,北京瑞发物业管理有限公司,
首城国际中心,朝阳-劲松东-广渠路36号,116.476264,39.898458,101116,↓0.89%,1080,1266,暂无数据,2.83元/平米/月,60m²,3820户,2010年,1：0.7,3.2,30%(一般),北京首城置业有限公司,北京嘉宝物业管理有限公司,北工大附中首城国际校区小学部,
平乐园10号院,朝阳-劲松东-西大望路,116.48361,39.894043,59864,↑32.93%,2,10,暂无数据,暂无数据,20000m²,324户,1996年,免费,1.2,20%(一般),无,无,
农光南里,朝阳-劲松东-松榆北路3号,116.469028,39.883947,64972,↑0.80%,46,39,暂无数据,1.20元/平米/月,150000m²,1064户,1980年,121,2.5,20%(一般),暂无数据,北京助之力达物业管理有限公司,
华腾国际,朝阳-劲松东-大郊亭中街2号,116.493561,39.893609,40854,↓1.26%,7,2,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2006年,暂无数据,3.1,30%(一般),北京北化房地产开发有限公司,北京华腾拓展物业管理有限责任公司,
住总香榭8号,朝阳-劲松东-西大望路24号,116.483278,39.897556,32149,——,0,0,暂无数据,4.86元/平米/月,暂无数据,暂无数据,2017年,暂无数据,2.6,30%(一般),北京祥业房地产有限公司,暂无数据,
广渠路50号院,朝阳-劲松东-广渠路50号,116.46978,39.898685,140664,——,0,8,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
磨房北里,朝阳-劲松东-南磨房路,116.479209,39.887817,66900,↑2.60%,63,78,普通住宅,暂无数据,暂无数据,暂无数据,2015年,500,1.34,30%(一般),北京实兴房地产开发公司,暂无数据,
东三环南路46号小区,朝阳-劲松东-东三环南路46号,116.468865,39.896856,59029,↓12.50%,3,2,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,3,30%(一般),北京美迪亚置业有限公司,无,
磨房南里小区,朝阳-劲松东-磨房中街,近西大望路,116.481086,39.884275,64703,↓3.72%,49,25,暂无数据,暂无数据,暂无数据,暂无数据,1991年,暂无数据,1.34,30%(一般),无,单位自管,
农光南路小区,朝阳-劲松东-农光南路,116.479143,39.885608,62585,↑2.48%,21,61,暂无数据,0.65元/平米/月,120000m²,1876户,2015年,免费,3,20%(一般),北京建工集团第三房地产开发公司,农光南路物业,
富顿公寓,朝阳-劲松东-南磨房路,116.469436,39.890693,68386,↓8.72%,1,8,暂无数据,2.00元/平米/月,暂无数据,暂无数据,2002年,暂无数据,4.5,30%(一般),北京昆泰嘉业房地产开发有限公司,北京盛达连管理有限公司,
珠江帝景D区,朝阳-劲松东-大郊亭中街,近黄辛庄路,116.488506,39.894088,99759,↑0.52%,59,50,公寓,2.96元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,北京合生北方房地产开发有限公司,康景物业管理集团,陈经纶中学帝景分校小学部,
西大望路65号院,朝阳-劲松东-西大望路65号,116.482453,39.891725,56792,↓0.60%,15,4,暂无数据,暂无数据,12000m²,144户,1999年,600元|月,3,25%(一般),合生创展,康景物业管理集团物业管理公司,
珠江帝景E区,朝阳-劲松东-黄辛庄路,116.490761,39.893593,99168,↑2.94%,179,78,暂无数据,2.96元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.9,37%(一般),北京合生北方房地产开发有限公司,康景物业管理集团,陈经纶中学帝景分校小学部,
农光里中社,朝阳-劲松东-农光路,近武圣路,116.47288,39.886149,66760,↓1.07%,15,37,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
珠江帝景C区,朝阳-劲松东-黄辛庄路,116.491097,39.895451,98499,↓0.36%,141,222,暂无数据,2.96元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.1,37%(一般),北京合生北方房地产开发有限公司,康景物业管理集团,陈经纶中学帝景分校小学部,
禧福汇,朝阳-劲松东-南磨房路16号,116.482187,39.889043,85387,↓3.53%,132,98,暂无数据,2.96元/平米/月,167000m²,1000户,2008年,停车位
