富力城A区,朝阳-劲松西-广渠门外大街,116.465989,39.902185,107343,↑0.61%,628,1214,暂无数据,2.98元/平米/月,1400000m²,2520户,2000年,充足,租买都可,2.7,45%(高),北京富力城房地产开发有限公司,北京恒福物业管理有限公司,芳草地国际学校双花园校区,
双花园南里一区,朝阳-劲松西-广和里中街,116.460764,39.90508,79107,↑0.88%,74,117,公寓,1.60元/平米/月,暂无数据,暂无数据,1998年,200,1.2,30%(一般),北京金隅嘉业房地产开发公司,北京光环物业管理有限公司,芳草地国际学校双花园校区,
富力城E区,朝阳-劲松西-广和里中街,116.456658,39.901981,100657,↑6.39%,11,147,暂无数据,3.50元/平米/月,1390000m²,1700户,2007年,充足,2.7,30%(一般),北京富力城房地产开发有限公司,北京恒福物业管理有限公司,芳草地国际学校双花园校区,
垂杨柳中里,朝阳-劲松西-垂杨柳南街,116.463837,39.894352,49473,↓5.15%,1,34,暂无数据,0.80元/平米/月,15000m²,750户,1976年,免费,1.7,30%(一般),暂无数据,垂杨柳社区,
富力城C区,朝阳-劲松西-广渠门外大街,116.463364,39.900576,107007,↓2.23%,285,446,暂无数据,2.80元/平米/月,280000m²,1813户,2005年,充足,1.2,30%(一般),北京富力城房地产开发有限公司,恒富物业管理有限公司,芳草地国际学校双花园校区,
劲松四区,朝阳-劲松西-劲松路,116.461219,39.889133,64969,↓3.67%,80,17,暂无数据,0.50元/平米/月,3000m²,3000户,2015年,有,暂无数据,30%(一般),北京城建房地产开发有限公司,房管所代管物业,劲松四小,
劲松三区,朝阳-劲松西-劲松路,116.464428,39.889135,65322,↓4.07%,72,135,暂无数据,2.00元/平米/月,320000m²,3000户,1980年,130,2.08,30%(一般),北京城建房地产开发有限公司,劲松物业,劲松四小,
劲松一区,朝阳-劲松西-劲松路,116.465759,39.891356,65509,↓2.32%,88,100,暂无数据,0.50元/平米/月,500000m²,3684户,2000年,有,2,33%(一般),北京城建房地产开发有限公司,房管所代管物业,
富力城B区,朝阳-劲松西-天力街,116.463839,39.90401522,102502,↓0.90%,202,348,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2.7,40%(高),北京富力城房地产开发有限公司,恒富物业管理有限公司,芳草地国际学校双花园校区,
富力十号,朝阳-劲松西-天力街19号,116.460905,39.903798,149967,↓0.02%,198,176,暂无数据,6.00元/平米/月,72500m²,280户,2012年,约400个,2.25,30%(一般),北京富力城房地产开发有限公司,北京恒富物业服务有限公司,芳草地国际学校双花园校区,
双花园西里小区,朝阳-劲松西-广渠门北滨河路,116.45411,39.903502,71832,↓5.67%,8,59,暂无数据,0.60元/平米/月,45210m²,500户,1990年,150元/,2,33%(一般),北京金隅嘉业房地产开发有限公司,金海燕物业管理有限公司,
垂杨柳南里,朝阳-劲松西-垂杨柳南街8号,116.461744,39.892883,64907,↓3.72%,55,13,暂无数据,0.80元/平米/月,100000m²,230户,1986年,免费,2,30%(一般),暂无数据,垂杨柳社区,
广渠门外大街6号院,朝阳-劲松西-广渠门外大街6号,116.466217,39.897953,75926,↑8.17%,6,19,暂无数据,1.50元/平米/月,暂无数据,暂无数据,1997年,车位充足,2.5,30%(一般),无,	北京首佳物业,
劲松九区,朝阳-劲松西-广渠门南滨河路,116.452785,39.893178,63674,↓6.67%,28,27,暂无数据,1.52元/平米/月,30000m²,500户,2015年,充足,暂无数据,24%(一般),北京城建房地产开发有限公司,北京市朝阳区房屋管理公司,
劲松嘉园,朝阳-劲松西-劲松路,116.457082,39.891075,54435,↓11.57%,25,1,暂无数据,1.90元/平米/月,34000m²,300户,1997年,充足,3.4,35%(一般),北京城市开发集团岳安股份有限公司,北京瑞尔物业管理有限责任公司,
双井富力城(A区),朝阳-劲松西-广渠门外大街1号,116.465921,39.90105322,98883,↓4.01%,11,79,暂无数据,2.80元/平米/月,暂无数据,暂无数据,1995年,1500,暂无数据,30%(一般),北京富力城房地产开发有限公司,中外合资北京恒富房地产开饭有限公司,芳草地国际学校双花园校区,
都城心屿,朝阳-劲松西-劲松路甲1号,116.458051,39.891424,74940,↓3.55%,52,16,暂无数据,2.15元/平米/月,75628m²,642户,2007年,430个,3.9,32%(一般),北京市都城物业发展有限公司,北京瀚海阳光物业经营管理有限公司,
永安里小区,朝阳-劲松西-建国门外大街,116.463192,39.901623,54406,↓35.58%,3,8,暂无数据,0.50元/平米/月,18900m²,800户,1987年,400,暂无数据,30%(一般),永安机械厂开发有限公司,北京新永安物业管理发展中心,
劲松南路小区,朝阳-劲松西-劲松南路,116.4660661599,39.8877683685,59058,↓7.76%,22,6,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
劲松五区,朝阳-劲松西-劲松路,116.459349,39.888639,63969,↓4.37%,80,36,暂无数据,0.50元/平米/月,1300m²,1600户,1983年,有,2,40%(高),北京城建房地产开发有限公司,房管所代管物业,劲松四小,
怡馨园,朝阳-劲松西-广渠门外大街,116.463376,39.900701,68285,↓0.60%,5,10,暂无数据,1.70元/平米/月,10000m²,530户,2002年,150/月,3.5,30%(一般),北京住总集团有限责任公司,无,
富力公馆,朝阳-劲松西-广渠门外大街7号,116.455277,39.900439,121675,↑29.18%,9,1,暂无数据,暂无数据,暂无数据,暂无数据,2005年,暂无数据,暂无数据,暂无数据,北京富力城房地产开发有限公司,北京恒富物业服务有限公司,芳草地国际学校双花园校区,
CBD总部公寓II(二期),朝阳-劲松西-光华北一街,116.461829,39.904922,95717,↓0.10%,15,123,暂无数据,2.18元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.4,40%(高),北京金隅嘉业房地产开发有限公司,北京光环物业管理分公司,
劲松二区,朝阳-劲松西-劲松路,116.460788,39.89152,65299,↑0.02%,97,83,暂无数据,0.50元/平米/月,120000m²,3500户,1977年,充足,1.3,30%(一般),北京都市房地产开发有限公司,房管所代管物业,
潘家园小区,朝阳-劲松西-潘家园路,116.453729,39.883768,65317,↑0.13%,140,20,暂无数据,1.80元/平米/月,暂无数据,暂无数据,1987年,暂无数据,2.6,30%(一般),暂无数据,暂无数据,
合生国际花园(一期),朝阳-劲松西-光华北一街,116.463941,39.905335,94429,↑0.20%,111,264,暂无数据,2.99元/平米/月,200000m²,1550户,2000年,419,3.4,38%(一般),北京合生绿洲房地产开发有限公司,无,芳草地国际学校双花园校区,
劲松八区,朝阳-劲松西-劲松路,116.455289,39.888924,64306,↓7.53%,115,34,暂无数据,0.50元/平米/月,90000m²,1988户,2000年,有,1.9,30%(一般),北京城建房地产开发有限公司,房管所代管物业,劲松四小,
富力城D区,朝阳-劲松西-广渠门外大街,116.461288,39.901319,114661,↑0.11%,771,921,暂无数据,2.80元/平米/月,1400000m²,2100户,2015年,1400个900元,1.2,30%(一般),北京富力城房地产开发有限公司,北京恒福物业管理有限公司,芳草地国际学校双花园校区,
广泉小区,朝阳-劲松西-广渠门外大街甲28号,116.459745,39.897921,78735,↓1.58%,5,19,暂无数据,暂无数据,30000m²,1560户,1998年,免费,2,40%(高),无,广泉物业,
CBD总部公寓I(一期),朝阳-劲松西-光华北一街,116.455822,39.904116,96468,↑0.14%,11,21,暂无数据,2.17元/平米/月,400000m²,650户,2004年,400,2.3,30%(一般),北京金隅嘉业房地产开发有限公司,光环物业分公司,
垂杨柳西里,朝阳-劲松西-垂杨柳中街,116.461492,39.894687,64156,↓7.16%,1,9,暂无数据,0.80元/平米/月,6500m²,18户,2015年,200,1.63,30%(一般),北京城建房地产开发有限公,垂杨柳社区,
CBD总部公寓三期,朝阳-劲松西-光华北一街,116.458106,39.904406,96361,↑1.13%,53,12,暂无数据,1.78元/平米/月,暂无数据,暂无数据,2009年,暂无数据,2,35%(一般),北京金隅嘉业房地产开发有限公司,北京金海燕物业管理有限公司光环物业分公司,
国贸世纪公寓,朝阳-劲松西-广渠门外大街18号,116.464651,39.898649,95704,↑24.34%,1,12,暂无数据,10.00元/平米/月,暂无数据,420户,1999年,320多个,4.5,21%(一般),暂无数据,业主自管,
广馨居,朝阳-劲松西-广渠门外大街,116.460125,39.900394,69852,↑13.32%,0,8,暂无数据,1.70元/平米/月,18000m²,180户,2000年,3户1个停车位,3.3,30%(一般),北京韩建房地产开发有限责任公司,北京房泰物业管理有限责任公司,
广和里,朝阳-劲松西-广和门南滨河路,116.453228,39.896277,82588,——,0,5,暂无数据,3.00元/平米/月,15000m²,1586户,1987年,560,暂无数据,30%(一般),北京城建房地产开发有限公司,业主自管,
