林奥嘉园,朝阳-北苑-清林东路,116.414965,40.040768,60567,↑4.20%,1084,324,暂无数据,2.96元/平米/月,暂无数据,暂无数据,2015年,1385,4.07,30%(一般),北京运达通汇文化产业有限公司,北京市通商汇才文化产业有限公司,
塞纳维拉水景别墅,朝阳-北苑-滨河路,116.425881,40.063062,80994,↓0.57%,6,11,暂无数据,2.48元/平米/月,200000m²,1132户,2004年,1000,0.85,40%(高),北京塞纳维拉房地产开发有限公司,广东奥园物业管理有限公司,
明天第一城5号院,朝阳-北苑-立清路5号,116.413208,40.054327,58313,↑2.89%,21,85,暂无数据,1.85元/平米/月,500000m²,5560户,2007年,地上车位150元/月，地下车位350元/月，约2500个固定车位及充足的临时车位,2.71,31%(一般),北京明天房地产开发有限公司,深圳长城物业集团股份有限公司北京分公司,
平安嘉苑,朝阳-北苑-北苑路,116.423918,40.042817,65844,——,24,130,暂无数据,2.43元/平米/月,45124m²,675户,2000年,150月,3.8,30%(一般),北京城建五建设工程有限公司公司,北京同惠物业管理有限责任公司,
龙祥嘉园,朝阳-北苑-清林东路,116.410821,40.042362,68943,↓0.47%,48,35,暂无数据,1.60元/平米/月,暂无数据,暂无数据,2002年,暂无数据,2.14,36%(一般),世纪龙祥房地产开发有限公司,北京清林物业管理有限责任公司,
城锦苑,朝阳-北苑-双营路6号,116.429739,40.043107,66311,↑5.63%,18,44,暂无数据,2.39元/平米/月,暂无数据,暂无数据,2014年,暂无数据,1.26,30%(一般),北京城建集团有限责任公司,北京金源顺达物业管理有限责任公司,
时代庄园,朝阳-北苑-红军营东路18号,116.440945,40.046613,86322,↓3.88%,31,12,暂无数据,2.80元/平米/月,110000m²,647户,2003年,640,0.89,40%(高),北京太合日盛房地产开发有限责任公司,深圳长城物业集团股份有限公司北京分公司,花家地实验小学朝来校区,
中国铁建花语城,朝阳-北苑-水岸南街2号,116.446931,40.055921,99607,↑1.65%,28,16,暂无数据,3.15元/平米/月,83900m²,2000户,2012年,1：1.2,2.02,30%(一般),中国铁建房地产集团有限公司,中国铁建物业管理有限公司,朝阳外国语学校来广营校区小学部,
莲葩园,朝阳-北苑-秋实西街,116.427978,40.050999,51399,↑0.82%,100,114,暂无数据,1.38元/平米/月,23000m²,1200户,2003年,1200,2.45,40%(高),北京城建兴华地产有限公司,北京城承物业管理有限责任公司,
亚奥金茂悦,朝阳-北苑-红军营东路15号,116.441542,40.031363,88957,↓1.56%,120,73,暂无数据,4.16元/平米/月,136959m²,1040户,2013年,车位信息待定,2.5,30%(一般),北京方兴融创房地产开发有限公司,中化金茂物业管理（北京）有限公司,
北京青年城,朝阳-北苑-北苑东路,116.445914,40.03641,61826,↓1.41%,72,68,暂无数据,1.22元/平米/月,295000m²,1581户,2015年,1071,1.57,41%(高),北京新华联恒业房地产开发有限公司,北京悦豪物业管理有限公司,朝阳外国语学校北苑分校小学部,
立水桥北里,朝阳-北苑-立汤路,116.419983,40.058788,49990,↓4.53%,15,39,暂无数据,暂无数据,暂无数据,暂无数据,2000年,车位充足,2.4,40%(高),北京城建房地产开发有限公司,业主自筹物业,
中国铁建国际城,朝阳-北苑-北苑东路,116.446313,40.052347,97084,↓1.06%,125,230,暂无数据,2.45元/平米/月,61m²,2000户,2011年,露天停车场(434个)，地下车库、停车楼(822个)，车位配比1
北京城建世华泊郡,朝阳-北苑-水岸中街19号,116.430297,40.056555,83674,↑1.88%,340,174,暂无数据,2.98元/平米/月,400000m²,2000户,2012年,人车分流，地下停车，直接入户。车位配比：1
天月园,朝阳-北苑-北苑路68号,116.419042,40.036908,88240,↓6.75%,156,67,暂无数据,2.38元/平米/月,30000m²,582户,2006年,400元一个月,1.72,48%(高),北京北辰房地产开发股份有限公司,北京北辰信诚物业管理有限责任公司,
润泽御府,朝阳-北苑-清苑路,116.437349,40.0627,123392,↑0.66%,795,0,暂无数据,15.00元/平米/月,260000m²,80户,2014年,4-6辆车/户,0.52,42%(高),北京润泽庄苑房地产开发有限公司,国贸物业管理有限公司,
天润福熙大道,朝阳-北苑-清河营东路1号,116.44245,40.055337,88046,↓0.36%,245,164,暂无数据,3.30元/平米/月,670000m²,3500户,2016年,3234个,2.63,暂无数据,北京春光置地房地产开发有限公司,均豪物业有限公司,朝阳外国语学校来广营校区小学部,
佳运园三区,朝阳-北苑-立军路,116.409829,40.051739,48953,↓4.65%,3,8,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1998年,暂无数据,1.15,45%(高),北京科林房地产开发有限公司,北京裕发弘瑞物业管理有限公司,
