远洋天著(别墅),朝阳-十八里店-小羊坊南街,116.526765,39.823571,61675,↓3.50%,248,15,暂无数据,暂无数据,暂无数据,暂无数据,2013年,暂无数据,0.8,30%(一般),北京远山置业有限公司,2.6,
君堂好园,朝阳-十八里店-大羊坊路,116.511083,39.850133,44704,↓0.67%,20,16,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,地上,1.26,30%(一般),北京世豪房地产开发有限责任公司,街道办事处（委员会）代管物业,
世豪花园,朝阳-十八里店-老君堂中路,116.513444,39.849674,46300,↓6.93%,35,21,公寓,0.80元/平米/月,31076m²,400户,2015年,300,0.73,48%(高),北京世豪房地产开发有限责任公司,北京柏年世豪物业管理有限公司,
华海苑,朝阳-十八里店-老君堂中路,116.515535,39.849312,26448,↑203.66%,0,2,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2012年,地上150元/月,暂无数据,30%(一般),北京翰达金晟置业有限公司,北京洋桥瑞丽物业管理有限责任公司,
捷强花园,朝阳-十八里店-老君堂村中路,116.5153,39.848365,32243,↑3.50%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,充足,暂无数据,30%(一般),暂无数据,暂无数据,
华凯苑别墅,朝阳-十八里店-老君堂村甲6号,116.511452,39.849132,97855,——,0,0,暂无数据,2.70元/平米/月,暂无数据,90户,2007年,充足
老君堂中路小区,朝阳-十八里店-老君堂中路,116.511408,39.849945,39200,——,0,2,暂无数据,1.32元/平米/月,暂无数据,暂无数据,2006年,暂无数据,2,30%(一般),暂无数据,中嘉奈伦物业管理公司,
汽修厂家属院,朝阳-十八里店-文化广场路,116.511426,39.831968,67083,↓5.25%,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,60%(高),暂无数据,暂无数据,
开泰西里,朝阳-十八里店-东渠路,116.5243879889,39.8298739564,54900,↑7.02%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2008年,暂无数据,1.2,35%(一般),暂无数据,北京城建物业管理有限公司,
紫光别墅,朝阳-十八里店-老君堂中路,116.515164,39.849252,54162,↑28.44%,1,0,暂无数据,1.60元/平米/月,6600m²,36户,2001年,150元/月,0.48,52%(高),北京海洋置业公司,北京博海阁物业管理有限公司,
自主城,朝阳-十八里店-博大路,116.480163,39.841583,32727,——,1,2,暂无数据,3.80元/平米/月,暂无数据,暂无数据,2010年,暂无数据,3.5,30%(一般),北京京泰同成置业有限公司,北京同成中和物业管理有限公司,
