山水文园东园,朝阳-华威桥-弘燕路,116.490819,39.872732,105621,↓0.46%,1184,362,普通住宅,2.98元/平米/月,暂无数据,暂无数据,2001年,暂无数据,1.36,30%(一般),北京力维斯凯亚房地产开发有限公司,山水文园物业（原九天物业）,
平乐园小区,朝阳-华威桥-南磨房路,116.487294,39.888223,60962,↓3.47%,252,139,暂无数据,1.20元/平米/月,250000m²,6840户,1996年,3400,2.08,35%(一般),北京市城市改建综合开发总公司,北京瑛达源无物业管理有限责任公司,
山水文园西园,朝阳-华威桥-弘燕路,116.472053,39.872607,97967,↑0.09%,490,179,暂无数据,4.98元/平米/月,1000000m²,410户,2002年,1500,1.64,30%(一般),北京力维斯凯亚房地产开发有限公司,山水文园物业（原九天物业）,
松榆东里,朝阳-华威桥-西大望路,116.481461,39.878855,63277,↓2.76%,221,197,暂无数据,1.20元/平米/月,145000m²,7400户,1992年,1200,1.4,30%(一般),北京住总房地产开发有限责任公司,北京北宇物业管理有限公司,
南新园小区,朝阳-华威桥-松榆南路,116.47368,39.875901,63291,↓0.90%,291,254,普通住宅,1.90元/平米/月,暂无数据,暂无数据,1995年,374,2.5,30%(一般),北京市新兴房地产开发总公司西城分公司,北京市久筑物业管理有限责任公司,
御景园,朝阳-华威桥-首图东路,116.469251,39.874361,52841,↓1.89%,151,80,暂无数据,3.20元/平米/月,190000m²,500户,2001年,530,4,38%(一般),北京松榆花园房地产开发有限公司,北京中原华夏物业管理有限公司,
鸿坤花语墅,朝阳-华威桥-西大望路42号,116.485048,39.887627,111285,↑1.34%,355,38,暂无数据,7.98元/平米/月,65042m²,270户,2011年,297,2.4,30%(一般),北京鸿坤新业房地产开发有限公司,北京鸿坤物业管理有限公司,
双龙南里小区,朝阳-华威桥-双龙路,116.486291,39.875338,62402,↓1.84%,250,275,暂无数据,0.50元/平米/月,376000m²,7240户,1998年,1000个,1.2,35%(一般),北京天鸿宝业房地产股份有限公司,北京房修一物业管理有限公司,
山水文园中园,朝阳-华威桥-弘燕路,116.476516,39.872361,100557,↑0.59%,847,367,暂无数据,2.98元/平米/月,1000000m²,400户,2005年,总数500个
美景东方,朝阳-华威桥-松榆南路38号,116.476626,39.87526,73237,↓2.05%,752,491,暂无数据,2.50元/平米/月,440000m²,2861户,2003年,1900,2.99,39%(一般),北京达义兴业房地产开发有限公司,北京四海安信物业管理有限公司,
潘道庙小区,朝阳-华威桥-平乐园100号,116.487203,39.88569,62814,↑0.32%,26,6,暂无数据,0.50元/平米/月,30000m²,1200户,1980年,免费,1.94,30%(一般),北京住总集团有限责任公司,北京住总北宇物业管理有限公司,
山水文园西园(别墅),朝阳-华威桥-弘燕路,116.472806,39.872407,103304,↓1.74%,100,18,暂无数据,暂无数据,暂无数据,暂无数据,2002年,暂无数据,0.8,30%(一般),北京力维斯凯亚房地产开发有限公司,7.98,
香榭舍,朝阳-华威桥-南新园西路6号,116.471691,39.875355,43428,↑0.56%,138,49,暂无数据,5.50元/平米/月,26000m²,384户,1999年,200,4.5,40%(高),北京富阳物业发展有限公司,北京建国饭店物业管理公司,
松榆西里,朝阳-华威桥-松榆南路,116.471292,39.879395,64784,↓0.55%,591,347,暂无数据,2.28元/平米/月,320000m²,6000户,2015年,150元/车位/月200元/车位/月,1.4,30%(一般),北京住总房地产开发有限责任公司,北京市榆光城物业管理有限公司,
建工家园,朝阳-华威桥-四路通路,116.489036,39.869949,62184,↓0.99%,20,12,暂无数据,1.50元/平米/月,5660m²,2520户,2009年,总数180个
方华苑,朝阳-华威桥-南新园中路,116.473456,39.875083,58401,↓2.12%,37,34,暂无数据,1.50元/平米/月,35200m²,528户,2000年,120,3,25%(一般),北京纺织控股（集团）有限责任公司,北京三元物业管理服务中心,
四路通住宅小区,朝阳-华威桥-弘燕东路,116.488107,39.870498,51500,↓1.53%,0,1,暂无数据,2.84元/平米/月,暂无数据,暂无数据,2005年,150元/车位/月,暂无数据,30%(一般),暂无数据,暂无数据,
芳华苑,朝阳-华威桥-松榆南路,116.474259,39.875061,59175,——,0,0,公寓,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),北京纺织控股（集团）有限责任公司,北京付真物业管理公司,
