绿城北京诚园,朝阳-南沙滩-南沙滩东路3号,116.383893,40.004516,110746,↓5.48%,68,117,暂无数据,4.60元/平米/月,230000m²,286户,2010年,450,2.54,43%(高),北京亚奥绿城房地产开发有限公司,北京绿城物业管理有限公司,
中和家园,朝阳-南沙滩-军民团结路,116.381953,40.006814,74682,↓2.73%,7,25,暂无数据,0.88元/平米/月,35844m²,288户,2000年,81,2,30%(一般),中国房地产开发北京有限公司,北京天弘信物业管理有限公司,
懿品阁,朝阳-南沙滩-大屯路甲1号,116.379182,40.013201,76364,↓3.51%,9,29,暂无数据,2.58元/平米/月,41500m²,652户,2006年,350,4,30%(一般),北京中科联房地产开发有限公司,北京展硕物业管理有限公司,
丝竹园,朝阳-南沙滩-安翔路,116.386038,39.995714,75777,↓0.61%,91,48,暂无数据,0.60元/平米/月,59m²,929户,2015年,300,2.2,30%(一般),中国音乐学院开发有限公司,业主自管,
北沙滩8号院,朝阳-南沙滩-北沙滩8号,116.380417,40.013265,80596,↓2.21%,12,68,暂无数据,1.46元/平米/月,70000m²,360户,1998年,地上150元/月,2.4,30%(一般),北京强佑房地产开发有限公司,北京民旺物业管理有限公司,
安翔里,朝阳-南沙滩-安翔路,116.389447,39.998682,71825,↓10.72%,39,106,暂无数据,0.60元/平米/月,3000000m²,1050户,1980年,3000,1.2,41%(高),北京长空机械有限责任公司,北京长空晨阳物业有限公司,
名苑雅居,朝阳-南沙滩-科荟路,116.378429,40.01535,76355,↓0.72%,59,68,暂无数据,2.20元/平米/月,21944m²,252户,2005年,378,4.2,10%(低),北京富兴苑房地产开发有限公司,北京彭海物业管理有限公司,
北沙滩1号院,朝阳-南沙滩-北沙滩路1号,116.380909,40.010413,78763,↓5.08%,10,54,暂无数据,1.40元/平米/月,13896m²,4323户,2015年,150元/车位/月,2,50%(高),北京科林房地产开发有限公司,北京世奥物业管理有限公司,
南沙滩小区,朝阳-南沙滩-大屯路,116.384597,40.006764,77454,↓3.17%,167,330,暂无数据,1.50元/平米/月,170000m²,7466户,1981年,免费,2.8,30%(一般),三建，五建，工美,北京长捷物业公司,
风林绿洲,朝阳-南沙滩-大屯路,116.39057,40.006812,96168,↓5.53%,170,214,暂无数据,2.92元/平米/月,340000m²,2520户,2015年,3000,3.5,37%(一般),北京盛世兆业房地产开发有限公司,北京达尔文国际酒店物业管理有限公司,
中天国际公寓,朝阳-南沙滩-北沙滩7号,116.377879,40.012863,67860,↓6.21%,24,43,暂无数据,3.18元/平米/月,暂无数据,暂无数据,2007年,暂无数据,2.75,30%(一般),中天房地产公司,北京凯蒂克物业管理有限责任公司,
双泉堡甲1号院,朝阳-南沙滩-北沙滩路,116.374202,40.012006,66002,↓0.18%,3,28,暂无数据,1.80元/平米/月,78500m²,暂无数据,1998年,地上免费停车,2,30%(一般),暂无数据,北京市吉润物业管理有限公司,
亚奥阳光,朝阳-南沙滩-健翔桥安翔里1号,116.388638,39.998015,77592,↓3.63%,37,3,暂无数据,2.02元/平米/月,10000m²,200户,2004年,每户两位,2.7,35%(一般),北京天鸣房地产开发有限公司,长空晨阳物业公司,
亚奥人家,朝阳-南沙滩-安翔里1号,116.3900624,39.99707444,77600,↑1.19%,7,12,暂无数据,1.60元/平米/月,80000m²,568户,1999年,地上248个,暂无数据,40%(高),北京金第房地产开发有限责任公司,北京金宇隆物业管理有限公司,
华盛乐章,朝阳-南沙滩-安翔北路1号,116.387898,40.0002,75933,↓2.97%,13,11,暂无数据,1.67元/平米/月,70000m²,522户,2000年,停车位充足，出租地上150元/月,4.7,40%(高),北京华盛创业房地产开发有限公司,北京健翔物业管理有限责任公司,
科学园南里七区,朝阳-南沙滩-科学院南里东街,116.391729,40.002274,97344,↑0.48%,27,97,暂无数据,1.95元/平米/月,50000m²,500户,1993年,充足,1.36,30%(一般),北京盛世兆业房地产开发有限公司,科住物业管理有限责任公司,
北沙滩7号院,朝阳-南沙滩-北沙滩路7号,116.378102,40.012713,67038,↓4.10%,0,3,暂无数据,1.20元/平米/月,14000m²,暂无数据,1999年,377个,2.75,30%(一般),中天房地产集团有限公司,北京翰嘉伟业物业管理有限公司,
澳林佳苑,朝阳-南沙滩-科荟路,116.379967,40.014596,83500,↓0.36%,0,0,暂无数据,3.98元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,42%(高),无,单位自管物业,
辰芳园,朝阳-南沙滩-大屯路,116.386084,40.007006,61333,——,0,1,暂无数据,3.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.5,40%(高),无,自管物业,
林萃公寓,朝阳-南沙滩-林萃路,116.380566,40.012433,90000,↓0.33%,0,0,暂无数据,2.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京旭日房地产开发有限责任公司,北京林翠物业管理有限责任公司,
双泉堡甲2号院,朝阳-南沙滩-朝阳区科荟路,116.376158,40.01338,74000,↓0.40%,0,7,暂无数据,9.60元/平米/月,暂无数据,暂无数据,1986年,暂无数据,暂无数据,31%(一般),暂无数据,中国舰船物业管理有限公司,
科学园南里六区,朝阳-南沙滩-科学院南里中街,116.386168,40.002713,88881,↓2.43%,1,38,暂无数据,1.95元/平米/月,40000m²,3696户,1997年,150元/月（随便停）,2,30%(一般),北京盛世兆业房地产开发有限公司,科住物业管理有限责任公司,
南沙滩和谐小区,朝阳-南沙滩-京藏高速,116.379229,40.00566,71266,↓7.97%,1,43,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,20%(一般),暂无数据,北京长捷物业公司,
中国科学院科学园小区,朝阳-南沙滩-科学园南里东街10号,116.389138,40.002334,95307,↓5.37%,1,2,暂无数据,2.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
天和人家,朝阳-南沙滩-军民团结路,116.380952,40.005162,84727,↑0.91%,63,69,暂无数据,2.02元/平米/月,10m²,788户,2000年,476,3.4,30%(一般),中房金华房地产有限公司,北京中房物业管理有限公司,
安翔南里,朝阳-南沙滩-安翔路,116.388413,39.996208,75272,↑0.18%,8,5,暂无数据,0.60元/平米/月,暂无数据,462户,2015年,45,2.2,30%(一般),暂无数据,业主自管,
科学园南里三区,朝阳-南沙滩-科学院南里东街,116.392124,40.005894,96328,↑3.28%,2,17,暂无数据,1.95元/平米/月,150000m²,1056户,1999年,充足,1.36,30%(一般),北京盛世兆业房地产开发有限公司,北京科住物业管理有限公司,
科学园南里五区,朝阳-南沙滩-科学院南里东街,116.390242,40.00492,101615,↓2.18%,14,21,暂无数据,1.95元/平米/月,50000m²,480户,1999年,350,1.36,30%(一般),北京盛世兆业房地产开发有限公司,北京科住物业管理有限公司,
科学园南里四区,朝阳-南沙滩-科学院南里东街,116.387929,40.00483,93325,↓0.28%,15,11,暂无数据,1.95元/平米/月,40000m²,492户,1998年,400,1.36,30%(一般),北京盛世兆业房地产开发有限公司,北京科住物业管理有限公司,
