双桥六号井小区,朝阳-双桥-温泉东里中街,116.611253,39.895904,44204,↓6.58%,175,22,暂无数据,0.50元/平米/月,80000m²,1200户,1998年,400,2.37,33%(一般),北京亿本房地产开发有限公司,北京世纪颐和物业管理有限责任公司,
艺水芳园,朝阳-双桥-北花园街1号,116.569578,39.911007,50338,↑0.60%,38,125,暂无数据,1.28元/平米/月,160000m²,1180户,2005年,地上150地下300,1.6,40%(高),北京京通天泰房地产开发公司,北京京通天泰物业管理有限公司,
朝阳旺角,朝阳-双桥-双柳北街1号,116.594145,39.910803,51744,↑1.50%,44,20,暂无数据,2.00元/平米/月,174500m²,1200户,2004年,520,2.78,30%(一般),北京中北房地产开发有限责任公司,中北物业管理公司,朝阳实验二小双桥校区,
双桥温泉东里小区南区,朝阳-双桥-双桥东路,116.613799,39.893988,42393,↑0.03%,37,4,暂无数据,0.50元/平米/月,244324m²,1200户,2008年,1：1,1.85,30%(一般),北京亿本房地产开发有限公司,北京亿本康乐物业管理有限公司,
远洋一方林语苑,朝阳-双桥-双桥东路7号,116.610319,39.903742,56581,↓5.17%,67,38,暂无数据,2.55元/平米/月,15268m²,1206户,2009年,150-450,1.58,30%(一般),中联置地开发有限公司,北京远洋基业物业管理有限公司,朝阳实验二小远洋一方校区,
双桥温泉东里小区北区,朝阳-双桥-双桥东路,116.613642,39.89603,41951,↓3.56%,138,1,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2001年,50,1.85,30%(一般),北京亿本房地产开发有限公司,北京亿本康乐物业管理有限公司,
远洋一方溪语苑,朝阳-双桥-双桥东路,116.606232,39.905169,57935,↓2.20%,34,30,暂无数据,2.75元/平米/月,99481m²,1659户,2012年,1
东一时区,朝阳-双桥-八里桥南1号,116.613134,39.905552,49745,↓7.66%,119,52,暂无数据,1.30元/平米/月,450000m²,2450户,2003年,1640,1.7,32%(一般),北京金时代置业有限公司,北京均豪物业管理有限公司,朝阳实验二小远洋一方校区,
远洋一方润园西区,朝阳-双桥-塔营北街6号,116.599756,39.906815,48492,↓4.39%,38,28,暂无数据,2.55元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.8,30%(一般),北京中联置地房地产开发有限公司,北京远洋基业物业管理有限公司,朝阳实验二小远洋一方校区,
康城花园别墅,朝阳-双桥-双桥东路9号,116.611828,39.891282,60353,↑0.40%,335,156,暂无数据,2.84元/平米/月,1000000m²,524户,2000年,停车位1：1.5,0.74,53%(高),北京银信兴业房地产开发有限公司,北京南洋物业管理有限公司,
双惠苑,朝阳-双桥-双桥路,116.581626,39.911381,49646,↓2.42%,214,136,暂无数据,0.52元/平米/月,500000m²,1900户,2002年,1
水岸双桥,朝阳-双桥-双桥路,116.586266,39.91412,36797,↓2.17%,61,90,暂无数据,暂无数据,暂无数据,暂无数据,2005年,150/月,2.1,30%(一般),北京合生望景房地产开发有限公司,居民自理,
金隅可乐,朝阳-双桥-双桥路,116.583299,39.909231,31282,↑25.28%,254,37,暂无数据,3.78元/平米/月,暂无数据,暂无数据,2009年,暂无数据,3.78,30%(一般),北京金隅嘉业房地产经纪有限公司,北京长城物业管理有限公司,
