和平街西苑,朝阳-和平里北-和平里西街,116.423372,39.971565,82017,↓4.95%,135,64,普通住宅,0.80元/平米/月,暂无数据,暂无数据,1998年,暂无数据,3.5,20%(一般),北京嘉铭房地产开发有限责任公司,北京乐都物业管理有限公司,
锦鸿阁,朝阳-和平里北-青年沟路8号,116.437522,39.967664,87635,↑0.35%,123,52,暂无数据,2.95元/平米/月,1000m²,2000户,2006年,1500,2.9,30%(一般),北京金政房地产开发有限责任公司,北京青之旅物业管理有限公司,
和平街十一区,朝阳-和平里北-和平里东街,116.425761,39.973795,83227,↑2.86%,181,63,暂无数据,1.20元/平米/月,80000m²,600户,1985年,充足,1.3,10%(低),北京城建房地产开发有限公司,首华物业管理有限公司,朝师附小和平街校区,
安和家园,朝阳-和平里北-和平西街,116.422034,39.973949,80716,↓0.54%,1,15,暂无数据,1.60元/平米/月,14000m²,暂无数据,1999年,180,1,35%(一般),北京金房房地产开发有限公司,北京市金房物业管理有限公司,
和平街十五区1号院,朝阳-和平里北-青年沟路,116.437028,39.971287,78704,↑2.40%,137,38,暂无数据,1.80元/平米/月,3000m²,1567户,1995年,150,2,10%(低),北京城建房地产开发有限公司,北京和联天海物业管理有限公责任公司,和平街中心小学,
和平街十区,朝阳-和平里北-和平里东街,近青年沟路,116.429956,39.969605,76980,↑0.88%,68,45,公寓,0.71元/平米/月,暂无数据,10000户,1994年,300,1.3,10%(低),北京城建房地产开发有限公司,北京首华物业管理有限公司,朝师附小和平街校区,
和平街十三区,朝阳-和平里北-和平街,116.432382,39.970615,78047,↑0.06%,38,122,暂无数据,2.70元/平米/月,150000m²,2200户,1995年,150,1.3,10%(低),北京城建房地产开发有限公司,北京同惠物业管理有限责任公司,和平街中心小学,
和平里七区,朝阳-和平里北-青年沟路,116.425703,39.968955,105537,↓1.59%,124,119,暂无数据,0.50元/平米/月,20000m²,9000户,1981年,1500,2,10%(低),北京城建房地产开发有限公司,北京首华物业管理有限公司,和平里九小,
豪威嘉园,朝阳-和平里北-和平西街,116.424005,39.970823,83147,↑3.15%,1,8,暂无数据,1.65元/平米/月,30000m²,180户,2015年,150,暂无数据,35%(一般),北京豪威嘉业房地产开发有限公司,北京乐都物业管理有限公司,
小黄庄路四条,朝阳-和平里北-小黄庄路,116.421482,39.971591,85136,↓22.18%,5,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京燕厦物业管理服务中心,
小黄庄前街13号院,朝阳-和平里北-小黄庄前街13号,116.419353,39.97054,72483,↓4.02%,4,31,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1982年,暂无数据,暂无数据,暂无数据,暂无数据,北京市燕厦物业管理服务中心,
