东恒时代(一期),朝阳-四惠-京通快速路,116.50095,39.91563,76469,↓0.76%,242,425,暂无数据,2.10元/平米/月,400000m²,998户,2002年,1车位/2户,2.9,15%(低),北京方恒房地产开发有限公司,北京华泰龙安物业管理有限责任公司,
东风时代,朝阳-四惠-京通快速路,116.508019,39.913284,50666,——,0,13,暂无数据,2.30元/平米/月,暂无数据,暂无数据,2003年,暂无数据,1.9,30%(一般),远洋地产有限公司,北京远洋基业物业管理有限公司,
水南庄壹号,朝阳-四惠-惠河南街,116.522382,39.910731,38986,——,0,28,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
惠泽园,朝阳-四惠-建国路,116.507232,39.916643,62121,↓0.77%,2,6,暂无数据,暂无数据,暂无数据,暂无数据,2002年,暂无数据,暂无数据,31%(一般),北京京煤集团开发有限公司,北京京煤集团有限责任公司物业管理分公司,
通惠家园惠生园,朝阳-四惠-建国路,116.51385,39.916348,65611,↓5.23%,104,82,暂无数据,0.55元/平米/月,暂无数据,暂无数据,2001年,暂无数据,2.1,31%(一般),北京首都开发控股（集团）有限公司,北京亿方物业管理有限责任公司,
通惠家园惠泽园,朝阳-四惠-建国路,116.508451,39.915974,73259,↑1.05%,184,171,暂无数据,2.90元/平米/月,暂无数据,暂无数据,2002年,暂无数据,1.46,31%(一般),北京首都开发控股（集团）有限公司,北京亿方物业管理有限责任公司,
通惠家园惠润园,朝阳-四惠-建国路,116.510938,39.91585,66942,↓0.11%,240,186,暂无数据,2.79元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京首都开发控股（集团）有限公司,北京亿方物业管理有限责任公司,
金地名京,朝阳-四惠-力源里北街2号,116.503488,39.916043,108642,↓0.22%,427,882,暂无数据,4.80元/平米/月,暂无数据,暂无数据,2009年,暂无数据,2.8,35%(一般),金地集团,北京金地物业管理有限责任公司,
力源里小区,朝阳-四惠-东四环中路,116.499205,39.916381,69326,↑0.33%,13,46,暂无数据,1.00元/平米/月,50000m²,暂无数据,1996年,150元/车位/月,2.1,30%(一般),神华北京国华电力有限责任公司,单位自管物业,
通惠家园惠民园,朝阳-四惠-建国路,116.51809,39.915822,62676,↑1.60%,359,355,暂无数据,0.55元/平米/月,600000m²,1016户,2004年,300,2.11,31%(一般),北京首都开发控股（集团）有限公司,北京亿方物业管理有限责任公司,
康家园小区,朝阳-四惠-高碑店北路,116.521676,39.918798,64331,↑1.92%,0,24,暂无数据,0.55元/平米/月,9000m²,3047户,2000年,501,1.81,30%(一般),北京银信兴业房地产开发有限公司,御东物业,
壹线国际,朝阳-四惠-建国路,116.507502,39.915404,75454,↑6.79%,2,5,暂无数据,2.76元/平米/月,600000m²,1980户,2006年,250,暂无数据,31%(一般),北京首都开发控股（集团）有限公司,北京亿方物业管理有限责任公司,
惠馨国际公寓,朝阳-四惠-建国路,116.515696,39.919249,19512,——,0,1,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
