万科公园五号,朝阳-团结湖-甜水园街,116.483376,39.931259,102773,↑3.16%,225,325,暂无数据,6.30元/平米/月,99000m²,869户,2004年,地下1000个,地上200个,2.5,31%(一般),北京万科企业有限公司,北京万科物业服务有限公司,
团结湖北里小区,朝阳-团结湖-团结湖路,116.472778,39.933666,74007,↓0.94%,21,162,暂无数据,0.50元/平米/月,1000m²,800户,1985年,800,1.33,35%(一般),北京城建房地产开发有限公司,北京市朝阳区房管理公司,
华阳家园,朝阳-团结湖-姚家园路,116.481446,39.937423,78973,↑7.48%,25,42,暂无数据,2.23元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2,30%(一般),北京华阳房地产发展有限责任公司,北京华阳物业管理有限公司,
万科东第,朝阳-团结湖-姚家园路,116.483713,39.936446,83786,↓1.04%,28,56,暂无数据,5.20元/平米/月,65000m²,300户,2007年,300,3.56,30%(一般),北京市朝阳万科房地产开发有限公司,万科物业管理有限公司,
道家园小区,朝阳-团结湖-甜水园东街7号,116.492704,39.931532,68852,↓0.56%,74,76,暂无数据,1.10元/平米/月,80000m²,2500户,1990年,500,1.8,40%(高),北京市朝阳区城市建设综合开发公司,北京市恒安物业管理有限公司,
甜水园东里,朝阳-团结湖-甜水园东街,116.489363,39.931904,68961,↓1.16%,89,143,暂无数据,暂无数据,230000m²,2646户,1984年,100,1.5,28%(一般),北京市崇文区城市建设开发公司,北京市甜水园物业管理中心,
团结湖公寓,朝阳-团结湖-团结湖东里12号,116.476867,39.934707,73321,↑10.28%,27,104,暂无数据,2.83元/平米/月,60000m²,554户,1999年,地上350/月;地下450/月,1.5,30%(一般),富亿通伟业房地产开发公司,中实杰肯道夫物业管理有限公司,
秀水园小区,朝阳-团结湖-甜水园街,116.48053,39.935836,70562,↓2.20%,75,249,暂无数据,1.10元/平米/月,35000m²,暂无数据,1990年,520个,1.3,30%(一般),北京城建集团有限责任公司,北京市恒安物业管理有限公司,团结湖二小,
紫荆豪庭,朝阳-团结湖-东三环北路30号,116.468918,39.930251,59457,↓0.28%,86,106,暂无数据,3.38元/平米/月,暂无数据,暂无数据,1999年,暂无数据,4.5,50%(高),北京科管房地产开发有限公司,深圳长城物业集团股份有限公司北京分公司,
水碓子西里,朝阳-团结湖-朝阳北路,116.47451,39.930203,72411,↓1.89%,23,41,普通住宅,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,25%(一般),北京九洲房地产综合开发有限公司,北京朝阳区房屋管理公司,团结湖二小,
延静里小区,朝阳-团结湖-延静里6号,116.487988,39.929313,71563,↓2.08%,28,46,暂无数据,0.50元/平米/月,100000m²,4106户,1981年,地上,暂无数据,30%(一般),住总房地产开发有限责任公司,北京恒安物业管理公司,
六里屯北里,朝阳-团结湖-朝阳公园南路,116.482105,39.938212,73154,↑1.94%,17,50,暂无数据,0.45元/平米/月,12000m²,1000户,1980年,300,2,35%(一般),北京广厦京都置业有限公司,北京商宇物业管理有限责任公司,
白家庄东里,朝阳-团结湖-姚家园路,116.471496,39.93557,74370,↓1.98%,44,127,暂无数据,0.50元/平米/月,1000m²,1000户,2015年,1000,1.3,30%(一般),北京城建房地产开发有限公司,单位自管,团结湖二小,
甜水园北里,朝阳-团结湖-水碓子中街,116.488654,39.934785,69974,↓0.94%,66,117,暂无数据,1.00元/平米/月,暂无数据,1500户,2000年,100,暂无数据,20%(一般),北京市朝阳区城市建设综合开发公司,北京电子城物业管理有限公司,
团结湖东里,朝阳-团结湖-姚家园路,116.4743077,39.93474478,75041,↑0.25%,53,105,暂无数据,2.50元/平米/月,1500m²,1200户,2015年,1000,1.3,20%(一般),北京富亿通房地产开发有限责任公司,北京金越发展公司团结湖物业部,团结湖二小,
马道口小区,朝阳-团结湖-水碓子中路,116.482118,39.933158,71064,↓2.19%,38,18,暂无数据,0.70元/平米/月,2975m²,528户,1980年,300,2.98,30%(一般),北京城建房地产开发有限公司,北京市北宇物业管理公司,
团结湖南三条小区,朝阳-团结湖-团结湖南路,116.479053,39.93149,76193,↑0.76%,20,3,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.33,35%(一般),暂无数据,暂无数据,
团结湖南里,朝阳-团结湖-朝阳北路,116.469547,39.929359,69041,↑3.61%,3,52,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
政协宿舍,朝阳-团结湖-水碓子东路,116.46893,39.938097,70498,↓0.03%,8,27,暂无数据,暂无数据,暂无数据,暂无数据,1986年,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
团结湖北二条,朝阳-团结湖-团结湖北路,116.472458,39.938017,76493,↑8.32%,13,46,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
六里屯东里,朝阳-团结湖-姚家园路,116.489582,39.936215,65310,↓5.83%,13,11,暂无数据,暂无数据,985m²,1134户,1980年,500,1.5,30%(一般),海开德诚永信,居民自理,
甜水园东街5号院,朝阳-团结湖-甜水园东街5号,116.48683,39.929967,63731,↓9.84%,1,4,暂无数据,暂无数据,暂无数据,暂无数据,1986年,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
甜水园西街小区,朝阳-团结湖-甜水园街,116.485359,39.933333,61958,↑0.40%,4,5,暂无数据,暂无数据,暂无数据,暂无数据,1999年,暂无数据,暂无数据,30%(一般),北京市朝阳区房地产经营开发公司,居民自理,
锦湖园公寓,朝阳-团结湖-白家庄东里23号,116.471178,39.933915,100373,↑11.81%,61,91,公寓,3.92元/平米/月,暂无数据,暂无数据,2000年,暂无数据,5.8,30%(一般),北京金隅嘉业房地产开发公司,北京金隅物业管理有限责任公司,
呼家楼北街小区,朝阳-团结湖-呼家楼北街,116.47195,39.928621,74485,↑1.06%,43,269,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.1,30%(一般),北京住总房地产开发有限责任公司,单位自管物业,
团结湖中路南三条小区,朝阳-团结湖-团结湖南路,116.478425,39.932111,74967,↑0.27%,16,38,暂无数据,暂无数据,15000m²,576户,1981年,5
甜水园西里,朝阳-团结湖-甜水园街,116.486563,39.933842,82649,↑15.20%,5,14,暂无数据,暂无数据,暂无数据,1050户,1996年,充足,1.3,30%(一般),北京九洲房地产综合开发有限公司,居民自理,东方德才学校,
团结湖水利局宿舍,朝阳-团结湖-农展馆南路,116.476966,39.938811,80339,↑0.98%,3,4,公寓,0.70元/平米/月,850m²,90户,1995年,280,1,45%(高),北京房地产开发商有限公司,社区街道物业,
