万科大都会,朝阳-国贸CBD-东三环中路,116.469262,39.911639,82618,↓6.90%,122,18,暂无数据,23.00元/平米/月,42000m²,69户,2011年,170,6.4,15%(低),北京万信投资发展有限公司,万科物业,
金台里,朝阳-国贸CBD-金台路,116.47954,39.922775,73816,↑4.36%,119,352,暂无数据,0.50元/平米/月,20000m²,1700户,1991年,1100个,1.2,28%(一般),北京城建房地产开发有限公司,街道委员会物业,呼家楼中心小学,
人民日报社家属区,朝阳-国贸CBD-金台北街,116.477538,39.926794,84199,↓0.78%,32,190,普通住宅,0.80元/平米/月,暂无数据,暂无数据,1975年,暂无数据,1.25,30%(一般),人民日报社,金台物业管理有限公司,呼家楼中心小学,
慈云寺小区,朝阳-国贸CBD-东四环中路,116.493363,39.918218,66814,↑6.63%,35,156,暂无数据,2.80元/平米/月,400000m²,2400户,2003年,1800,3.6,36%(一般),北京三能达置业有限公司,香港侨乐物业管理集团,
华业玫瑰东方,朝阳-国贸CBD-延静里中街,116.492084,39.924483,94977,↓2.70%,203,272,暂无数据,2.50元/平米/月,250000m²,800户,2005年,900个,2.78,50%(高),北京高盛华房地产开发有限公司,华业物业管理有限公司,
盛世嘉园,朝阳-国贸CBD-建国路98号,116.478019,39.911953,71112,↑0.30%,168,56,暂无数据,2.60元/平米/月,70000m²,3700户,2000年,95,暂无数据,30%(一般),北京阳光苑房地产开发有限公司,盛世物业管理有限公司,
金地国际花园,朝阳-国贸CBD-建国路91号,116.481081,39.916501,114067,↑1.05%,476,685,暂无数据,6.00元/平米/月,120000m²,1878户,2003年,地下车位,车位配比1：1.3,3,41%(高),北京金地鸿业房地产开发有限公司,北京金地物业管理有限公司,
华贸公寓,朝阳-国贸CBD-西大望路6号,116.486759,39.917584,100835,↓0.82%,346,896,暂无数据,4.20元/平米/月,1000000m²,1073户,2005年,1357个地下车位
首创禧瑞都,朝阳-国贸CBD-朝阳路139号,116.471916,39.924371,142030,↓1.23%,474,1074,暂无数据,7.80元/平米/月,186000m²,654户,2015年,1035,3.5,30%(一般),首创置业股份有限公司,北京仲量联行物业管理有限公司,
阳光100国际公寓,朝阳-国贸CBD-光华路2号,116.482333,39.918395,81529,↓1.64%,222,442,暂无数据,3.90元/平米/月,170000m²,2000户,2001年,800,3.35,35%(一般),北京银信光华房地产开发有限公司,北京阳光壹佰物业服务有限公司,
东区国际公寓,朝阳-国贸CBD-慈云寺1号,116.494287,39.919405,70134,↓2.86%,218,326,暂无数据,2.80元/平米/月,430000m²,1526户,2000年,1800,3.5,30%(一般),北京三能达置业有限公司,嘉园物业管理有限公司,
呼家楼西里,朝阳-国贸CBD-朝阳路,116.473934,39.92563,82365,↓5.97%,9,35,暂无数据,0.50元/平米/月,3740m²,460户,2015年,100,2,20%(一般),北京城建房地产开发有限公司,单位自管物业,呼家楼中心小学,
呼家楼北里,朝阳-国贸CBD-朝阳北路,116.474544,39.927386,76832,↓10.07%,8,117,普通住宅,0.50元/平米/月,暂无数据,暂无数据,2015年,200,2,20%(一般),北京城建房地产开发有限公司,单位自管物业,呼家楼中心小学,
西大望路12号院,朝阳-国贸CBD-西大望路12号,116.48516,39.911504,68002,↓17.49%,1,45,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.87,40%(高),康景物业管理集团物业管理公司,街道办事处（委员会）,
延静里中街小区,朝阳-国贸CBD-延静里中街,116.490354,39.922333,67651,↑0.58%,19,44,普通住宅,0.80元/平米/月,暂无数据,暂无数据,1992年,150,2.9,30%(一般),北京住总房地产开发有限公司,街道委员会物业,
和乔丽致,朝阳-国贸CBD-光华路甲8号,116.477957,39.917945,101878,↓4.01%,50,339,暂无数据,5.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,4,26%(一般),北京奥德房地产开发有限公司,北京和乔物业管理公司,
金台北街小区,朝阳-国贸CBD-金台北街1-5号,116.480984,39.927918,72037,↑5.76%,24,49,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1991年,暂无数据,1.33,40%(高),北京住总房地产开发有限公司,街道委员会物业,
万达广场公寓(朝阳),朝阳-国贸CBD-建国路93号,116.478144,39.916422,75015,↓8.04%,38,13,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
红庙北里,朝阳-国贸CBD-金台路,116.486663,39.924827,67073,↓1.17%,158,417,暂无数据,0.50元/平米/月,11462m²,1069户,1989年,地上100元/月,2.2,30%(一般),北京银信光结房地产开发有限公司,北京华普朝阳物业管理有限公司,
蓝堡国际公寓,朝阳-国贸CBD-西大望路3号,116.483279,39.916633,92791,↓2.31%,337,578,暂无数据,6.00元/平米/月,暂无数据,暂无数据,2005年,暂无数据,4.74,53%(高),北京建华时代房地产有限公司,国贸物业酒店管理有限公司,
中国第一商城,朝阳-国贸CBD-朝阳路,116.477531,39.921271,56287,↓8.17%,97,4,公寓,0.50元/平米/月,暂无数据,暂无数据,2000年,200,2.98,暂无数据,北京住总房地产开发有限公司,仲量联行物业有限公司,
光辉里,朝阳-国贸CBD-大望路,116.483245,39.915129,85552,↓0.54%,32,264,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),北京房地产开发有限公司,北京鸿宇嘉盛物业管理有限公司,
SOHO现代城,朝阳-国贸CBD-建国路88号,116.482488,39.912178,67684,↓2.67%,625,416,暂无数据,4.30元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中鸿天房地产有限公司,北京城市绿洲物业管理有限公司,
梵悦108,朝阳-国贸CBD-建国路乙108号,116.47194,39.912454,146927,↓2.38%,244,370,暂无数据,暂无数据,暂无数据,暂无数据,2017年,暂无数据,暂无数据,30%(一般),翰林阁房地产(北京)有限公司,台湾怡盛物业,
延静东里,朝阳-国贸CBD-朝阳北路,116.493369,39.927403,62866,↑0.90%,21,45,暂无数据,1.95元/平米/月,230000m²,624户,1999年,240,2.8,30%(一般),住总房地产开发有限责任公司,三园物业管理有限公司,
水碓子东里,朝阳-国贸CBD-甜水园街,116.48161,39.929074,71227,↑3.86%,6,59,暂无数据,1.00元/平米/月,10000m²,2600户,2015年,1
呼家楼新苑,朝阳-国贸CBD-朝阳路,116.472683,39.922963,68108,↓20.19%,3,108,暂无数据,0.50元/平米/月,3875m²,850户,1998年,50,3.1,20%(一般),北京住总房地产开发有限责任公司,单位自管物业,呼家楼中心小学,
光辉南里小区,朝阳-国贸CBD-建国路,116.479843,39.912394,77571,↑1.11%,40,75,暂无数据,1.50元/平米/月,20000m²,1500户,2002年,150,3,30%(一般),印刷厂和社科院,街道办事处（委员会）,
柴家湾,朝阳-国贸CBD-朝阳路,116.489147,39.920766,65821,↑0.74%,3,11,暂无数据,1.50元/平米/月,562000m²,452户,1998年,323,2.9,30%(一般),北京房地产开发有限公司,北京市朝阳区房屋管理局,
红庙西里,朝阳-国贸CBD-光华路2号,116.479518,39.920288,71706,↓0.74%,13,54,暂无数据,0.50元/平米/月,166700m²,2户,1986年,地下三屋停车位,2.2,35%(一般),北京银信光结房地产开发有限公司,鸿运承物业,呼家楼中心小学,
合生国际花园(二期),朝阳-国贸CBD-光华北一街,116.465855,39.905425,94678,↓0.08%,65,61,暂无数据,2.99元/平米/月,暂无数据,暂无数据,2008年,暂无数据,3.4,38%(一般),北京合生绿洲房地产开发有限公司,无,
珠江帝景,朝阳-国贸CBD-西大望路,近大郊亭北街,116.487361,39.896191,100128,——,0,8,暂无数据,2.96元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.89,37%(一般),北京合生北方房地产开发有限公司,康景物业管理集团,陈经纶中学帝景分校小学部,
中海安德鲁斯庄园,朝阳-国贸CBD-高碑店路,116.532059,39.890643,64208,↓0.18%,0,0,别墅,2.80元/平米/月,200000m²,628户,2000年,每户一个车库和一个车位,0.73,36%(一般),北京中海地产有限公司,北京中海物业管理有限公司,
珠江发展中心,朝阳-国贸CBD-西大望路甲23号,116.484912,39.897534,4239,↓81.14%,2,0,暂无数据,4.00元/平米/月,870000m²,4200户,2000年,1：1,2.89,37%(一般),北京合生北方房地产开发有限公司,康景物业管理集团物业管理公司,陈经纶中学帝景分校小学部,
光辉里小区,朝阳-国贸CBD-建国路,116.483314,39.91556,79290,↓0.18%,0,1,公寓,暂无数据,暂无数据,1035户,1989年,50,3,30%(一般),暂无数据,北京红星酒厂股份有限公司,
新街大院,朝阳-国贸CBD-朝阳路,116.474852,39.921216,89352,↑0.43%,0,41,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1991年,150元,2,30%(一般),北京电影洗印厂开发集团,街道办事处（委员会）,呼家楼中心小学,
