建工双合家园B区,朝阳-垡头-双合中路8号,116.532671,39.862491,39736,↑1.31%,19,27,暂无数据,1.83元/平米/月,592100m²,7160户,2004年,车位充足,2.57,30%(一般),北京建工集团房地产开发有限公司,北京建工物业服务有限公司,
格林莱雅,朝阳-垡头-金蝉里22号,116.512785,39.873011,70566,↓1.91%,79,33,暂无数据,2.58元/平米/月,73800m²,432户,2009年,1：1,2,40%(高),北京翔鸣房地产开发有限公司,北京格林物业管理有限公司,
垡头北里,朝阳-垡头-垡头街,116.518518,39.874663,51821,↓2.13%,57,24,暂无数据,暂无数据,18000m²,1430户,1982年,150/月,2.1,30%(一般),北京城建房地产开发有限公司,金鸿新城北京物业管理有限公司,首师大附属朝阳实验小学金蝉校区,
金蝉北里,朝阳-垡头-厚金路,116.514235,39.874785,56828,↑1.29%,41,54,暂无数据,0.50元/平米/月,120000m²,800户,1998年,充足,2,40%(高),北京世纪华侨城实业有限公司,北京恒特物业管理有限公司,
垡头西里,朝阳-垡头-金蝉南路,116.519146,39.869565,52607,↓3.97%,119,44,暂无数据,暂无数据,90000m²,1950户,1983年,免费,1.8,15%(低),北京市住总集团有限公司,无,首师大附属朝阳实验小学金蝉校区,
金蝉南里,朝阳-垡头-金蝉南路,116.509046,39.868721,59545,↓1.33%,187,135,暂无数据,1.35元/平米/月,830000m²,1000户,2015年,1；1,3,30%(一般),北京世纪华侨城实业有限公司,北京森和物业管理有限公司,
华侨城,朝阳-垡头-金蝉北路,116.510013,39.8722,77905,↓1.06%,581,430,暂无数据,2.60元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,10%(低),北京世纪华侨城实业有限公司,北京华侨城物业管理有限公司,
垡头翠城雅园社区,朝阳-垡头-武基街,116.515062,39.861945,40000,↑3.18%,100,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京住总房地产开发有限责任公司,北京天诺物业管理有限公司,
翠成馨园,朝阳-垡头-南杨庄路,116.513168,39.862759,51030,↓2.77%,1296,440,暂无数据,1.25元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2.5,30%(一般),北京住总房地产开发有限责任公司,北京天诺物业管理有限公司,
金蝉里,朝阳-垡头-垡头西街,116.514474,39.87309,56541,↓1.07%,38,5,暂无数据,暂无数据,50000m²,1200户,2000年,免费,1.8,30%(一般),北京世纪华侨城实业有限公司,无,首师大附属朝阳实验小学金蝉校区,
垡头东里,朝阳-垡头-垡头东路,116.524067,39.865965,36869,↑7.45%,10,37,暂无数据,0.50元/平米/月,20000m²,1100户,1998年,150/月,2.2,35%(一般),北京城建房地产开发有限公司,业主自管,首师大附属朝阳实验小学金蝉校区,
