后现代城B区,朝阳-大望路-百子湾南一路,116.490448,39.906163,75283,↓3.09%,44,1052,暂无数据,3.00元/平米/月,600000m²,4342户,2002年,地上停车位,2.8,33%(一般),北京金马文华园房地产开发有限公司,北京西宁嘉业物业管理有限公司,
广渠金茂府北区,朝阳-大望路-百子湾南二路66号,116.491031,39.901797,149010,↓0.35%,380,304,暂无数据,6.50元/平米/月,366302m²,982户,2011年,1380,2.25,30%(一般),中化方兴置业（北京）有限公司,金茂物业,实验二小朝阳学校,
易构空间,朝阳-大望路-百子湾路甲16号,116.487068,39.905553,73502,↓1.92%,128,167,暂无数据,2.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,50%(高),暂无数据,北京太平洋物业管理公司,
后现代城D区,朝阳-大望路-百子湾南一路,116.492345,39.903626,77411,↑0.47%,28,319,暂无数据,3.50元/平米/月,600000m²,4442户,2002年,地上停车位,3.33,33%(一般),北京金马文华园房地产开发有限公司,北京西宁嘉业物业管理有限公司,
后现代城C区,朝阳-大望路-百子湾南一路16号,116.492852,39.904444,71918,↓1.43%,107,352,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,暂无数据,北京金马文华园房地产开发有限公司,北京西宁嘉业物业管理有限公司,
广渠金茂府西区,朝阳-大望路-广渠路25号,116.49104,39.900033,130111,↓3.46%,320,214,暂无数据,6.50元/平米/月,暂无数据,暂无数据,2013年,暂无数据,2.25,30%(一般),北京方兴融创房地产开发有限公司,北京金茂物业管理有限公司,实验二小朝阳学校,
复地首府,朝阳-大望路-西大望路甲20号,116.486849,39.901046,97459,↑3.15%,236,81,暂无数据,5.50元/平米/月,165124m²,280户,2008年,1
广渠金茂府东区,朝阳-大望路-广渠路23号,116.49426,39.899985,129940,↓1.47%,763,458,暂无数据,6.50元/平米/月,暂无数据,暂无数据,2014年,暂无数据,2.25,30%(一般),北京方兴融创房地产开发有限公司,北京金茂物业管理有限公司,实验二小朝阳学校,
后现代城A区,朝阳-大望路-百子湾路,116.493724,39.905977,73527,↓2.77%,635,499,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2.9,33%(一般),北京金马文华园房地产开发有限公司,北京西宁嘉业物业管理有限公司,
金港国际,朝阳-大望路-西大望路19号,116.486877,39.903315,91513,↓4.70%,400,426,暂无数据,3.00元/平米/月,28m²,1790户,2002年,地下1270，地上285,1.8,32%(一般),北京中加兴业房地产开发有限公司,天道勤物业管理有限公司,
