澳林春天,朝阳-奥林匹克公园-林萃路,116.380332,40.018684,104313,↑2.06%,165,141,暂无数据,2.50元/平米/月,160000m²,684户,2003年,624,2,34%(一般),北京市旭日房地产开发有限责任公司,北京林翠物业管理有限责任公司,北师大朝阳附小,
奥运村双泉社区,朝阳-奥林匹克公园-京藏高速,116.371865,40.017535,85000,↓21.25%,0,0,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,北京市吉润物业管理有限公司,
慧德苑,朝阳-奥林匹克公园-科荟路,116.411663,40.015079,74250,——,0,0,暂无数据,0.65元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.5,30%(一般),华汇开发商,北京华民物业经纪有限责任公司,
汽修一厂宿舍,朝阳-奥林匹克公园-科荟路,116.372433,40.017835,68766,↓12.86%,0,6,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
花虎沟9号院,朝阳-奥林匹克公园-京藏高速路,116.370094,40.0203,70950,↓5.50%,1,5,暂无数据,0.50元/平米/月,85000m²,450户,1996年,500,1.3,20%(一般),中国一气集团公司,单位自管安物业,北师大朝阳附小,
澳林观邸,朝阳-奥林匹克公园-科荟路,116.378966,40.01657,104607,↑0.93%,16,10,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2008年,暂无数据,2,34%(一般),北京旭日房地产开发有限责任公司,北京城市绿洲物业管理有限公司,
花虎沟2号院,朝阳-奥林匹克公园-京藏高速路,116.371135,40.018197,71203,↓15.35%,3,23,暂无数据,1.20元/平米/月,暂无数据,暂无数据,1988年,暂无数据,暂无数据,30%(一般),北京实业开发公司,单位自管物业,
建清园(南区),朝阳-奥林匹克公园-月泉路,116.354,40.020181,81747,↑2.54%,3,18,暂无数据,1.50元/平米/月,暂无数据,暂无数据,1996年,暂无数据,1.5,30%(一般),北京城建集团有限责任公司,北京金融街物业管理有限责任公司,
林萃西里,朝阳-奥林匹克公园-林萃西里二号路,116.374991,40.017634,77282,↓17.07%,1,22,暂无数据,0.70元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2,34%(一般),北京旭日房地产开发有限责任公司,北京林萃物业管理有限责任公司,
倚林佳园(别墅),朝阳-奥林匹克公园-林萃路,116.379057,40.020679,113646,↑3.83%,12,17,暂无数据,暂无数据,暂无数据,暂无数据,2002年,暂无数据,0.7,32%(一般),北京科林房地产开发有限公司,2.4,
澳林春天三期,朝阳-奥林匹克公园-林萃西里一号路,116.378443,40.018585,97364,↓1.39%,63,51,暂无数据,0.70元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京旭日房地产开发有限责任公司,北京林萃物业管理有限责任公司,
