国典华园,朝阳-安贞-安定路12号,116.416305,39.981061,98484,↓1.36%,135,189,暂无数据,2.50元/平米/月,63000m²,1322户,2003年,400,3,30%(一般),北京国电房地产开发有限公司,北京市冶平物业管理有限公司,北京樱花园实验学校,
北三环中路2号院,朝阳-安贞-北三环中路2号,116.400757,39.973082,58913,↓1.84%,4,0,暂无数据,1.20元/平米/月,15000m²,2600户,1997年,1
品元,朝阳-安贞-裕民路12号,116.3919,39.979784,85907,↑5.17%,9,0,暂无数据,5.80元/平米/月,38000m²,157户,1999年,地下车库,4.4,32%(一般),北京凯德品元房地产开发有限公司,北京北辰物业管理有限公司,
安华西里(三区),朝阳-安贞-安华路,116.406782,39.972166,85870,↑2.86%,31,32,暂无数据,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京首建招标有限责任公司,北京亿方物业管理有限责任公司,
富仁名苑,朝阳-安贞-建安东路,116.419992,39.980563,91139,↓4.23%,82,131,暂无数据,2.80元/平米/月,110000m²,536户,2003年,每户一位，出租按国家标准,3,35%(一般),北京城韵房地产开发有限公司,北京安港物业管理有限公司,
安贞里(一区),朝阳-安贞-健安东路,116.410523,39.981229,81707,↓1.87%,127,121,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京市东城区住宅建设开发公司,北京东方容和物业管理有限责任公司,
安贞里(三区),朝阳-安贞-安贞路,116.410429,39.975937,84169,↓1.00%,41,40,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京市东城区住宅建设开发公司,北京东方容和物业管理有限责任公司,
外馆东街50号院,朝阳-安贞-外馆东街50号,116.408705,39.969106,80978,↑8.46%,30,7,暂无数据,1.00元/平米/月,暂无数据,1160户,1983年,1
凯景铭座大厦,朝阳-安贞-外馆东街51号,116.410008,39.968559,87643,↑4.27%,5,11,暂无数据,2.30元/平米/月,28402m²,204户,2004年,150元/车位/月,4.77,30%(一般),北京强佑地产房地产开发有限公司,北京均豪物业管理股份有限公司,
安华西里(二区),朝阳-安贞-外馆斜街,116.404312,39.971249,82149,↓1.22%,44,17,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京首建招标有限责任公司,北京亿方物业管理有限责任公司,
城市出品,朝阳-安贞-胜古南里34号,116.419774,39.977359,90626,↑1.49%,34,125,暂无数据,2.48元/平米/月,53000m²,510户,2005年,350,2.8,25%(一般),北方房地产开发有限责任公司,北京鼎泰物业管理有限公司,
胜古馨园,朝阳-安贞-胜古中路,116.419337,39.978127,107263,↓0.19%,13,11,暂无数据,2.52元/平米/月,36628m²,180户,2003年,180个车位,4,30%(一般),北京金基力房地产开发公司,北京金瑞普物业管理有限责任公司,北京樱花园实验学校,
安贞西里一区,朝阳-安贞-安贞路,116.406479,39.980445,80622,↓4.52%,94,138,暂无数据,0.80元/平米/月,60000m²,1680户,1985年,600,0.9,30%(一般),北京城建房地产开发有限公司,北京亿方物业管理有限责任公司,
安贞西里二区,朝阳-安贞-北辰路,116.403128,39.980611,82002,↓2.99%,100,446,暂无数据,2.50元/平米/月,5000m²,2900户,1985年,300,1.2,20%(一般),北京住总房地产开发有限责任公司,北京亿方物业管理有限责任公司,
黄寺大街36号院,朝阳-安贞-黄寺大街36号,116.399515,39.972358,96011,↓1.82%,1,6,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.7,40%(高),无,单位自管物业,
皇姑坟小区,朝阳-安贞-胜古北路,116.416467,39.978199,79780,↓4.98%,26,41,暂无数据,0.55元/平米/月,暂无数据,368户,1990年,100,2.2,30%(一般),暂无数据,北京天岳恒房屋经营管理有限公司泰华物业管理分公司,
外馆斜街6号院,朝阳-安贞-外馆斜街6号,116.4071733129,39.9694332328,97034,↑14.65%,2,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
寰球之家,朝阳-安贞-樱花园西街,116.423558,39.981321,77651,↓1.10%,0,1,暂无数据,0.80元/平米/月,12000m²,500户,1997年,300,2,35%(一般),北京住总房地产开发有限责任公司,恒安物业,
裕民路1号院,朝阳-安贞-裕民路1号,116.398457,39.979681,88994,↑3.41%,0,0,暂无数据,0.50元/平米/月,暂无数据,800户,2015年,80,2,30%(一般),无,单位自管物业,
冶金小区,朝阳-安贞-胜古北路1号,116.418029,39.978961,75632,↑24.05%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,1997年,暂无数据,暂无数据,30%(一般),暂无数据,21、22#北京金瑞普物业管理有限责任公司|23#自主物业,
胜古中路2号院,朝阳-安贞-胜古中路2号,116.420864,39.979212,67091,↑2.43%,0,1,暂无数据,1.69元/平米/月,暂无数据,暂无数据,1981年,暂无数据,暂无数据,暂无数据,北京朝阳房地产经营开发部,北京朝阳房地产公司,
石油冶金家属院,朝阳-安贞-胜古中路,116.418018,39.979915,30555,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,1,10%(低),暂无数据,小区居民自主物业,
鼓楼外大街3号小区,朝阳-安贞-鼓楼外大街3号,116.400017,39.980359,79273,↓4.54%,3,6,暂无数据,2.30元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.6,21%(一般),无,单位自管物业,
京友公寓,朝阳-安贞-裕民路12号,116.390314,39.980538,90347,↑0.34%,1,0,暂无数据,2.95元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,京友房地产开发有限公司,北京北辰物业管理有限公司,
裕民路4号院,朝阳-安贞-裕民路4号,116.392017,39.979252,79796,↓5.72%,4,1,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,北京都市绿色家园开发有限公司,
裕民路3号院,朝阳-安贞-裕民路3号,116.396013,39.979439,76444,↓5.49%,24,18,暂无数据,0.50元/平米/月,暂无数据,300户,1988年,无,1.2,40%(高),北京京友房地产开发经营有限公司,单位自管物业,
裕民东里,朝阳-安贞-裕民路,116.393453,39.980386,84847,↓3.68%,11,6,暂无数据,2.30元/平米/月,暂无数据,暂无数据,1980年,暂无数据,2,15%(低),北京市西城区城市建设开发公司,单位自营物业,
新风北街小区,朝阳-安贞-新风北街,116.383076,39.971917,138190,↑3.72%,8,5,暂无数据,暂无数据,暂无数据,暂无数据,1984年,暂无数据,暂无数据,暂无数据,暂无数据,北京仁通物业管理有限公司,
安华里二区,朝阳-安贞-安华路,116.410909,39.972228,74449,↓0.88%,18,16,暂无数据,1.50元/平米/月,150000m²,606户,1987年,充足,2.2,30%(一般),住总房地产开发有限责任公司,北京东方容和管理有限责任公司,
泰利明苑,朝阳-安贞-安外外馆斜街甲1号,116.412142,39.96878,74607,↓2.55%,4,2,暂无数据,4.20元/平米/月,暂无数据,暂无数据,1997年,暂无数据,3,30%(一般),北京世纪实业兴业开发有限公司,北京泰利明苑物业有限公司,
华展国际公寓,朝阳-安贞-裕民路12号,116.390308,39.979582,64485,↓0.86%,3,8,暂无数据,3.04元/平米/月,暂无数据,暂无数据,1999年,暂无数据,暂无数据,40%(高),北京北辰创新高科技发展有限公司,北京鸿鹄物业管理有限公司,
安华里一区,朝阳-安贞-安定门外大街,116.409604,39.974,78782,↓0.75%,77,71,暂无数据,1.50元/平米/月,52000m²,800户,1988年,150,2.2,30%(一般),北京住总房地产开发有限责任公司,北京东方容和管理有限责任公司,
黄寺大街28号院,朝阳-安贞-黄寺大街28号,116.395742,39.968861,97887,↑9.32%,5,3,暂无数据,1.50元/平米/月,1200m²,368户,1992年,45,1.7,10%(低),北京西城开发有限公司,单位自管物业,
安华里三区,朝阳-安贞-安定门外大街,116.41273,39.972359,82292,↓7.94%,15,95,暂无数据,0.50元/平米/月,150000m²,6698户,1986年,350,2.2,30%(一般),住总房地产开发有限责任公司,北京北辰物业管理有限公司,
安贞西里四区,朝阳-安贞-安贞路,116.405967,39.977625,86664,↓0.86%,31,49,暂无数据,1.25元/平米/月,614800m²,1504户,1988年,充足,0.9,30%(一般),北京城建房地产开发有限公司,北京亿方物业管理有限责任公司,
安贞里(二区),朝阳-安贞-安定路,116.412235,39.978275,80053,↓4.21%,128,69,暂无数据,1.80元/平米/月,1000000m²,4000户,1995年,150,1.2,30%(一般),北京市东城区住宅建设开发公司,北京东方容和物业管理有限责任公司,
胜古北里,朝阳-安贞-樱花园西街,116.422725,39.980446,79774,↓0.53%,136,157,暂无数据,0.50元/平米/月,9000m²,850户,1997年,地上车位150元/月,2.5,20%(一般),北京城市建设开发集团有限公司,自管理物业,北京樱花园实验学校,
