首开畅心园,朝阳-常营-五里桥一街3号,116.617195,39.931906,41633,↓1.03%,388,199,暂无数据,1.60元/平米/月,53689m²,1829户,2010年,车位充足,暂无数据,30%(一般),北京城市开发集团有限责任公司,北京嘉宝物业管理有限公司,
白家楼,朝阳-常营-平房路,116.553563,39.934067,34717,↑1.47%,48,4,暂无数据,0.56元/平米/月,20000m²,2600户,1997年,充足,2,30%(一般),北京住总房地产开发有限责任公司,业主自管,
中弘北京像素南区,朝阳-常营-五里桥二街2号,116.62521,39.932765,43230,↓1.48%,284,530,暂无数据,2.10元/平米/月,暂无数据,暂无数据,2009年,暂无数据,暂无数据,40%(高),北京中弘投资有限公司,北京中弘文昌物业管理有限公司,
中弘北京像素北区,朝阳-常营-五里桥一街1号,116.622394,39.933939,44257,↓1.97%,884,647,暂无数据,2.10元/平米/月,暂无数据,暂无数据,2009年,暂无数据,暂无数据,40%(高),北京中弘投资有限公司,北京中弘文昌物业管理有限公司,
北辰福第南区,朝阳-常营-北辰福第南区|常营中路6号,116.608551,39.933096,50482,↓4.68%,12,248,暂无数据,1.80元/平米/月,302000m²,3911户,2008年,1103,2.8,35%(一般),北京北辰实业股份有限公司,北辰物业管理有限公司,
优点社区,朝阳-常营-幺家店路,116.595096,39.936852,55232,↓3.38%,70,85,暂无数据,1.30元/平米/月,88000m²,713户,2006年,1
苹果派,朝阳-常营-黄渠东路2号,116.584769,39.935585,67953,↑0.22%,68,314,暂无数据,2.13元/平米/月,200000m²,1092户,2007年,地上600个地下400个,1.85,40%(高),北京营基房地产开发有限公司,北京近点物业管理有限公司,
富力阳光美园,朝阳-常营-常营中路2号,116.612832,39.933642,53159,↓3.85%,340,292,暂无数据,1.80元/平米/月,1010000m²,8000户,2004年,车位充足,2.49,41%(高),富力地产股份有限公司,恒富物业管理有限公司,
保利嘉园3号院,朝阳-常营-常营北路,116.613137,39.936575,49879,↑0.33%,483,432,公寓,2.10元/平米/月,400000m²,3764户,2000年,200/位·月,2.47,35%(一般),保利（北京）房地产开发有限公司,保利物业管理,
万象新天家园,朝阳-常营-常营北路10号,116.599214,39.934505,65622,↓0.34%,433,463,暂无数据,2.70元/平米/月,850000m²,4899户,2003年,地上1500,地下3000,1.8,33%(一般),北京天鸿房地产开发有限责任公司,天鸿燕桥物业管理公司,
金隅丽景园,朝阳-常营-朝阳北路,116.618889,39.931463,43103,↓1.75%,561,319,暂无数据,1.68元/平米/月,740000m²,8000户,2010年,满足经适房5户1辆廉租房10户1辆配置标准
柏林爱乐(二期),朝阳-常营-管庄路,116.592465,39.92903,59884,↓1.52%,82,99,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城乡房屋建设开发有限责任公司,北京正中方物业管理有限责任公司,
北辰福第中区,朝阳-常营-常营北小街2号,116.608072,39.93528,50395,↓3.25%,226,216,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京北辰实业股份有限公司北辰置地分公司,北辰物业管理有限公司,
住欣家园(西区),朝阳-常营-朝阳北路,近常新路,116.616409,39.928924,44841,↑1.16%,49,81,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京北宇物业管理公司,
龙湖长楹天街,朝阳-常营-朝阳北路,116.60888,39.929768,75730,↓1.48%,160,165,暂无数据,3.10元/平米/月,暂无数据,暂无数据,2014年,暂无数据,3.5,30%(一般),暂无数据,龙湖长楹天街物业管理有限公司,
首开东都汇公寓,朝阳-常营-朝阳北路11号,116.615624,39.932592,30000,↓3.15%,0,15,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,暂无数据,北京首都开发股份有限公司首开志信分公司,北京嘉宝物业管理有限公司,
天际万象高尔夫花园,朝阳-常营-朝阳北路,116.596853,39.937387,65340,——,0,0,公寓,3.18元/平米/月,126m²,1227户,2008年,1：1,1.4,31%(一般),北京天鸿房地产开发有限责任公司,仲量联行物业管理有限公司,
常营民族家园,朝阳-常营-常营北路,116.588604,39.935707,51179,↓0.04%,0,119,暂无数据,0.50元/平米/月,610000m²,1200户,2015年,地下595个,1.6,30%(一般),北京市城乡房屋建设开发有限责任公司,北京常营物业管理有限公司,
蝶泉花园,朝阳-常营-东苇路126号,116.603066,39.939498,38094,——,0,1,暂无数据,6.80元/平米/月,57000m²,131户,2011年,约200个停车位，1：1.6,0.6,80%(高),北京常赢绿洲假日运动中心有限公司,北京德康物业管理有限责任公司,
龙湖长楹天街,朝阳-常营-朝阳北路与管庄路交汇处,116.60577600132,39.929876864084,76295,——,0,0,公寓、普通住宅,5.9元/㎡/月,460000m²,1767户,2013年,车位充足,2.6,30%(一般),北京龙湖置业有限公司,北京龙湖物业管理有限公司,
常楹公元自由派,朝阳-常营-管庄路,116.600835,39.927343,50395,——,0,9,公寓,7.00元/平米/月,330000m²,1008户,2014年,车位：1
天泰泰福苑,朝阳-常营-朝阳北路,116.57028,39.931271,--,--,0,0,公寓,0.50元/平米/月,暂无数据,暂无数据,2004年,暂无数据,1.5,30%(一般),北京京通天泰房地产开发有限公司,北京天泰物业有限公司,
常营民族家园N区,朝阳-常营-常营中路,116.594871,39.935828,20750,——,0,0,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
首开东都汇别墅,朝阳-常营-朝阳北路11号,116.614396,39.932091,34708,——,0,10,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,暂无数据,北京首都开发股份有限公司首开志信分公司,北京市嘉宝物业管理有限公司,
定福庄北里2号院,朝阳-常营-朝阳路,116.565097,39.924567,42790,↓10.23%,9,10,暂无数据,0.85元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.6,20%(一般),北京市中建一局第五建筑公司,业主自管,
北辰福第北区,朝阳-常营-常营北小街1号,116.608197,39.937597,51170,↑0.44%,21,38,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2009年,暂无数据,2.8,35%(一般),北京北辰实业股份有限公司北辰置地分公司,北辰物业管理有限公司,
富丽阳光美园,朝阳-常营-高安屯路,116.612801,39.933739,47159,↑9.60%,1,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
柏林爱乐(四期),朝阳-常营-朝阳北路,116.592047,39.929982,62924,↑2.19%,20,53,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城乡房屋建设开发有限责任公司,北京正中方物业管理有限责任公司,
柏林爱乐(三期),朝阳-常营-朝阳北路,116.595333,39.929232,59661,↓0.02%,85,40,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城乡房屋建设开发有限责任公司,北京正中方物业管理有限责任公司,
新天际高尔夫花园,朝阳-常营-东苇路,116.602662,39.931682,57514,↓3.76%,53,8,暂无数据,3.15元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2.6,暂无数据,北京天鸿宝业房地产股份有限公司,鸿瑞侨物业,
定福家园北里,朝阳-常营-定福庄路,116.571266,39.931041,49887,↑4.44%,0,152,暂无数据,1.20元/平米/月,300500m²,2500户,2006年,1500,2.5,30%(一般),北京城建房地产开发有限公司,定福家园北里2号院2号楼防火办公,
