泛海国际碧海园,朝阳-朝阳公园东-姚家园路97号,116.503053,39.942095,114468,↓1.35%,501,357,公寓,暂无数据,暂无数据,暂无数据,2015年,暂无数据,2.8,30%(一般),北京泛海信华置业有限公司,泛海物业管理有限公司,府学胡同小学朝阳学校,
泛海世家,朝阳-朝阳公园东-华章东路1号,116.503212,39.947628,176977,↑13.73%,83,25,暂无数据,暂无数据,暂无数据,暂无数据,2017年,暂无数据,暂无数据,34%(一般),北京泛海东风置业有限公司,泛海物业管理有限公司,
国兴观湖国际,朝阳-朝阳公园东-东四环北路88号,116.499162,39.944743,103376,↑0.39%,887,677,暂无数据,3.98元/平米/月,810000m²,1643户,2005年,停车位
姚家园西里一号院,朝阳-朝阳公园东-姚家园西里1号,116.522139,39.954962,42868,↑70.82%,0,17,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2000年,充足,1.6,30%(一般),北京燕都立民开发有限公司,龙泽润宝物业管理有限公司,
姚家园西里三号院,朝阳-朝阳公园东-姚家园西里3号,116.519558,39.952435,45000,↓16.92%,0,23,暂无数据,3.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金隅物业管理有限责任公司,
姚家园西里二号院,朝阳-朝阳公园东-姚家园西里2号,116.519376,39.955038,41614,↑1.65%,2,18,暂无数据,3.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金隅物业管理有限责任公司,
姚家园西里五号院,朝阳-朝阳公园东-姚家园西里5号,116.5221,39.952268,39550,↑0.66%,2,14,暂无数据,3.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金隅物业管理有限责任公司,
金隅凤麟洲,朝阳-朝阳公园东-姚家园西里9号,116.518143,39.948895,85262,↑0.91%,13,57,暂无数据,3.51元/平米/月,86200m²,532户,2003年,500元/月,1.8,42%(高),北京金隅嘉业房地产开发有限公司,北京金隅物业管理有限责任公司,
泛海容郡,朝阳-朝阳公园东-星火西路7号,116.509439,39.948815,127913,↑1.23%,30,366,暂无数据,暂无数据,暂无数据,暂无数据,2016年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
泛海国际香海园,朝阳-朝阳公园东-姚家园北路,116.506439,39.943201,116513,↑0.25%,439,375,暂无数据,暂无数据,260m²,432户,2007年,1
泛海国际兰海园,朝阳-朝阳公园东-辛庄一街28号,116.506367,39.945525,115705,↓3.47%,242,201,暂无数据,暂无数据,2600000m²,360户,2009年,1：1.3,2.5,30%(一般),北京泛海信华置业有限公司,世邦魏理仕物业管理服务有限公司,
泛海国际樱海园,朝阳-朝阳公园东-姚家园路95号,116.503066,39.944885,127829,↓0.32%,635,371,暂无数据,暂无数据,1250000m²,1743户,2008年,1;1.3,2.5,30%(一般),北京泛海信华置业有限公司,泛海物业管理有限公司,府学胡同小学朝阳学校,
