棕榈泉国际公寓,朝阳-朝阳公园西-公园南路8号,116.486865,39.938278,109732,↓5.06%,1893,1686,暂无数据,暂无数据,260000m²,486户,2004年,1400,3.4,50%(高),北京世纪朝阳房地产开发有限公司,北京汇俊物业管理有限公司,
博雅园,朝阳-朝阳公园西-农展馆南路8号,116.477497,39.941343,87647,↓0.15%,199,310,暂无数据,3.49元/平米/月,97000m²,442户,2000年,450,2.8,40%(高),北京世纪京华房地产开发有限公司,北京博雅物业管理公司,
农展南里社区,朝阳-朝阳公园西-农展馆南路,116.471571,39.940683,78788,↓1.12%,50,85,暂无数据,0.50元/平米/月,1500m²,1900户,1980年,地上地下,暂无数据,30%(一般),朝阳开发商,单位自管物业,
碧湖居,朝阳-朝阳公园西-朝阳公园西路9号,116.480387,39.944282,79402,↓3.38%,61,241,公寓,1.00元/平米/月,9210000m²,326户,1998年,250,1.5,30%(一般),北京明达房地产开发有限公司,北京达尔文酒店物业管理有限公司,
景园大厦,朝阳-朝阳公园西-景园小街1号,116.479426,39.941521,77842,↓3.17%,343,133,公寓,8.27元/平米/月,暂无数据,350户,2002年,充足,2.7,35%(一般),北京美景园物业管理有限公司,大西洋物业管理有限公司,
北京Golf公寓,朝阳-朝阳公园西-公园西路8号,116.477985,39.943919,83953,↓0.44%,152,145,公寓,6.10元/平米/月,80000m²,196户,2005年,315,3.6,35%(一般),北京鲁能天润和信房地产开发有限公司,北京鲁能物业管理有限公司,
四季世家,朝阳-朝阳公园西-亮马桥路48号,116.474047,39.955038,106621,↑4.87%,204,131,公寓,29.00元/平米/月,254000m²,206户,2008年,700,8.47,29%(一般),长青有限公司,四季酒店物业管理公司,
枣营北里,朝阳-朝阳公园西-东三环农展馆路,116.47724,39.952517,77245,↓1.18%,82,197,暂无数据,1.00元/平米/月,6600m²,3013户,2015年,500,1.8,35%(一般),北京大成房地产开发公司,北京大成苑物业管理公司,北京八十中枣营分校小学部,
伯宁花园,朝阳-朝阳公园西-朝阳公园路,116.479464,39.951479,69300,↓9.96%,56,157,暂无数据,6.44元/平米/月,2649207m²,192户,1996年,50,2.4,35%(一般),北京市大成房地产开发总公司,北京大成苑物业管理有限责任公司,
九号公寓,朝阳-朝阳公园西-朝阳公园路9号,116.480387,39.945402,73409,↓0.93%,384,260,公寓,8.00元/平米/月,暂无数据,暂无数据,2010年,350,3.83,40%(高),北京明达房地产开发有限公司,北京达尔文酒店物业管理有限公司,
