天鹅湾北区,朝阳-朝青-甘露园中街,116.528778,39.927255,110711,↓11.01%,381,486,公寓,3.90元/平米/月,暂无数据,暂无数据,2008年,1600,2.77,30%(一般),北京博成房地产有限公司,北京城启天鹅湾物业管理有限公司,
阿曼寓所,朝阳-朝青-黄衫木店路188号,116.535344,39.926271,69983,↓3.60%,17,96,暂无数据,2.30元/平米/月,12000m²,728户,2007年,430,2.7,30%(一般),北京福源丽景房地产开发有限公司,北京利景佳园物业管理有限公司,
佳艺青年汇,朝阳-朝青-朝阳北路,116.520938,39.928751,79350,↑0.59%,32,271,暂无数据,2.20元/平米/月,320000m²,3160户,2006年,地面停车位,2.96,30%(一般),北京新松房地产开发有限公司,北京西宇嘉业物业管理有限公司,
青年路小区,朝阳-朝青-朝阳北路,116.53017,39.931223,56311,↑10.68%,69,134,暂无数据,2.60元/平米/月,920000m²,1152户,1980年,停车位充足,出租150元月,2.2,33%(一般),北京新松房地产开发有限公司,天成园物业管理公司,
逸翠园(4号院),朝阳-朝青-姚家园东里4号,116.530167,39.949394,96585,↓1.77%,134,431,暂无数据,3.70元/平米/月,360000m²,2000户,2000年,2000个
朝阳园,朝阳-朝青-甘露园南里25号,116.522309,39.924409,67562,↓2.22%,123,137,暂无数据,4.95元/平米/月,70000m²,744户,2000年,480,3,35%(一般),北京利晖房地产开发有限公司,北京城启天鹅湾物业管理有限公司,
富华家园,朝阳-朝青-黄衫木店路186号,116.536155,39.928327,53495,↓3.40%,94,131,暂无数据,0.98元/平米/月,140000m²,720户,2000年,停车位充足，出租小车150元/月，大车2,2.9,38%(一般),北京九洲房地产综合开发有限公司,北京华特物业管理发展有限公司,
珠江罗马嘉园(西区),朝阳-朝青-朝阳北路107号,116.517795,39.930672,78295,↓2.53%,285,534,公寓,2.88元/平米/月,410000m²,1696户,2004年,2630,2.52,30%(一般),北京合生愉景房地产开发有限公司,北京康景物业管理有限公司,
姚家园东里,朝阳-朝青-青年北路,116.525206,39.954854,46914,↓0.65%,75,60,普通住宅,2.50元/平米/月,暂无数据,暂无数据,2009年,暂无数据,1.7,37%(一般),北京市聚鑫城房地产开发有限责任公司,瑞丰物业,
华纺易城,朝阳-朝青-青年路29号,116.519816,39.936261,80159,↓0.95%,852,505,暂无数据,2.30元/平米/月,500000m²,2930户,2005年,2930,2.46,40%(高),北京华纺易城房地产开发有限公司,北京华纺正金物业管理有限公司,
珠江罗马嘉园(东区),朝阳-朝青-朝阳北路,116.521326,39.930696,79139,↓1.86%,602,90,暂无数据,2.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京合生愉景房地产开发有限公司,北京康景物业管理有限公司,
国美第一城2号院,朝阳-朝青-青年路西里2号,116.518031,39.93972,66597,↓1.69%,665,613,暂无数据,2.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,3,30%(一般),北京鹏润地产开发有限责任公司,天岳恒物业管理有限公司,
国美第一城3号院,朝阳-朝青-青年路西里3号,116.52214,39.939613,67175,↓0.90%,292,326,暂无数据,2.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,3,30%(一般),北京鹏润地产开发有限责任公司,天岳恒物业管理有限公司,
朗园(星河湾),朝阳-朝青-四季星河中街1号,116.529711,39.934704,91689,↑0.86%,2236,626,暂无数据,6.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,3,45%(高),广州市宏宇房地产开发有限公司,星河湾物业管理有限责任公司,
大悦公寓,朝阳-朝青-朝阳北路99号,116.525905,39.931081,47926,↓0.36%,261,403,暂无数据,6.00元/平米/月,70000m²,624户,2010年,地面1000地下停车位2024,4.5,35%(一般),中粮置业弘泰基业,凯莱物业管理有限责任公司,
朝阳雅筑,朝阳-朝青-黄衫木店路,116.529658,39.928583,69900,↑3.33%,48,68,暂无数据,1.25元/平米/月,131000m²,暂无数据,2001年,地上车位,3,30%(一般),北京城建集团有限责任公司,北京城启天鹅湾物业管理有限公司,
雅成一里,朝阳-朝青-四季星河西路,116.531223,39.93179,57330,↓3.87%,29,81,暂无数据,1.20元/平米/月,920000m²,1300户,2003年,充足,3,20%(一般),北京市大成房地产开发有限责任公司,北京大成物业管理有限责任公司,
甘露家园,朝阳-朝青-朝阳路,116.521855,39.923049,57929,↓3.03%,37,71,暂无数据,0.55元/平米/月,35000m²,3500户,2000年,500,2.5,30%(一般),
金隅泰和园,朝阳-朝青-高井北街7号,116.538046,39.926246,48416,↓0.65%,1,362,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2014年,暂无数据,2.8,暂无数据,北京金隅嘉业房地产开发有限公司,暂无数据,
御翠尚府,朝阳-朝青-姚家园东里5号,116.527052,39.949357,95836,↓0.61%,36,7,暂无数据,3.70元/平米/月,暂无数据,暂无数据,2012年,暂无数据,1.47,30%(一般),和记黄埔地产有限公司,家利物业管理（北京）有限责任公司,
朝阳嘉园(京棉新城三期),朝阳-朝青-朝阳路,116.511815,39.923481,56239,↓1.71%,21,14,暂无数据,1.86元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2.8,35%(一般),北京方晟房地产开发有限责任公司,私人承办物业,
逸翠园(2号院),朝阳-朝青-姚家园东里2号,116.530183,39.95125,98835,↑1.16%,383,14,暂无数据,3.70元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,和记黄埔地产（北京朝阳）有限公司,家利物业管理（北京）有限责任公司,
银谷美泉,朝阳-朝青-姚家园路甲8号,116.531748,39.944229,89166,↓0.65%,115,128,公寓,3.10元/平米/月,100000m²,518户,2008年,514,2,35%(一般),北京银科房地产开发有限公司,银谷世纪物业管理公司,
朝阳无限芳菁苑,朝阳-朝青-朝阳路,116.518287,39.923988,61976,↓8.12%,102,119,暂无数据,1.92元/平米/月,暂无数据,暂无数据,2004年,暂无数据,暂无数据,暂无数据,北京华森房地产开发有限公司,北京市京工物业管理有限责任公司,
熙悦尚郡,朝阳-朝青-朝阳北路66号,116.541149,39.929106,50566,↓22.65%,1,8,暂无数据,1.80元/平米/月,180376m²,400户,2017年,400,2.8,30%(一般),北京首开仁信置业有限公司,戴德梁行顾问有限公司,
