远洋LAVIE,朝阳-来广营-康营东路,近机场高速,116.548677,40.035114,104951,↓2.36%,977,63,暂无数据,18.00元/平米/月,320000m²,190户,2008年,每个车位50万，每户私家车位4-14个,0.6,31%(一般),远洋地产有限公司,中远酒店物业管理有限公司,
太利花园,朝阳-来广营-和平路一号,116.529161,40.026179,48576,↓0.29%,108,65,暂无数据,4.00元/平米/月,54600m²,182户,1999年,停车位38个，150元/车位/月,0.4,70%(高),北京太利花园房地产开发有限公司,北京鼎泰物业管理有限公司,
香江花园,朝阳-来广营-香江北路1号,116.525742,40.038352,86794,↑0.67%,1294,561,暂无数据,12.10元/平米/月,160000m²,暂无数据,1997年,每户独立车库,0.4,30%(一般),新加坡丰隆集团,香江花园物业管理公司,
北纬40度(东区),朝阳-来广营-广达路2号,116.471355,40.029415,86548,↓0.70%,462,399,暂无数据,2.36元/平米/月,780000m²,2124户,2008年,2100,2.5,30%(一般),北京新天朝来房地产开发有限公司,达文（中澳）物业管理有限公司,
中粮瑞府,朝阳-来广营-香江北路,116.526725,40.053827,98439,↓1.85%,439,11,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2016年,暂无数据,0.68,30%(一般),北京正德兴合房地产开发有限公司,北京凯莱物业管理有限公司,
观唐,朝阳-来广营-观唐东路1号,116.51393,40.037201,96183,↓0.03%,1696,647,暂无数据,9.00元/平米/月,115000m²,326户,2004年,1
望京金茂府,朝阳-来广营-来广营西路4号,116.467223,40.025041,129577,——,501,114,暂无数据,0.70元/平米/月,86817m²,92户,2014年,628,2.3,30%(一般),北京方兴融创房地产开发有限公司,中化金茂物业管理（北京）有限公司,
臻园,朝阳-来广营-来广营西路,116.470336,40.025986,109758,↓3.13%,358,129,暂无数据,5.58元/平米/月,198910m²,1314户,2015年,1
龙湖双珑原著,朝阳-来广营-景达路1号,116.530642,40.062787,75320,↓1.01%,1188,101,暂无数据,7.90元/平米/月,72000m²,148户,2015年,地下车位,0.65,30%(一般),北京通瑞万华置业有限公司,北京龙湖物业管理有限公司,
长岛澜桥,朝阳-来广营-来广营东路9号,116.521558,40.032185,75866,↑1.39%,998,641,暂无数据,7.95元/平米/月,115000m²,301户,2005年,停车位650个,0.5,55%(高),北辰房地产开发股份有限公司,欣适易扬物业有限公司,
香江北岸,朝阳-来广营-香江北路,116.493577,40.039429,29756,↑2.58%,52,299,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京市崔各庄农工商联合公司,香江北岸服务中心,
泰禾北京院子,朝阳-来广营-顺黄路,116.535001,40.062075,102436,↑0.39%,1017,223,暂无数据,2.50元/平米/月,64777m²,286户,2015年,572,1.1,30%(一般),北京瑞坤置业有限责任公司,北京泰禾中维物业管理有限公司,
