浩鸿园,朝阳-柳芳-西坝河南路3号,116.440252,39.963276,76487,↓1.82%,181,177,暂无数据,2.10元/平米/月,115907m²,800户,2001年,停车位
静安里小区,朝阳-柳芳-北三环东路,116.453107,39.96546,74756,↓3.04%,80,127,暂无数据,0.50元/平米/月,暂无数据,800户,2015年,300,2,30%(一般),北京住总房地产开发有限公司,北京建国物业,
西坝河中里,朝阳-柳芳-七圣南路,116.447079,39.969806,75959,↓0.95%,192,284,暂无数据,2.50元/平米/月,16000m²,2136户,1990年,300,1.5,30%(一般),北京住总房地产开发有限责任公司,北京亿方物业管理有限责任公司,
东土城路9号院,朝阳-柳芳-东土城路9号,116.438149,39.958917,77220,↓0.22%,16,13,暂无数据,0.50元/平米/月,4000m²,1500户,1999年,150,1.2,25%(一般),北京城建房地产开发有限公司,北京城建亚泰有限公司,
香河园中里,朝阳-柳芳-香河园路,116.45319,39.959528,75209,↓2.48%,29,55,暂无数据,0.50元/平米/月,暂无数据,1585户,1992年,150,3.2,20%(一般),北京柳芳苑房地产开发有限公司,业主自主物业,
静安东里,朝阳-柳芳-静安东街,116.456792,39.964998,77379,↑2.84%,24,95,暂无数据,0.50元/平米/月,36000m²,1800户,2010年,小区停车场,2,30%(一般),北京海欣方舟房地产开发有限公司,北京怡兴物业管理有限责任公司,
静安西街6号院,朝阳-柳芳-静安西街6号,116.453475,39.967611,86041,↑11.29%,12,13,普通住宅,1.20元/平米/月,暂无数据,暂无数据,1996年,75,2.1,30%(一般),朝阳区教委,业主自主物业,
西坝河西里,朝阳-柳芳-北三环东路,116.44393,39.971769,74358,↑1.79%,110,186,暂无数据,0.50元/平米/月,80000m²,2531户,1985年,1：1,3,40%(高),北京柳芳苑房地产开发有限公司,北京亿方物业管理有限责任公司,
芳馨园,朝阳-柳芳-西坝河南路6号,116.44187,39.962796,86585,↓2.43%,74,50,暂无数据,2.94元/平米/月,50000m²,338户,2001年,停车位470个,3.3,34%(一般),北京颂阳房地产开发有限公司,北京通泰物业管理有限责任公司|北京润豪物业管理有限责任公司,
力鸿花园,朝阳-柳芳-左家庄中街6号,116.446649,39.963974,79981,↑0.04%,113,44,暂无数据,1.10元/平米/月,200000m²,1284户,1997年,停车位
光熙门北里,朝阳-柳芳-北三环东路,116.441491,39.971593,78467,↓0.78%,228,320,暂无数据,0.80元/平米/月,260000m²,3616户,2010年,700-800,4,15%(低),首创置业股份有限公司,北京市北宇物业管理公司|北京北控物业管理有限公司,
柳芳北里社区,朝阳-柳芳-柳芳北街,116.443583,39.961822,85350,↓0.90%,102,205,暂无数据,0.50元/平米/月,5400m²,3000户,1988年,520,1.5,30%(一般),亿方物业,亿方物业,
Master领寓,朝阳-柳芳-左家庄北里58号,116.44882,39.964901,57908,↓8.35%,17,118,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
