嘉多丽园(南区),朝阳-潘家园-东三环南路19号,116.465793,39.87352,45254,↓6.28%,54,37,公寓,2.04元/平米/月,30000m²,450户,2002年,350,2.8,40%(高),北京杰盛华房地产开发有限责任公司,北京华业兴物业管理有限责公司,
嘉禾园小区,朝阳-潘家园-潘家园路,116.454956,39.881271,76219,↓0.08%,22,23,暂无数据,1.00元/平米/月,70000m²,3000户,2000年,250个停车位,3,30%(一般),北京福佳房地产开发有限责任公司,北京茂苑物业管理有限责任公司,
潘家园南里,朝阳-潘家园-华威南路,116.45593,39.880591,68727,↓1.31%,95,34,公寓,1.50元/平米/月,70000m²,1300户,1980年,免费,2.2,30%(一般),无,北京市诚志物业管理有限责任公司,
濠景阁,朝阳-潘家园-东二环路,116.452882,39.882372,76707,↓0.50%,46,5,暂无数据,1.20元/平米/月,75000m²,141户,2002年,地上地下,2.8,40%(高),北京万年永隆房地产开发有限责任公司,北京兴邦物业管理有限责任公司,
潘家园东里,朝阳-潘家园-劲松南路,116.460729,39.884824,66233,↑0.80%,201,126,暂无数据,1.25元/平米/月,140000m²,7000户,1994年,地上150元/月,2,30%(一般),北京崇文新世界房地产发展有限公司,北京市开兴和物业管理有限责任公司,劲松三小,
10AM新坐标,朝阳-潘家园-方庄东路,116.450515,39.87405,70212,↑2.43%,161,187,暂无数据,1.50元/平米/月,107000m²,1400户,2005年,550,3.88,30%(一般),北京龙洋房地产开发有限责任公司,北京新亮点物业管理有限公司,
华威西里,朝阳-潘家园-华威南路,116.460144,39.879561,64653,↓3.49%,344,125,暂无数据,0.60元/平米/月,130000m²,2900户,1993年,600,1.1,10%(低),北京崇文新世界房地产发展有限公司,居委会代管物业,劲松三小,
华威北里,朝阳-潘家园-劲松南路,116.465271,39.884745,64534,↓2.11%,286,325,暂无数据,0.50元/平米/月,130000m²,2400户,1996年,300,2.2,30%(一般),无,双吉安物业,
翌景嘉园,朝阳-潘家园-东三环南路21号,116.466138,39.878774,56995,↑0.89%,176,46,普通住宅,2.20元/平米/月,暂无数据,暂无数据,2000年,820,暂无数据,42%(高),北京金地世纪缘房地产开发有限公司,北京鑫龙嘉物业管理有限公司,
华辉苑,朝阳-潘家园-华威南路1-3号,116.465142,39.875711,63265,↓2.05%,36,26,暂无数据,2.00元/平米/月,65000m²,586户,1998年,400,2.7,31%(一般),北京首都工程有限公司,北京嘉良物业管理有限公司朝阳分公司,
嘉多丽园(北区),朝阳-潘家园-华威南路,近弘善东路,116.46499,39.875026,47096,↓4.30%,36,17,公寓,2.04元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,暂无数据,北京杰盛华房地产开发有限责任公司,北京华业兴物业管理有限责任公司,
芳林苑,朝阳-潘家园-紫芳路5号,116.451173,39.872554,61934,↓1.49%,64,26,暂无数据,1.64元/平米/月,55500m²,468户,2000年,200,4.5,50%(高),北京新地房地产开发有限责任公司,北京外企双新物业管理有限公司,
百环花园,朝阳-潘家园-华威里南街,116.465856,39.879939,59579,↓2.07%,90,107,暂无数据,1.80元/平米/月,80000m²,1860户,1987年,地上免费,2.6,30%(一般),北京百环房地产实业有限公司,北京龙城兴业物业管理,劲松三小,
弘善家园,朝阳-潘家园-华威南路,116.458009,39.87551,52316,↑0.88%,598,464,暂无数据,1.48元/平米/月,1441600m²,10000户,2009年,2222,3.89,40%(高),北京市崇文区城市建设开发公司,北京开兴义物业管理有限责任公司,
劲松七区,朝阳-潘家园-劲松南路,116.455029,39.886428,63926,↓1.20%,46,28,暂无数据,0.80元/平米/月,60000m²,500户,1983年,有,1.3,30%(一般),北京城建房地产开发有限公司,朝阳区房屋管理局第一管理所,劲松四小,
东架松,朝阳-潘家园-华威路,116.463736,39.883789,66397,↓0.49%,15,2,公寓,0.50元/平米/月,40000m²,860户,1981年,免费,2.3,30%(一般),暂无数据,劲松物业,
美丽舍,朝阳-潘家园-华威路,116.460694,39.884292,100545,↑64.14%,0,0,暂无数据,13.50元/平米/月,360000m²,1440户,2002年,充足,暂无数据,35%(一般),北京市崇文区城市建设开发公司,北京市崇文区城市建设开发公司,
龙头公寓,朝阳-潘家园-南新园西路,116.471296,39.874168,52273,——,0,3,公寓,3.50元/平米/月,57000m²,400户,1998年,260户车位数量地下700个,1.9,40%(高),北京龙头房地产开发有限公司,北京龙头房地产开发有限公司,
山水文园一期,朝阳-潘家园-弘燕路,116.475162,39.872202,94891,——,0,4,公寓,2.98元/平米/月,1360m²,430户,2001年,地下车位580个,1.36,30%(一般),北京力维斯凯亚房地产开发有限公司,北京九天物业管理有限公司,
潘家园路9号院,朝阳-潘家园-潘家园路9号,116.458327,39.88223,59963,↑1.54%,0,14,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,3.75,40%(高),北京万年永隆房地产开发有限责任公司,居委会代管物业,
潘家园西里,朝阳-潘家园-华威南路,116.460032,39.879532,75282,↑8.38%,0,10,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.1,15%(低),北京崇文新世界房地产发展有限公司,北京开心合物业管理公司,
弘善家园A区,朝阳-潘家园-华威南路,116.454537,39.876246,43289,↑5.47%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,2006年,暂无数据,3.89,40%(高),北京市崇文区城市建设开发公司,北京四海安信物业管理有限公司,
华阳公寓,朝阳-潘家园-华威路,116.466501,39.883306,56250,↓26.76%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
渤海家园,朝阳-潘家园-武圣路,116.474057,39.889168,57777,——,2,0,暂无数据,1.20元/平米/月,3000m²,184户,2000年,300,2,25%(一般),北京市宏宇房地产开发有限公司,业主自管,
惠新东街小区,朝阳-潘家园-惠新东街,116.430386,39.984024,78149,↓12.72%,1,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
华威南路小区,朝阳-潘家园-华威南路4号,116.464541,39.876297,70069,↑6.41%,2,1,暂无数据,暂无数据,10000m²,684户,1995年,免费,1.2,30%(一般),北京力维斯凯亚房地产开发有限公司,业主自管,
伊东漪龙台,朝阳-潘家园-潘家园路,116.454056,39.881507,75918,↓3.04%,3,11,暂无数据,3.80元/平米/月,41538m²,245户,2002年,一户一位,4,32%(一般),北京亚中置业房地产开发有限责任公司,无,
方丹苑,朝阳-潘家园-劲松七区29号,116.455665,39.884924,81726,↑0.25%,65,15,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2002年,500,2.9,35%(一般),北京方恒房地产开发有限公司,北京华泰龙安物业管理有限责任公司,
劲松六区,朝阳-潘家园-劲松南路,116.458533,39.886433,71892,↓14.45%,17,50,暂无数据,0.48元/平米/月,60000m²,1200户,2015年,有,1.5,25%(一般),北京城建房地产开发有限公司,居民自管,劲松四小,
