沿海赛洛城南区,朝阳-百子湾-广渠东路33号,116.511245,39.903251,68871,↓3.61%,557,2110,暂无数据,1.50元/平米/月,922223m²,4983户,2007年,3517,2.6,30%(一般),北京高盛房地产开发有限公司,美佳物业管理有限公司,
南花园,朝阳-百子湾-王四营北路,116.550595,39.887395,28721,——,0,9,暂无数据,暂无数据,暂无数据,暂无数据,1958年,暂无数据,暂无数据,暂无数据,保利（北京）房地产开发有限公司,业主自管,王四营中心小学,
金辉家园,朝阳-百子湾-广渠东路,116.522868,39.896377,4117,——,0,1,公寓,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,金辉家园物业服务中心,
观音景园(西区),朝阳-百子湾-石板坊南街,116.526575,39.893552,48340,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
广百西路16号院,朝阳-百子湾-化工路,116.51468,39.902787,66015,↑25.18%,1,18,暂无数据,2.85元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京首华物业管理有限公司,
垡头西里一区,朝阳-百子湾-垡头街,116.517872,39.872719,49203,↓4.02%,12,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,金鸿新城北京物业管理有限公司,
金都杭城西区,朝阳-百子湾-百子湾路,116.504503,39.906077,82227,↓3.66%,40,171,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2.86,31%(一般),北京浙金都房地产开发有限公司,浙江金都物业管理有限公司北京分公司,
广渠门内8号院,朝阳-百子湾-两广路,116.5126467507,39.8961971199,88170,↑45.51%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,北京市政建设集团有限责任公司,暂无数据,
垡头西里二区,朝阳-百子湾-垡头街,116.515501,39.872128,50049,↓4.56%,37,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,金鸿新城北京物业管理有限公司,
官悦欣园(B区),朝阳-百子湾-官庄北街,116.50748,39.88752,50833,↓0.85%,3,22,暂无数据,暂无数据,暂无数据,暂无数据,2014年,暂无数据,2.57,30%(一般),住总房地产开发有限责任公司,北京官庄物业管理有限公司,
中海安德鲁斯庄园西区,朝阳-百子湾-高碑店路181号,116.52747,39.890618,57818,↓3.02%,28,22,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,30%(一般),北京亿利房地产开发有限公司,北京中海物业管理有限公司,
紫南家园南区,朝阳-百子湾-大柳树路,116.504339,39.880509,62230,↓0.30%,47,28,暂无数据,0.52元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,34%(一般),北京世纪城房地产开发有限公司,北京瑛达源物业管理有限责任公司,
官悦欣园(A区),朝阳-百子湾-化工路,近金蝉西路,116.508109,39.884245,53529,↓7.28%,5,39,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
百子湾家园(B区),朝阳-百子湾-百子湾路,116.519005,39.906186,59104,↓0.52%,177,245,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2.54,30%(一般),北京建工地产有限责任公司,北京建工物业有限公司,
观音惠园,朝阳-百子湾-高碑店路,116.527523,39.896106,50471,↑0.47%,18,51,暂无数据,0.60元/平米/月,118000m²,3700户,2006年,充足,1.46,35%(一般),北京首都开发控股（集团）有限公司,北京康居安物业管理有限公司,
华瀚国际,朝阳-百子湾-世纪东方城102号,116.499385,39.884835,89397,↑1.93%,101,53,暂无数据,4.68元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,暂无数据,华瀚投资集团有限公司,北京森茂物业管理有限公司,
金都杭城东区,朝阳-百子湾-百子湾路,116.50616,39.906229,85151,↓0.03%,251,1020,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2005年,暂无数据,暂无数据,30%(一般),北京浙金都房地产开发有限公司,浙江金都物业管理有限公司北京分公司,
易构空间,朝阳-百子湾-西大望路,116.488526,39.905344,73090,↓0.04%,0,6,公寓,2.50元/平米/月,13153m²,1240户,2004年,600多个,4.8,33%(一般),北京国锐千禧房地产开发有限公司,北京泰跃物业管理公司,
金都杭城,朝阳-百子湾-石门村路一号,116.504102,39.905736,1600,↓91.69%,0,23,公寓,2.80元/平米/月,359000m²,1096户,2010年,1：1.2,3.95,30%(一般),北京浙金都房地产开发有限公司,浙江金都物业管理有限公司北京分公司,
中水电小区,朝阳-百子湾-石门东路,116.508564,39.899918,35998,——,0,108,暂无数据,0.55元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,中国水利电力对外公司北京分公司,
木材厂宿舍,朝阳-百子湾-百子湾路,116.512638,39.907288,24821,↓4.71%,0,2,暂无数据,暂无数据,暂无数据,暂无数据,1993年,暂无数据,2,31%(一般),暂无数据,暂无数据,
建工动力港,朝阳-百子湾-广渠路,116.499523,39.903593,60700,↓0.98%,0,78,暂无数据,3.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,3,30%(一般),北京建工集团有限责任公司,建工动力苑物业服务中心,
金都杭城一期,朝阳-百子湾-石门村路,116.504017,39.906075,20155,——,0,1,公寓,2.98元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2.86,30%(一般),北京浙金都房地产开发有限公司,金都物业管理有限公司,
阳光家园,朝阳-百子湾-广渠路,116.522999,39.901816,70000,——,0,7,暂无数据,30.00元/平米/月,暂无数据,暂无数据,2008年,暂无数据,2.8,30%(一般),北京市密云县房地产开发总公司,阳光花园物业管理公司,
美利山,朝阳-百子湾-百子湾路5号,116.510833,39.905139,69187,——,0,2,公寓,2.40元/平米/月,暂无数据,暂无数据,2008年,暂无数据,2.64,30%(一般),北京高盛房地产开发有限公司,美佳物业管理(深圳)有限公司北京分公司,
中海安德鲁斯庄园东区,朝阳-百子湾-高碑店路181号,116.531351,39.890493,60567,↓1.94%,275,160,暂无数据,暂无数据,暂无数据,暂无数据,2006年,暂无数据,0.8,36%(一般),北京亿利房地产开发有限公司,北京中海物业管理有限公司,
百子湾家园(A区),朝阳-百子湾-百子湾路,116.515284,39.906132,58276,↓1.57%,269,665,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2.54,30%(一般),北京建工地产有限责任公司,北京建工物业服务有限公司,
紫南家园北区,朝阳-百子湾-金蝉西路,116.504451,39.882388,61481,↓1.70%,70,78,暂无数据,1.85元/平米/月,1090000m²,836户,2001年,418,2,34%(一般),北京世纪城房地产开发有限公司,北京瑛达源物业管理有限责任公司,
世纪东方嘉园(北区),朝阳-百子湾-大柳树路,116.500888,39.88339,68019,↓1.59%,98,51,暂无数据,1.35元/平米/月,暂无数据,暂无数据,暂无数据,1750,暂无数据,暂无数据,华瀚投资集团有限公司,北京森茂物业管理有限公司,
金泰先锋,朝阳-百子湾-石门村路,116.506474,39.901651,80288,↓1.36%,126,490,暂无数据,2.60元/平米/月,200000m²,11241户,2008年,360元每月,2.2,30%(一般),北京金泰恒业有限责任公司,北京金泰物业管理有限公司,
大成国际公寓,朝阳-百子湾-百子湾路甲12号,116.499566,39.905113,72705,↓6.67%,22,303,暂无数据,10.00元/平米/月,197425m²,760户,1999年,1110,3.3,30%(一般),北京恒兴置地房地产开发有限公司,北京凯诚信达物业管理有限公司,
观音景园,朝阳-百子湾-高碑店路,116.52939,39.89346,47768,↓0.79%,9,7,暂无数据,3.00元/平米/月,12200m²,1200户,2006年,充足,3,30%(一般),北京都市绿色家园开发有限公司,北京都市绿色家园物业管理有限公司,
百子湾家园(C区),朝阳-百子湾-百子湾路,近百子湾南二路,116.518618,39.904666,58731,↓1.20%,92,217,公寓,1.50元/平米/月,610000m²,2000户,2003年,1500,2.54,30%(一般),北京建工地产有限责任公司,北京建工物业服务有限公司,
陆翔佳园,朝阳-百子湾-石门东路,116.505839,39.904432,40735,↑7.12%,5,16,暂无数据,1.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,中航百惠物业管理有限公司,
CBD高尔夫球会别墅,朝阳-百子湾-高碑店路,116.529696,39.878267,85204,↓1.57%,192,40,暂无数据,5.60元/平米/月,47800m²,800户,2006年,1：1
世纪东方嘉园(南区),朝阳-百子湾-大柳树路,116.500496,39.880344,69027,↓0.08%,487,98,暂无数据,1.35元/平米/月,1050000m²,6200户,2000年,1：1，四期地上、地下车位1：1.2,2.5,36%(一般),北京中润房地产开发有限公司,北京森茂物业管理有限公司,
金海国际,朝阳-百子湾-广渠路21号,116.498974,39.900749,61179,↓4.99%,220,426,暂无数据,2.00元/平米/月,400000m²,1534户,2004年,1534,2.8,32%(一般),北京源海房地产开发有限公司,北京盛世临枫物业管理有限公司,
沿海赛洛城北区,朝阳-百子湾-百子湾南一路,116.512011,39.902018,69505,↓0.66%,620,1095,暂无数据,1.50元/平米/月,610000m²,4465户,2000年,1500,2.6,30%(一般),北京建工集团,美佳物业管理有限公司,
