保利东郡,朝阳-石佛营-石佛营路,116.506375,39.935905,118007,↓2.11%,426,240,暂无数据,7.90元/平米/月,172689m²,336户,2013年,796,2.8,32%(一般),保利（北京）房地产开发有限公司,保利物业管理有限公司,
环卫家园,朝阳-石佛营-石佛营路,116.503092,39.933833,55294,↑4.78%,8,21,暂无数据,暂无数据,17500m²,暂无数据,2000年,150元/车位/月,2,30%(一般),北京大成开发集团有限公司,居民自理,
石佛营西里小区,朝阳-石佛营-姚家园路,116.505144,39.939372,65555,↑1.22%,69,130,暂无数据,0.80元/平米/月,300000m²,6000户,2015年,4000,3.4,34%(一般),住总房地产开发有限责任公司,北京天诺物业管理有限责任公司,
黎明新座,朝阳-石佛营-石佛营西里3号,116.507781,39.939744,67386,↑5.49%,24,3,暂无数据,1.50元/平米/月,20000m²,166户,2000年,充足,3.3,30%(一般),北京市朝阳城市建设综合开发公司,北京石佛营房管所,
中水金海嘉苑,朝阳-石佛营-石佛营100号,116.514128,39.942429,63601,↑3.31%,7,10,暂无数据,1.80元/平米/月,45000m²,600户,2005年,1：1.3,3.28,46%(高),中水金海（北京）房地产有限公司,北京中水物业管理有限公司,
酷特区,朝阳-石佛营-石佛营东路,116.51484,39.935839,77120,↑1.62%,9,17,暂无数据,2.45元/平米/月,30000m²,485户,2006年,充足,3,33%(一般),北京万利通置业有限公司,北京恒宝生物业服务有限公司,
华业玫瑰郡,朝阳-石佛营-石佛营路,116.507526,39.936918,87600,↑0.18%,48,19,暂无数据,3.50元/平米/月,55228m²,448户,2008年,小区停车场,3.1,30%(一般),北京优孚房地产开发有限公司,北京华业兴物业管理有限责任公司,
迎曦园,朝阳-石佛营-姚家园路,116.51374,39.940708,58825,↓7.62%,9,6,暂无数据,1.50元/平米/月,47573m²,1500户,1999年,充足,暂无数据,35%(一般),北京城建房地产开发有限公司,居民自理,
八里庄北里小区,朝阳-石佛营-朝阳路,116.507119,39.931643,64285,↓0.93%,320,157,暂无数据,1.00元/平米/月,60000m²,270户,1982年,150元/车位/月,3,30%(一般),北京住总集团有限责任公司,北京华丽楼宇物业管理有限责任公司,
双兴小区,朝阳-石佛营-朝阳北路,116.498455,39.933129,56260,↑7.14%,3,10,普通住宅,0.50元/平米/月,暂无数据,暂无数据,2010年,100,3.2,33%(一般),北京鸿安兴业房地产开发有限公司,北京康苑物业管理有限公司,
炫特区,朝阳-石佛营-石佛营东路,116.513015,39.936122,68267,↓1.81%,444,85,公寓,3.10元/平米/月,暂无数据,暂无数据,2005年,850,3.9,33%(一般),北京广厦京都置业有限公司,北京嘉浩物业管理有限公司,
