北京新天地(东区),朝阳-管庄-朝阳路5号,116.613665,39.920763,56340,↓1.80%,1047,473,暂无数据,1.98元/平米/月,610000m²,5000户,2004年,3250个
汇鸿家园,朝阳-管庄-常营南路50号,116.592594,39.924575,55689,↓0.92%,21,67,暂无数据,1.60元/平米/月,170000m²,3000户,2004年,490多个车位,2.44,30%(一般),北京市国土资源和房屋管理局住宅合作社,北京汇荣嘉和物业管理公司,
周家井大院,朝阳-管庄-朝阳路,116.591249,39.918106,51211,↓6.63%,35,24,暂无数据,0.50元/平米/月,200000m²,3200户,1994年,1000,1.5,30%(一般),北京建材集团房地产开发公司,北京瑞康物业服务有限公司,朝阳实验二小管庄校区,
瑞祥里东区,朝阳-管庄-瑞祥路,116.621664,39.917048,43259,↓7.50%,72,14,暂无数据,0.55元/平米/月,70000m²,2000户,2008年,150,1.75,20%(一般),暂无数据,北京顺长物业管理公司,
华龙美树,朝阳-管庄-建国路15号,116.587111,39.917944,63864,↓0.74%,286,237,暂无数据,1.80元/平米/月,150000m²,1300户,2005年,近千个,2.4,33%(一般),北京首汽房地产开发有限公司,北京喜莱达物业管理有限公司,
常楹公元,朝阳-管庄-朝阳北路,116.598975,39.927937,74193,↓0.51%,59,304,暂无数据,3.80元/平米/月,328800m²,976户,2013年,车位：1
管庄西里,朝阳-管庄-朝阳路,116.595401,39.920287,51067,↓2.64%,300,104,暂无数据,0.60元/平米/月,550000m²,4732户,1998年,免费,2.7,20%(一般),卓远地产,北京顺长物业管理中心,朝阳实验二小管庄校区,
柏林爱乐(一期),朝阳-管庄-三间房东路,116.595846,39.929578,61939,↓1.38%,173,237,暂无数据,1.80元/平米/月,190000m²,6324户,2008年,地上1500个地下3000个,2.21,33%(一般),北京城乡房屋建设房屋有限公司,北京正中方物业管理有限责任公司,
住欣家园(东区),朝阳-管庄-朝阳北路,116.618597,39.928766,44138,↓4.55%,238,169,暂无数据,1.50元/平米/月,300000m²,暂无数据,2006年,1000,2.8,30%(一般),北京住总房地产开发有限责任公司,北京市北宇物业管理公司,
京通苑阳光华苑,朝阳-管庄-朝阳路,116.603029,39.920207,46595,↓1.80%,337,221,暂无数据,0.80元/平米/月,500000m²,3595户,2003年,1000,2.4,50%(高),华润置地（北京）股份有限公司,华润置地（北京）物业管理有限责任公司,
管庄南街3号小区,朝阳-管庄-管庄南街3号,116.610006,39.923278,38333,——,1,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
尚东阁,朝阳-管庄-朝阳路,116.590024,39.920117,50401,↓1.82%,27,17,暂无数据,1.98元/平米/月,60000m²,965户,2007年,充足,2.86,30%(一般),北京城建房地产开发有限公司,北京城建物业管理有限公司,朝阳实验二小管庄校区,
