芍药居北里小区,朝阳-芍药居-北四环东路,116.442624,39.992577,76625,↑1.34%,987,1265,暂无数据,1.00元/平米/月,70000m²,10000户,1999年,500,2.29,30%(一般),北京世源城市建设综合开发公司,北京市东屿物业管理有限责任公司,
惠新南里5号院,朝阳-芍药居-惠新南里5号,116.427125,39.98413,80346,↑4.61%,8,34,普通住宅,1.00元/平米/月,暂无数据,暂无数据,1983年,100,2.4,40%(高),城建集团有限责任公司,北京天岳恒房屋经营管理有限责任公司,
惠新北里社区,朝阳-芍药居-安苑路,116.426636,39.991784,80469,↑2.59%,20,40,暂无数据,1.00元/平米/月,7250m²,687户,1995年,1：1,2.15,20%(一般),北京住总房地产开发有限责任公司,北京恒安物业管理公司,
芍药居5号院,朝阳-芍药居-育慧南路,116.438381,39.98801,80014,↓1.75%,47,243,暂无数据,1.00元/平米/月,60000m²,742户,1990年,189,2.16,34%(一般),北京市东城区房屋建设开发公司,单位自管物业,
惠新北里2号院,朝阳-芍药居-安苑路,116.427965,39.990312,86845,↑12.74%,1,4,暂无数据,1.00元/平米/月,暂无数据,4044户,1982年,地上120元/月，无地下停车,2,30%(一般),北京住总集团有限责任公司,自管物业,
芍药居小区,朝阳-芍药居-文学馆路,116.443065,39.990768,78729,↓1.75%,130,290,暂无数据,0.60元/平米/月,550000m²,600户,1999年,500,2.29,35%(一般),北京世源城市建设综合开发公司,北京东屿物业管理有限责任公司,
樱花园小区,朝阳-芍药居-北京市朝阳区建安东路,116.429238,39.981093,80957,↑3.07%,63,69,暂无数据,0.70元/平米/月,130000m²,2768户,1988年,充足
安苑北里,朝阳-芍药居-安定路,116.416755,39.991814,74884,↓0.83%,180,100,暂无数据,0.80元/平米/月,15000m²,2780户,1986年,300,2.71,30%(一般),北辰房地产开发股份有限公司,五矿物业管理有限公司,
吉利家园,朝阳-芍药居-芍药居路20号,116.440192,39.987939,70470,↓6.28%,12,122,暂无数据,1.80元/平米/月,90000m²,680户,2001年,400,3.2,40%(高),北京中鸿房地产开发有限公司,北京育新物业管理有限公司,
千鹤家园,朝阳-芍药居-北四环东路108号,116.427315,39.994274,79004,↓0.42%,302,167,暂无数据,3.30元/平米/月,360000m²,1960户,2000年,紧张,1.9,40%(高),北京金第房地产开发有限公司,北京天诺物业管理有限责任公司,
