富力又一城A区,朝阳-豆各庄-大鲁店北路,116.572886,39.852828,55967,↑2.51%,229,124,暂无数据,2.20元/平米/月,1150000m²,5340户,2004年,4334个,2.4,35%(一般),北京华恩房地产开发有限公司,北京恒富物业管理有限公司,芳草地国际学校富力分校,
富力又一城B区,朝阳-豆各庄-大鲁店北路,116.56889,39.853117,54462,↓1.48%,290,128,暂无数据,2.20元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.6,35%(一般),北京华恩房地产开发有限公司,北京恒富物业管理有限公司,芳草地国际学校富力分校,
燕保祈东家园,朝阳-豆各庄-大鲁店北路,116.544614,39.859265,37976,↓2.11%,190,231,暂无数据,2.45元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京信远置业有限公司,北京大唐物业管理有限公司第二分公司,
富力又一城C区,朝阳-豆各庄-大鲁店北路,116.564442,39.853055,58152,↓0.23%,232,151,暂无数据,2.20元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.6,35%(一般),北京华恩房地产开发有限公司,北京恒富物业管理有限公司,芳草地国际学校富力分校,
青荷里晨风园,朝阳-豆各庄-天达路2号,116.571141,39.867209,26463,↑0.63%,95,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
青荷里南山园,朝阳-豆各庄-天达路,116.570406,39.867232,32106,↑0.01%,948,25,暂无数据,2.28元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京晟世鸿承物业管理有限公司,
柏阳景园A区,朝阳-豆各庄-白鹿司路,116.559827,39.880504,47990,↓2.71%,23,0,暂无数据,1.80元/平米/月,500000m²,2980户,2000年,1：1,1.16,40%(高),北京柏基置业有限公司,北京居住主题公园物业管理有限公司,
恒大御景湾(西区),朝阳-豆各庄-黄厂路,116.559658,39.860902,32270,↓2.55%,6,41,暂无数据,0.49元/平米/月,暂无数据,暂无数据,2007年,暂无数据,1.6,30%(一般),耀华地产,耀华物业,
扬州水乡,朝阳-豆各庄-郎辛庄北路58号,116.576464,39.855329,61971,↑1.19%,124,81,暂无数据,1.60元/平米/月,110000m²,500户,2001年,充足,0.66,50%(高),北京怡景城房地产开发有限公司,北京佳境怡园物业管理有限公司,
京城雅居,朝阳-豆各庄-黄广路,116.565924,39.871256,56916,↑0.76%,330,120,暂无数据,2.20元/平米/月,170000m²,925户,2001年,800,1.1,40%(高),北京柏宇兴业房地产开发公司,北京柏年世豪物业管理有限公司,
豆各庄1号院,朝阳-豆各庄-黄厂路,116.565842,39.868365,28851,↑7.22%,2,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,普信物业,
朝丰家园(8号院),朝阳-豆各庄-天达路8号,116.571569,39.857041,47199,↑3.17%,67,23,暂无数据,0.50元/平米/月,315840m²,1500户,2007年,1：1,2.5,30%(一般),暂无数据,北京丰琪物业管理中心,
海棠公社(4号院),朝阳-豆各庄-白鹿司路4号,116.563282,39.875885,55274,↑38.12%,4,2,暂无数据,2.58元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,深圳长城物业集团股份有限公司,深圳长城物业有限公司,
海棠公社(2号院),朝阳-豆各庄-白鹿司路2号,116.562052,39.877212,62665,↓0.64%,77,18,暂无数据,2.58元/平米/月,338000m²,2343户,2005年,2343,1.39,35%(一般),北京柏基置业有限公司,深圳长城物业集团股份有限公司,
CBD玲珑墅,朝阳-豆各庄-大鲁店北路,116.576172,39.857401,67057,——,1,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
恒大御景湾(中区),朝阳-豆各庄-黄厂路,116.559234,39.860392,31300,↑13.41%,1,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
朝丰家园(4号院),朝阳-豆各庄-天达路4号,116.573462,39.857231,33953,↓20.12%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
柏阳景园C区,朝阳-豆各庄-白鹿司路,116.559215,39.877088,51162,↓1.30%,5,1,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京居住主题公园物业管理有限公司,北京燕山星城物业,
朝丰家园(6号院),朝阳-豆各庄-天达路6号,116.572697,39.860307,31607,↓12.04%,1,1,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京丰琪物业管理中心,
恒大御景湾(东区),朝阳-豆各庄-黄厂路,116.5612,39.861196,36666,↑47.62%,3,31,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
五亭桥畔月亮城,朝阳-豆各庄-姚家园路,116.566786,39.867346,53482,↓1.25%,3,0,暂无数据,2.20元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.3,50%(高),北京怡景城房地产开发有限公司,怡和高力顾问公司,
朝丰家园(15号院),朝阳-豆各庄-天达路,116.570452,39.85746,52891,↑7.13%,12,1,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,010-67206396,北京丰琪物业管理中心,
