阳光上东,朝阳-酒仙桥-东四环北路6号,116.490294,39.97132,98750,↑0.59%,1782,3603,暂无数据,3.97元/平米/月,718000m²,2483户,2004年,地下3100个，地上60个,2.48,37%(一般),阳光新业地产股份有限公司,赛特国际物业管理有限公司,
大山子南里,朝阳-酒仙桥-酒仙桥路,116.494729,39.987418,57302,↓0.74%,108,157,暂无数据,0.50元/平米/月,500000m²,3213户,1996年,1.1.5,2.2,20%(一般),七星集团,北京七星生活物业管理公司,
上东三角洲,朝阳-酒仙桥-驼房营路,116.51183,39.982341,57537,↑0.41%,125,84,暂无数据,暂无数据,600000m²,1907户,2004年,充足,2.94,32%(一般),北京将台房地产开发有限公司,燕京都物业管理公司,
银枫家园,朝阳-酒仙桥-酒仙桥北路7号,116.506443,39.998732,60885,↑0.86%,129,116,暂无数据,2.69元/平米/月,250000m²,776户,2001年,1000,3,40%(高),北京中银建置业有限公司,北京银达物业管理有限公司,
上东8号,朝阳-酒仙桥-芳园南里9号,116.491504,39.976361,80415,↓0.80%,20,385,暂无数据,5.20元/平米/月,104414m²,578户,2013年,266个,2.5,30%(一般),北京实创高科技发展有限责任公司,赛特物业公司,
晶都国际,朝阳-酒仙桥-酒仙桥路26号,116.498291,39.972108,65113,↓1.22%,153,427,暂无数据,3.80元/平米/月,109271m²,912户,2000年,500个车位左右,4.5,31%(一般),北京丰中房地产开发有限公司,北京玖玖港龙物业管理有限公司,
梵谷水郡,朝阳-酒仙桥-将台路,116.513914,39.966389,63298,↓1.12%,245,572,暂无数据,2.21元/平米/月,340000m²,2600户,2001年,1256,2.6,33%(一般),北京电子城有限责任公司,国广物业管理公司,
丽都水岸,朝阳-酒仙桥-芳园南里10号,116.490292,39.974388,91745,↑1.83%,654,1144,暂无数据,3.88元/平米/月,435000m²,627户,2005年,1038,2.5,30%(一般),暂无数据,新工物业管理服务有限公司,
丽都壹号,朝阳-酒仙桥-驼房营路,116.512609,39.985529,91050,↓0.69%,438,766,暂无数据,3.30元/平米/月,230000m²,3000户,2011年,700,2.43,30%(一般),福建永同昌建设集团,北京西国贸大物业管理公司,
东润枫景(北区),朝阳-酒仙桥-酒仙桥路,116.502122,39.961841,73647,↓0.13%,143,156,暂无数据,2.80元/平米/月,350000m²,2200户,2000年,450元/月,2.8,33%(一般),北京天鸿永业房地产开发有限责任公司,北京燕侨物业管理有限责任公司,
驼房营南里,朝阳-酒仙桥-将台路,116.5103559,39.9653692,59520,↑0.54%,120,89,暂无数据,0.80元/平米/月,106000m²,2566户,1997年,充足,3.4,30%(一般),兆维集团,兆维物业,
将府家园,朝阳-酒仙桥-将台路,116.512282,39.982525,70952,↑2.34%,4,161,暂无数据,1.69元/平米/月,暂无数据,暂无数据,2004年,800,2.94,60%(高),北京将台房地产开发有限公司,燕京都物业管理有限公司,
东风家园,朝阳-酒仙桥-酒仙桥路,116.501654,39.96392,61168,↓1.38%,39,30,暂无数据,2.06元/平米/月,38000m²,720户,2000年,103,2.9,38%(一般),北京市利达汇通房地产开发公司,北京东风物业管理有限责任公司,
海润国际公寓,朝阳-酒仙桥-将台路乙2号,116.489378,39.98229,84897,↑0.16%,310,621,暂无数据,3.90元/平米/月,90000m²,520户,2002年,1
上东双子座,朝阳-酒仙桥-东四环北路,116.483768,39.974025,88165,↑5.37%,66,261,公寓,3.97元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,37%(一般),阳光新业地产股份有限公司,第一太平戴维斯物业顾问（北京）有限公司,
卡布其诺,朝阳-酒仙桥-将台路,116.512537,39.979204,81082,↓3.79%,198,370,暂无数据,2.15元/平米/月,115015m²,1082户,2005年,700,1.71,31%(一般),北京永同昌京都房地产有限公司,北京西国贸大物业管理有限公司,
大山子西里,朝阳-酒仙桥-万红西街,116.493144,39.988413,58409,↑1.54%,7,40,暂无数据,0.50元/平米/月,400000m²,12000户,1990年,1
丽都职工宿舍,朝阳-酒仙桥-芳园南里43号,116.487202,39.978129,66524,↓2.22%,63,42,暂无数据,0.55元/平米/月,90000m²,768户,1988年,充足,3.6,24%(一般),丽都饭店,业主自管,
北窑地小区,朝阳-酒仙桥-酒仙桥北路,116.508651,39.995329,55125,↓5.37%,30,51,公寓,暂无数据,200000m²,707户,2015年,充足,1.5,30%(一般),电机总厂中医药大学电子物资总公司,无,
宏源公寓,朝阳-酒仙桥-酒仙桥路,116.497217,39.990636,58897,↓3.11%,18,40,暂无数据,3.10元/平米/月,80000m²,暂无数据,2001年,停车位1：1.5,2.5,30%(一般),北京宏源房地产开发有限公司,北京宏源物业管理有限公司,
酒仙桥一街坊,朝阳-酒仙桥-酒仙桥路,116.499898,39.971116,57576,↑9.82%,21,14,暂无数据,1.50元/平米/月,300000m²,1000户,1957年,100,1.3,28%(一般),北京丰中房地产开发有限公司,北京建国物业管理有限公司,
亮马桥路9号院,朝阳-酒仙桥-亮马桥路9号,116.496496,39.965432,65256,↓2.87%,64,40,暂无数据,2.80元/平米/月,90000m²,1034户,1993年,102,1.2,23%(一般),北京冠德房地产开发有限责任公司,北京德宏物业管理有限责任公司,
酒仙桥三街坊,朝阳-酒仙桥-酒仙桥南路,116.507886,39.969371,58322,↓1.93%,59,69,暂无数据,暂无数据,10000m²,800户,1993年,充足,1.5,30%(一般),暂无数据,无,
泰华滨河苑,朝阳-酒仙桥-南十里居41号,116.503536,39.965411,69741,↓3.34%,140,104,暂无数据,1.70元/平米/月,129000m²,1087户,2003年,860,3.7,32%(一般),北京市泰华房地产开发集团有限公司,北京国泰顺达物业管理有限公司,
嘉林花园,朝阳-酒仙桥-嘉林路甲1号,116.486347,39.97638,104745,↓6.00%,63,98,暂无数据,1.50元/平米/月,11400m²,300户,1995年,充足,0.3,35%(一般),北京嘉林房地产开发有限公司,凯宾斯基饭店管理,
新华联丽港,朝阳-酒仙桥-酒仙桥中路26号,116.49931,39.981476,75271,↑0.02%,9,39,暂无数据,3.90元/平米/月,74634m²,600户,2008年,422个，地上376个,3.2,30%(一般),新华联集团,北京悦豪物业管理有限公司,
亮马嘉园,朝阳-酒仙桥-酒仙桥路,116.506506,39.966557,69515,↓0.01%,43,110,普通住宅,2.30元/平米/月,暂无数据,暂无数据,2006年,暂无数据,2,30%(一般),北京恒森房地产开发有限公司,北京均豪物业管理股份有限公司,
高家园一区,朝阳-酒仙桥-芳园西路,116.490411,39.983506,66648,↑3.60%,50,21,普通住宅,0.50元/平米/月,暂无数据,暂无数据,1984年,300,暂无数据,30%(一般),电子十二所,高家园小区物业管理公司,
滨河花园,朝阳-酒仙桥-东四环北路6号,116.486183,39.97279,128175,↑0.89%,256,187,暂无数据,4.98元/平米/月,71000m²,160户,1999年,180,1.7,50%(高),首创置业股份有限公司,第一太平戴维斯物业顾问（北京）有限公司,
南十里居,朝阳-酒仙桥-酒仙桥路,116.50067,39.961975,59891,↓0.56%,188,92,暂无数据,1.06元/平米/月,450000m²,1826户,1996年,免费,2,25%(一般),北京大正梅花工贸有限公司,北京东风物业管理有限责任公司,
酒仙桥十二街坊,朝阳-酒仙桥-酒仙桥南路,116.500045,39.966294,59922,↓3.29%,14,56,暂无数据,0.50元/平米/月,260000m²,1500户,2015年,地面停车位,1.5,25%(一般),暂无数据,业主自管,
丽都东镇BOSSANOVA,朝阳-酒仙桥-骆房营路,116.512331,39.976514,97441,↑13.73%,95,83,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2009年,暂无数据,1.6,31%(一般),北京晨谷苑房地产开发有限公司,北京晨谷苑物业管理有限公司,
酒仙桥四街坊,朝阳-酒仙桥-酒仙桥路,116.504507,39.96869,62186,↓1.23%,4,16,暂无数据,暂无数据,10000m²,800户,2000年,100,1.1,31%(一般),暂无数据,无,
芳园南里西区,朝阳-酒仙桥-芳园南街,近将台西路,116.488373,39.975623,69538,↑6.71%,46,23,公寓,暂无数据,400000m²,5437户,1991年,400,1.6,45%(高),北京军建利司达房地产开发有限公司,暂无数据,
嘉林花园(别墅),朝阳-酒仙桥-嘉林路甲1号,116.48644,39.976254,104383,↓11.04%,26,30,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,0.3,35%(一般),北京嘉林房地产开发有限公司,暂无数据,
芳园里西区,朝阳-酒仙桥-芳园西路11号,116.487176,39.977793,68447,↑3.11%,0,5,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
高家园三区,朝阳-酒仙桥-机场高速,116.487438,39.985227,58840,↓19.14%,4,22,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1985年,暂无数据,暂无数据,30%(一般),暂无数据,高家园小区物业管理公司,
