晴翠园,朝阳-金盏乡-金盏北路8号,116.595425,40.02065,105007,↑10.69%,292,15,暂无数据,11.50元/平米/月,400000m²,97户,2006年,独立车库,0.21,80%(高),北京丰联房地产开发经营有限公司,第一太平戴维斯物业顾问（北京）有限公司,
幸福家园(朝阳),朝阳-金盏乡-皮村北街,116.620183,39.999238,38750,↓1.15%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
红松园1号内,朝阳-金盏乡-东坝南二街,116.5594,39.968645,51253,↓4.46%,1,15,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,华润置地（北京）股份有限公司,机关物业,
首城珑玺(别墅),朝阳-金盏乡-七棵树路,116.535676,39.974609,108181,↓2.29%,3,0,暂无数据,暂无数据,暂无数据,暂无数据,2017年,暂无数据,0.68,30%(一般),北京首城置业有限公司,暂无数据,
保利首开天誉(别墅),朝阳-金盏乡-七棵树路,116.540634,39.971931,68208,↓5.69%,1,2,暂无数据,8.70元/平米/月,暂无数据,暂无数据,2017年,暂无数据,2.5,30%(一般),北京朗泰房地产开发有限公司,保利物业管理（北京）有限公司,
红松园北里2号院,朝阳-金盏乡-东坝中街,近驹子房路,116.559634,39.972881,56159,↑6.36%,1,3,公寓,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,华润置地（北京）股份有限公司,机关物业,
奥林匹克花园(二期),朝阳-金盏乡-单店中路,116.548046,39.969493,68795,↓6.33%,52,49,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京奥林匹克置业投资有限公司,北京奥园物业管理有限公司,
华瀚福园(D区),朝阳-金盏乡-东坝南二街,116.579599,39.966676,31515,↑9.52%,11,11,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
红廷别墅,朝阳-金盏乡-南影路,116.52873,40.006097,90819,↓9.43%,225,1,暂无数据,10.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,0.69,55%(高),北京森润房地产开发有限公司,北京和乔物业管理有限公司,
金驹家园D区,朝阳-金盏乡-东坝南二街,116.570663,39.967425,28737,↑1.98%,23,110,公寓,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京市朝阳城市建设综合开发公司,朝青物业有限公司,
东坝家园B区,朝阳-金盏乡-东坝中路,116.551533,39.973443,37332,↑20.00%,12,157,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京丽富房地产开发有限公司,北京东翔众合物业有限责任公司,
九章别墅,朝阳-金盏乡-东苇路3号,116.561612,40.028449,90126,↓6.12%,254,19,暂无数据,8.30元/平米/月,暂无数据,暂无数据,2014年,暂无数据,0.6,35%(一般),北京诚通华亿房地产有限公司,北京诚通嘉晟物业管理有限公司,
金盏嘉园D区,朝阳-金盏乡-金港南路,116.557903,40.014479,13612,——,0,13,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京市金色朝阳房地产开发有限公司,金旺物业公司,
京旺家园六区,朝阳-金盏乡-金港南路,116.533348,40.018339,40000,——,0,143,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.6,30%(一般),北京德成兴业房地产开发有限公司,京旺物业管理有限公司,
京旺家园七区,朝阳-金盏乡-金港南路,116.534903,40.021323,44000,——,0,99,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京德成兴业房地产开发有限公司,京旺物业公司,
京旺家园三区,朝阳-金盏乡-金港南路,116.53439,40.016847,40000,——,0,164,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京德成兴业房地产开发有限公司,京旺物业管理有限公司,
京旺家园二区,朝阳-金盏乡-金港南路,116.534076,40.01454,44000,——,0,223,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,现在还没有收取费用，都是在各自楼下停放
金盏嘉园A区,朝阳-金盏乡-长店大街,116.567846,40.016147,46875,——,0,79,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2011年,50,暂无数据,30%(一般),北京金色朝阳房地产开发有限公司,北京市金盏物业管理服务公司,
金盏嘉园B区,朝阳-金盏乡-长店大街,116.564953,40.015408,41860,——,0,26,暂无数据,3.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金色朝阳房地产开发有限公司,北京市金盏物业管理服务公司,
金盏嘉园C区,朝阳-金盏乡-金港南路,116.561019,40.014249,75000,↑9.79%,0,18,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金色朝阳房地产开发有限公司,京旺物业公司,
京旺家园四区,朝阳-金盏乡-金港南路,116.537247,40.017123,42456,——,0,86,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京德成兴业房地产开发有限公司,京旺物业管理有限公司,
京旺家园五区,朝阳-金盏乡-金港南路,116.536196,40.019147,42222,——,0,98,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京德成兴业房地产开发有限公司,北京华特物业管理有限公司,
京旺家园一区,朝阳-金盏乡-金港南路,116.537885,40.014719,75014,——,0,89,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.6,30%(一般),北京德成兴业房地产开发有限公司,京旺物业有限公司,
红松园北里,朝阳-金盏乡-东坝中街,116.560509,39.97065,51825,↓1.85%,0,1,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,华润置地（北京）股份有限公司,机关物业,
