紫金长安,海淀-万寿路-西翠路17号,116.286106,39.922296,132133,↑2.04%,691,646,暂无数据,2.50元/平米/月,480000m²,4043户,2004年,1：1,2,24%(一般),北京澳林房地产开发有限公司,北京银达物业管理有限公司,
海淀九号,海淀-万寿路-莲宝路9号,116.304882,39.896577,83446,↓0.98%,156,31,暂无数据,2.50元/平米/月,暂无数据,暂无数据,1998年,暂无数据,3,30%(一般),北京龙洋房地产开发有限责任公司,北京新亮点物业管理有限责任公司,七一小学,
莲花小区,海淀-万寿路-莲花池西路,116.31157,39.9022,66433,↑0.37%,288,160,暂无数据,1.98元/平米/月,336000m²,2000户,1998年,地下两层500个,4.5,60%(高),北京华宝房地产开发有限责任公司,北京宝景物业管理有限公司,七一小学,
华宝公寓,海淀-万寿路-莲花池西路,116.313428,39.897208,36472,↑10.51%,2,3,暂无数据,2.01元/平米/月,40000m²,480户,1997年,200,3.9,25%(一般),北京华宝房地产开发有限责任公司,北京法政实体总公司,
太平路甲12号院,海淀-万寿路-太平路甲12号,116.285414,39.906191,77750,↓9.91%,18,1,暂无数据,暂无数据,暂无数据,暂无数据,2000年,40,3.2,31%(一般),暂无数据,居民自理,
金和嘉园,海淀-万寿路-朱各庄路,116.284201,39.925489,92324,↑17.83%,1,4,暂无数据,2.60元/平米/月,5000m²,600户,2009年,600,2,25%(一般),暂无数据,海军干休所,
复兴路63号院,海淀-万寿路-复兴路63号,116.297483,39.914989,103551,↑0.23%,3,3,暂无数据,暂无数据,500m²,180户,1989年,20,1.9,15%(低),北京城建集团有限责任公司,居民自理,育英学校小学部,
莲宝路10号院,海淀-万寿路-莲宝路10号,116.303748,39.894698,78080,↑0.43%,50,15,暂无数据,1.00元/平米/月,240000m²,暂无数据,2015年,150元/车位/月,2.4,30%(一般),北京京门房地产开发公司,单位自管物业,
橙色年代,海淀-万寿路-万丰路18号,116.302704,39.893713,69663,↓1.30%,69,28,暂无数据,1.46元/平米/月,97000m²,849户,2003年,停车位376个，出租地上150元/月、地,4.5,30%(一般),北京耀辉置业有限公司,北京首华物业管理有限公司,
今日家园,海淀-万寿路-西翠路5号,116.287511,39.907323,76376,↓1.24%,332,77,暂无数据,1.08元/平米/月,280000m²,2974户,2000年,充足,3.9,40%(高),北京安地房地产开发有限责任公司,北京今日家园物业管理公司,
复兴路61号院,海淀-万寿路-复兴路61号,116.297271,39.915873,117612,↓0.24%,47,128,暂无数据,1.63元/平米/月,25000m²,1600户,1992年,200,1.9,30%(一般),北京六建集团有限公司,北京万寿路物业管理中心,育英学校小学部,
万寿园小区,海淀-万寿路-万寿路西街甲11号,116.290284,39.917417,111504,↓2.45%,26,43,普通住宅,1.80元/平米/月,暂无数据,暂无数据,1999年,暂无数据,4.1,10%(低),六建集团有限责任公司,单位自营物业,
万寿路西街小区,海淀-万寿路-万寿路西街5号,116.299114,39.916902,116766,↑4.05%,45,113,普通住宅,1.50元/平米/月,暂无数据,暂无数据,1991年,200,3,20%(一般),暂无数据,北京房修一物业管理有限公司,
朱各庄10号院,海淀-万寿路-玉渊潭南路,116.295046,39.92355,107564,↓6.21%,4,16,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,15%(低),暂无数据,暂无数据,
万寿路西街12号院,海淀-万寿路-万寿路西街12号,116.293948,39.914834,104710,↓12.86%,2,15,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1.9,暂无数据,北京六建集团有限责任公司,居民自理,育英学校小学部,
万寿路西街10号院,海淀-万寿路-万寿路西街10号,116.293971,39.915842,104399,↓2.63%,1,12,暂无数据,暂无数据,暂无数据,暂无数据,1987年,暂无数据,暂无数据,31%(一般),暂无数据,居民自管,育英学校小学部,
朱各庄12号院,海淀-万寿路-玉渊潭南路,116.293879,39.922483,110353,↓6.61%,0,2,暂无数据,暂无数据,暂无数据,暂无数据,1996年,暂无数据,2.3,25%(一般),暂无数据,居民自理,
朱各庄26号院,海淀-万寿路-玉渊潭南路,116.288115,39.925912,112857,↓1.26%,0,0,暂无数据,1.10元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京鑫诚物业有限公司,
万寿路西街16号院,海淀-万寿路-万寿路西街16号,116.290369,39.915583,111734,↓6.36%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1985年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,育英学校小学部,
西翠路3号院,海淀-万寿路-西翠路3号,116.288672,39.905527,97826,——,0,2,暂无数据,暂无数据,暂无数据,暂无数据,1986年,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
朱各庄小区,海淀-万寿路-万寿庄路,116.293828,39.923887,129242,↑1.72%,7,16,暂无数据,1.00元/平米/月,8000m²,1500户,1984年,300,2.3,15%(低),暂无数据,街道办事处（居委会）代管物业,
太平路甲20号院,海淀-万寿路-太平路甲20号,116.285018,39.905811,87745,↑10.47%,1,1,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.3,30%(一般),北京华瑞兴业房地产开发有限公司,居民自理,
沙窝苗圃宿舍,海淀-万寿路-太平路,116.283164,39.904605,76660,↓6.55%,3,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2,35%(一般),暂无数据,居民自理,
复兴路乙59号院,海淀-万寿路-复兴路乙59号,116.30034,39.914384,124069,↑14.40%,1,10,暂无数据,2.00元/平米/月,暂无数据,暂无数据,2000年,充足,3.2,10%(低),北京万业源房地产开发有限责任公司,中房集团北京物业公司,育英学校小学部,
吴家场铁路小区,海淀-万寿路-莲宝路,116.308525,39.89707,83156,↓2.84%,36,3,暂无数据,1.90元/平米/月,暂无数据,暂无数据,1998年,暂无数据,3,32%(一般),中国铁路建设总公司,世邦魏理仕物业管理公司,
万寿路西街9号院,海淀-万寿路-万寿路西街9号,116.295328,39.91718,108780,↓5.33%,10,63,暂无数据,0.10元/平米/月,暂无数据,暂无数据,1992年,暂无数据,暂无数据,暂无数据,北京日东升集团,北京汉博物业有限公司,育英学校小学部,
