水清木华园,海淀-五道口-北京市海淀区中关村北二街4号,116.33531,39.996061,102253,↓0.05%,204,114,暂无数据,1.97元/平米/月,140000m²,900户,2000年,1200,2,30%(一般),北京汇泽房地产开发有限公司,北京市光坏物业管理中心,中关村二小中关村校区,
东王庄小区,海淀-五道口-学院路,116.347578,40.005326,85779,↑2.10%,439,148,暂无数据,1.70元/平米/月,208000m²,2548户,1998年,地上50个,0.9,15%(低),北京天鸿宝业房地产股份有限公司,东王庄小区居民委员会,
成府路20号院,海淀-五道口-成府路20号,116.348594,39.997683,88092,↑3.59%,197,125,暂无数据,1.00元/平米/月,30000m²,2336户,2000年,地上免费,1.33,20%(一般),地质大学,国土资源部航遥中心,
华清嘉园东区,海淀-五道口-成府路,116.342717,39.997204,120438,↓0.98%,377,525,暂无数据,1.98元/平米/月,30000m²,66户,2002年,80,2.5,41%(高),华润置地（北京）股份有限公司,华润物业,中关村二小华清校区,
唐宁ONE,海淀-五道口-中关村东路16号,116.341804,39.994369,124273,↓0.72%,349,244,暂无数据,4.70元/平米/月,170000m²,1250户,2011年,200,3.8,30%(一般),北京龙湖时代置业有限公司,北京龙湖物业管理有限公司,
中关村北一条5号院,海淀-五道口-中关村北一条5号,116.33554,39.994105,104818,↓5.84%,7,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中关村二小中关村校区,
燕归园,海淀-五道口-北京市海淀区中关村北二条9号,116.338645,39.994761,121480,↑1.59%,35,7,暂无数据,0.80元/平米/月,24000m²,3269户,1998年,860,1.5,35%(一般),北京市三九泛华建设开发有限责任公司,自管物业,中关村二小华清校区,
三才堂小区,海淀-五道口-成府路,116.338493,39.996432,128176,↑4.70%,2,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.5,18%(低),北京汇泽房地产开发有限公司,街道办事处代管物业,中关村二小华清校区,
华清嘉园西区,海淀-五道口-成府路6号,116.338952,39.997896,118648,↓1.19%,199,350,暂无数据,1.98元/平米/月,300000m²,2392户,2001年,地上500.地下400,2.5,30%(一般),华润置地,华润置地物业管理有限公司,中关村二小华清校区,
东升园公寓,海淀-五道口-财经东路,116.343533,39.995411,113916,↑6.46%,271,118,暂无数据,0.50元/平米/月,115000m²,800户,1996年,216,3,35%(一般),北京市华远地产股份有限公司,北京日出东升物业管理有限公司,中关村二小华清校区,
展春园小区,海淀-五道口-北四环中路279号,116.349171,39.994115,90490,↑0.97%,305,92,暂无数据,2.09元/平米/月,108000m²,2480户,1986年,小区内随便停,没有固定车位,2.16,30%(一般),中科院，工商银行，三建工程公司,北京安居物业管理有限公司,
王庄路18号院,海淀-五道口-北京市海淀区王庄路18号,116.34808,40.002765,87918,↑0.66%,37,54,暂无数据,5.00元/平米/月,暂无数据,暂无数据,1996年,暂无数据,2,20%(一般),北京城建集团有限责任公司,太月物业管理有限公司,
