缘溪堂,海淀-公主坟东-玉渊潭南路11号,116.319165,39.91849,100371,↓1.11%,446,234,暂无数据,6.80元/平米/月,150000m²,300户,2006年,地下600元每月,2.86,30%(一般),首创置业股份有限公司,第一太平戴维斯物业管理公司,翠微小学,
什坊院1号院,海淀-公主坟东-莲花池东路39号,116.322472,39.903897,86206,↑11.57%,1,4,暂无数据,暂无数据,暂无数据,暂无数据,1975年,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
西木楼社区,海淀-公主坟东-莲花池东路41号,116.324094,39.903635,74875,↑0.31%,20,3,暂无数据,暂无数据,暂无数据,暂无数据,2001年,150元/车位/月,暂无数据,30%(一般),暂无数据,居民自理,
羊坊店西路7号院,海淀-公主坟东-羊坊店西路7号,116.325003,39.908778,69240,↑6.63%,1,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,25%(一般),暂无数据,居民自理,
新华社皇亭子宿舍,海淀-公主坟东-羊坊店路3号,116.327159,39.911183,97007,↑2.70%,53,13,暂无数据,3.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,业主自筹物业,
瑞海国际中心,海淀-公主坟东-莲花池东路53号,116.326118,39.903557,31145,↓0.04%,18,1,暂无数据,3.88元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,41%(高),西友瑞海房地产开发有限公司,暂无数据,
羊坊店17号院,海淀-公主坟东-铁医路,116.324062,39.9067,75361,↓6.94%,3,3,暂无数据,暂无数据,1200m²,600户,2000年,40,2.2,20%(一般),暂无数据,居民自理,
中国有色工程设计研究总院西区宿舍,海淀-公主坟东-羊坊店西路,116.324571,39.906682,70975,↓4.63%,2,8,暂无数据,暂无数据,暂无数据,暂无数据,1996年,200,暂无数据,25%(一般),暂无数据,居民自理,
什坊院3号院,海淀-公主坟东-莲花池东路,116.321859,39.903659,74973,↑8.68%,17,1,暂无数据,暂无数据,暂无数据,暂无数据,1989年,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
柳林馆南里,海淀-公主坟东-玉渊潭南路,116.317501,39.917699,103233,↑1.35%,50,68,普通住宅,1.20元/平米/月,暂无数据,暂无数据,1996年,600,2,30%(一般),北京中房长远房地产开发有限责任公司,单位自管物业,翠微小学,
科技部小区,海淀-公主坟东-玉渊潭南路8号,116.321854,39.916513,36924,↓0.81%,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
宝莲路9号院,海淀-公主坟东-宝莲路9号,116.304862,39.896715,80311,↓0.96%,0,0,暂无数据,2.50元/平米/月,86780m²,545户,2013年,暂无数据,4,30%(一般),北京龙洋房地产开发有限责任公司,北京新亮点物业管理有限公司,
彩电宿舍小区,海淀-公主坟东-复兴路11号,116.324383,39.916624,100000,↑2.71%,0,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1987年,暂无数据,2.4,26%(一般),暂无数据,北京中广物业管理有限公司,翠微小学,
勘测社区,海淀-公主坟东-铁医路5号,116.325663,39.906867,79492,↑1.26%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,单位自理,
羊坊店15号小区,海淀-公主坟东-羊坊店路,116.324181,39.908104,87655,↓0.65%,0,0,暂无数据,1.20元/平米/月,暂无数据,暂无数据,1992年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
羊坊店西路10号院,海淀-公主坟东-羊坊店西路10号,116.323827,39.909164,76190,↓0.24%,0,5,暂无数据,暂无数据,暂无数据,暂无数据,1990年,暂无数据,2,31%(一般),暂无数据,居民自理,
复兴路11号院,海淀-公主坟东-复兴路11号,116.324808,39.916683,99637,↓0.92%,0,0,暂无数据,2.00元/平米/月,13000m²,3000户,1990年,230,2.4,26%(一般),北京城建集团有限责任公司,单位自管物业,
翠微路26号院,海淀-公主坟东-翠微路26号,116.30896,39.915712,82424,↓0.65%,0,4,公寓,2.00元/平米/月,1000m²,300户,1987年,20,1.8,10%(低),暂无数据,暂无数据,
万方苑,海淀-公主坟东-万寿路,116.303837,39.921341,75454,↓4.40%,0,0,暂无数据,2.10元/平米/月,18000m²,280户,2000年,地上150个/地下200个,3.75,40%(高),中房集团华北城市建设投资有限公司,万方苑物业管理公司,翠微小学,
翠微路平台村1号院,海淀-公主坟东-翠微路,116.310493,39.919839,85936,↓2.17%,0,0,公寓,0.80元/平米/月,1000m²,260户,2015年,150元/月/车位,1.8,10%(低),暂无数据,业主自管,
国海广场,海淀-公主坟东-复兴路17号,116.319141,39.915353,64881,——,0,34,暂无数据,6.00元/平米/月,暂无数据,暂无数据,2008年,暂无数据,暂无数据,暂无数据,中房京贸房地产开发有限公司,北京汉海物业管理有限公司,
羊坊店路3号院,海淀-公主坟东-羊坊店路3号,116.325627,39.911115,98463,↑7.53%,0,0,暂无数据,1.98元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,15%(低),新华社,业主自管,
复兴路14号院,海淀-公主坟东-复兴路14号,116.318439,39.905548,78571,↓7.30%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.25,30%(一般),暂无数据,六建物业管理,
