北蜂窝路22号院,海淀-军博-北蜂窝路22号,116.338482,39.907153,85610,↓0.79%,205,41,普通住宅,暂无数据,暂无数据,暂无数据,1993年,185,1.4,20%(一般),铁路局,居民自理,
北蜂窝中路2号院,海淀-军博-北蜂窝中路2号,116.337993,39.905816,80376,↓1.83%,5,4,暂无数据,暂无数据,暂无数据,2200户,2000年,车位充足,1.4,20%(一般),暂无数据,居民自理,
北蜂窝中路15号院,海淀-军博-北蜂窝中路15号,116.331885,39.905595,85354,↓1.28%,21,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
乔建里,海淀-军博-北峰窝西路12号,116.332477,39.907572,86029,↓0.25%,94,35,暂无数据,2.00元/平米/月,84100m²,1296户,1980年,150,10.7,25%(一般),北京市大成房地产开发总公司,单位自管,羊坊店中心小学,
莲花池东路9号院,海淀-军博-莲花池东路9号,116.338515,39.903902,114734,↓7.44%,3,1,暂无数据,1.33元/平米/月,1200m²,360户,1993年,80,3.1,20%(一般),铁道部,单位自营物业,
中国有色工程设计研究总院东区宿舍,海淀-军博-羊坊店路16号,116.329806,39.912506,73309,↓4.23%,2,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
北蜂窝中路甲8号院,海淀-军博-北蜂窝中路,116.334653,39.904786,86220,↓3.11%,17,13,暂无数据,2.25元/平米/月,24000m²,2200户,2003年,2200,2.3,35%(一般),暂无数据,单位自管,羊坊店中心小学,
电信宿舍,海淀-军博-北蜂窝中路8号,116.33349,39.904454,83573,↓0.74%,74,10,暂无数据,暂无数据,18000m²,360户,1979年,200,1.6,35%(一般),暂无数据,居民自理,
茂林居小区,海淀-军博-茂林居西路,116.338016,39.913672,91890,↑1.71%,65,33,暂无数据,1.20元/平米/月,100000m²,5000户,1991年,300,3,30%(一般),北京首都开发控股(集团)有限公司,北京天岳恒房屋经营管理有限公司,羊坊店中心小学,
铁西住宅小区,海淀-军博-北蜂窝西路,116.331605,39.904248,76496,↓6.91%,60,7,暂无数据,暂无数据,暂无数据,暂无数据,1990年,85,暂无数据,18%(低),暂无数据,居民自理,
中国水利水电科学研究院小区,海淀-军博-玉渊潭南路,116.338549,39.91574,98599,↑11.48%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
军博水科院小区,海淀-军博-玉渊潭南路,116.338435,39.915883,86656,↓11.83%,7,7,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
北蜂窝路15号院,海淀-军博-北蜂窝路15号,116.334772,39.906437,116983,↑2.16%,34,2,暂无数据,暂无数据,暂无数据,暂无数据,2001年,暂无数据,1.4,35%(一般),暂无数据,居民自理,羊坊店中心小学,
海天中心,海淀-军博-羊坊店东路19号,116.329703,39.905753,80299,↓0.94%,42,3,暂无数据,2.60元/平米/月,暂无数据,暂无数据,1999年,暂无数据,2,30%(一般),暂无数据,致达物业管理有限公司,羊坊店中心小学,
有色院小区,海淀-军博-复兴路12号,116.330331,39.912228,89065,↑1.17%,68,9,普通住宅,暂无数据,暂无数据,暂无数据,1990年,100,1.8,30%(一般),暂无数据,居民自理,
玉渊潭南路9号院,海淀-军博-玉渊潭南路9号,116.333265,39.918246,140766,↑1.68%,130,52,普通住宅,2.28元/平米/月,暂无数据,暂无数据,1992年,500,1.5,30%(一般),暂无数据,北京馨康景物业管理有限责任公司,羊坊店中心小学,
合作大院,海淀-军博-羊坊店路,116.329775,39.906468,83642,↓1.36%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,46%(高),暂无数据,暂无数据,羊坊店中心小学,
北蜂窝中路丙8号院,海淀-军博-北蜂窝中路丙8号,116.334743,39.90362,48000,↓31.91%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
羊坊店居民楼,海淀-军博-羊坊店路,116.329715,39.908376,81716,↓5.56%,14,5,暂无数据,暂无数据,暂无数据,暂无数据,1989年,车位充足,2,20%(一般),暂无数据,居民自理,
华天大厦,海淀-军博-北小马厂6号,116.342678,39.903798,44683,↑0.54%,4,0,暂无数据,3.00元/平米/月,暂无数据,暂无数据,1999年,暂无数据,暂无数据,暂无数据,北京华天房地产开发有限公司,经天纬物业管理有限公司,
羊坊店路16号院,海淀-军博-羊坊店路16号,116.3283,39.909045,82860,↓7.54%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,1980年,暂无数据,暂无数据,45%(高),有色金属设计院,居民自理,
中雅大厦,海淀-军博-北蜂窝路甲8号,116.340601,39.904492,53973,↓2.80%,1,2,暂无数据,2.28元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,30%(一般),北京亚大房地产开发公司,单位自管,
北蜂窝路100号院,海淀-军博-北蜂窝100号,116.32893,39.907018,82084,↓0.34%,57,9,暂无数据,暂无数据,2300m²,1036户,1988年,没有固定停车位,1.5,36%(一般),暂无数据,居民自理,
复兴路乙6号院,海淀-军博-复兴路乙6号,116.336354,39.911182,89572,↑0.09%,46,5,公寓,暂无数据,暂无数据,500户,1990年,50,3.5,25%(一般),暂无数据,居民自理,羊坊店中心小学,
羊坊店铁道部宿舍,海淀-军博-羊坊店路,116.331794,39.903612,109951,↓1.82%,17,21,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
中联部宿舍,海淀-军博-北蜂窝路20号,116.338673,39.909864,82052,↓11.16%,12,36,暂无数据,暂无数据,暂无数据,暂无数据,2009年,地下,1.3,30%(一般),中科物业管理有限公司,单位自管,羊坊店中心小学,
北蜂窝路30号院,海淀-军博-北蜂窝路30号,116.338209,39.905224,82149,↓1.67%,36,0,暂无数据,暂无数据,暂无数据,暂无数据,2003年,100,2,28%(一般),北京铁路局,居民自理,
会城门小区,海淀-军博-会城门东路,116.338372,39.908896,84386,↓0.14%,90,39,暂无数据,1.85元/平米/月,35700m²,2038户,1997年,地上,2.66,25%(一般),中国发展改革委员会,中国建设银行,单位自管物业,羊坊店中心小学,
军博铁道部小区,海淀-军博-复兴路10号,116.331893,39.911388,113795,↑3.01%,60,16,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,单位自管物业,
博望园,海淀-军博-羊坊店东路5号,116.330335,39.910231,102621,↑1.17%,27,13,暂无数据,2.18元/平米/月,65000m²,494户,2002年,200,4.3,36%(一般),麦科特集团北京房地产有限公司,北京博望物业有限公司,
玉渊潭公寓,海淀-军博-玉渊潭南路,116.336915,39.919194,112328,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
冶金宿舍,海淀-军博-羊坊店路,116.328438,39.909653,73396,↑0.02%,0,0,暂无数据,0.80元/平米/月,10000m²,暂无数据,1975年,充足
信悦华庭,海淀-军博-北蜂窝路丙8号,116.333967,39.903404,87285,↑3.90%,0,9,暂无数据,暂无数据,88500m²,620户,2010年,486,2.2,30%(一般),暂无数据,居民自理,
玉南路9号社区,海淀-军博-玉渊潭南路,116.334664,39.91685,83642,↓1.36%,0,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
