满庭芳园,海淀-双榆树-北三环西路,116.338144,39.974577,84626,↑1.86%,181,142,暂无数据,2.50元/平米/月,160000m²,1000户,1999年,每户一位,4.4,35%(一般),北京城市建设工程开发有限公司,第一物业服务（北京）有限公司,
双榆树北里,海淀-双榆树-中关村南大街,116.328784,39.977968,95397,↓0.78%,344,233,暂无数据,1.33元/平米/月,170000m²,1150户,1985年,没有固定停车位,3,30%(一般),海淀区建设委员会,亿方物业,双榆树中心小学,
知春路82号院,海淀-双榆树-知春路82号,116.336602,39.979877,117104,↓0.55%,123,43,暂无数据,2.00元/平米/月,120000m²,846户,2001年,地下.地上,充足,1.5,35%(一般),北京市海淀区房地产经营开发总公司,神舟天辰物业公司,人大附中实验小学,
双榆树北路6号院,海淀-双榆树-双榆树北路6号,116.33828,39.977487,92410,↓2.67%,11,6,暂无数据,1.00元/平米/月,180000m²,2668户,1994年,150元/车位/月,1.5,15%(低),暂无数据,自管物业,
双榆树西里,海淀-双榆树-中关村大街,116.330498,39.974624,101057,↑0.06%,155,241,暂无数据,2.07元/平米/月,800000m²,10120户,2015年,地上开放免费车位,2,30%(一般),北京远坤房地产开发有限公司,单位自管物业,中关村三小万柳校区,
知春东里,海淀-双榆树-知春路73号,116.333467,39.980517,99260,↓0.59%,113,148,暂无数据,1.00元/平米/月,180000m²,1280户,1995年,充足,1.5,20%(一般),北京市海淀区房地产经营开发总公司,北京亿方物业管理有限责任公司,人大附中实验小学,
远洋都市网景,海淀-双榆树-中关村东路123号,116.340068,39.97601,80972,↑5.67%,63,47,暂无数据,2.50元/平米/月,90000m²,313户,1999年,420每月,1.3,30%(一般),北京远坤房地产开发有限公司,北京远洋物业服务公司,
知春里,海淀-双榆树-双榆树北路,116.327804,39.978865,98068,↑3.28%,403,332,暂无数据,0.80元/平米/月,30000m²,3252户,1993年,地上150,1.1,25%(一般),北京市海淀区房地产经营开发总公司,北京亿方物业管理有限责任公司,人大附中实验小学,
豪景佳苑,海淀-双榆树-知春路108号,116.328953,39.98084,70402,↑0.02%,70,5,暂无数据,4.50元/平米/月,243440m²,1180户,1998年,580,暂无数据,31%(一般),北京豪景苑房地产有限公司,北京豪景物业管理有限公司,人大附中实验小学,
中关村东路小区,海淀-双榆树-中关村东路107号,116.339562,39.978279,115957,↑16.09%,28,7,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
中关村东路111号院,海淀-双榆树-中关村东路111号,116.339131,39.977872,81041,↑6.58%,2,2,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.2,20%(一般),暂无数据,自管物业,
中关村东路105号院,海淀-双榆树-中关村东路105号,116.339441,39.979105,113315,↑8.88%,7,15,暂无数据,1.40元/平米/月,暂无数据,180户,1985年,20,1.5,15%(低),暂无数据,北京博达物业管理有限公司,
双榆树北路小区,海淀-双榆树-中关村大街,116.335878,39.978496,91007,↓8.26%,33,43,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1988年,暂无数据,暂无数据,暂无数据,希格玛有限公司,自管物业,
青云北区,海淀-双榆树-中关村东路,116.339508,39.980286,93142,↓1.27%,74,175,暂无数据,1.70元/平米/月,3200m²,3560户,1987年,充足,1.38,30%(一般),青云控股集团有限公司,北京方诚物业管理有限责任公司,
榆苑公寓,海淀-双榆树-双榆树北路15号,116.337936,39.978889,87060,↑2.89%,88,83,暂无数据,1.70元/平米/月,15000m²,800户,1996年,地上,2.21,31%(一般),远洋地产有限公司,北京远洋基业物业管理有限公司,
双榆树东里,海淀-双榆树-北三环西路,116.336369,39.973558,92184,↓1.12%,356,370,暂无数据,3.60元/平米/月,170000m²,1250户,2015年,300,1.5,20%(一般),北京同泰房地产开发有限公司,北京亿方物业公司,
科南中心,海淀-双榆树-科学院南路,116.333959,39.975243,77094,↑15.09%,0,3,暂无数据,2.30元/平米/月,20000m²,108户,2001年,地上150元/月,3.6,30%(一般),北京同泰房地产开发有限公司,北京亿方物业公司,
海淀路58号院,海淀-双榆树-双榆树二街,116.328746,39.975327,74337,↑0.21%,0,0,公寓,2.50元/平米/月,暂无数据,8000户,1985年,免费
双榆树北路,海淀-双榆树-双榆树北路,116.33558858584,39.978963269257,87813,——,0,0,普通住宅,0.9元/㎡/月,180000m²,2668户,1988年,地上150,1.5,30%(一般),北京五建,亿方物业,
西颐北馆,海淀-双榆树-北三环西路45号,116.325727,39.972917,87692,——,0,0,暂无数据,1.20元/平米/月,暂无数据,355户,1996年,暂无数据,1.7,25%(一般),暂无数据,北京燕侨物业管理有限责任公司,中关村三小万柳校区,
知春里,海淀-双榆树-中关村大街,116.327804,39.978865,86000,——,0,0,公寓,暂无数据,暂无数据,暂无数据,1980年,暂无数据,暂无数据,20%(一般),北京城建房地产开发有限公司,北京豪景物业管理有限公司,
中关村东路117号院,海淀-双榆树-中关村东路117号,116.3398,39.977529,98280,↑0.31%,0,4,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,自管物业,
中关村大街46号院,海淀-双榆树-中关村大街46号,116.328296,39.975063,85261,↓8.24%,6,3,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.5,35%(一般),暂无数据,自管物业,
