文津国际公寓,海淀-圆明园-中关村东路1号,116.333891,39.999036,65102,↓17.44%,79,33,暂无数据,4.00元/平米/月,12000m²,215户,2000年,602,4.07,30%(一般),北京硅谷兴业房地产开发有限公司,文清物业管理公司,
厢白旗甲1号院,海淀-圆明园-荷清路,116.327253,40.019532,97245,↓0.51%,15,4,暂无数据,1.00元/平米/月,10000m²,270户,1996年,充足,2,25%(一般),北京市超市发大厦房地产开发有限公司,暂无数据,
圆明园东里,海淀-圆明园-海淀区中关村北大街18号,116.326228,40.022316,97266,↑14.67%,28,17,暂无数据,暂无数据,1200m²,400户,1993年,自由停车,2,40%(高),北京市城乡房屋建设开发有限责任公司,圆明园东里社区居委会,
承泽园,海淀-圆明园-北京市海淀区颐和园路5号,116.304564,39.999869,81685,↓3.99%,11,14,暂无数据,2.20元/平米/月,40000m²,2020户,2003年,1000,2.2,35%(一般),北京泽丰房地产有限公司,北京博雅轩物业管理有限公司,
厢白旗甲2号院,海淀-圆明园-荷清路,116.326305,40.019694,84605,↓0.96%,25,15,公寓,1.00元/平米/月,暂无数据,216户,1995年,散停,1.2,30%(一般),北京市超市发大厦房地产开发有限公司,北京高腾物业管理有限公司,
西王庄小区,海淀-圆明园-清华东路,116.342844,40.002683,97583,↓1.93%,169,100,暂无数据,2.85元/平米/月,15000m²,2200户,1987年,300,1.9,30%(一般),清华大学,清华大学房管科,
芙蓉里小区,海淀-圆明园-芙蓉里北路,116.307916,39.995548,90799,↑5.42%,202,123,暂无数据,1.50元/平米/月,60000m²,350户,1984年,350,2.3,35%(一般),北京住总集团有限责任公司,北京亿方物业管理有限责任公司,中关村三小万柳校区,
蓝旗营,海淀-圆明园-成府路101号,116.33146,39.999192,74971,↑0.27%,6,129,暂无数据,0.95元/平米/月,暂无数据,暂无数据,2001年,充足,2.1,30%(一般),北大博雅投资有限公司,北京育新物业管理公司,
褐石园,海淀-圆明园-中关村北大街,116.328398,40.020141,115710,↑1.91%,72,102,暂无数据,3.50元/平米/月,197700m²,230户,2015年,800,1.2,38%(一般),北京泰跃房地产开发有限责任公司,北京太月物业管理有限责任公司,
荷清苑,海淀-圆明园-荷清路,116.330191,40.01843,83333,↑10.49%,3,26,暂无数据,暂无数据,暂无数据,1053户,2015年,地下,2.2,30%(一般),北京宝晟住房股份有限公司,居民自治,
清华附中西北小区,海淀-圆明园-圆明园东路,116.326667,40.017268,75664,↓8.50%,1,19,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,2,30%(一般),暂无数据,业主自管,
