八家嘉苑,海淀-学院路-双清路,116.350416,40.022048,60631,↓0.09%,240,180,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2012年,100个以上,暂无数据,28%(一般),北京八家嘉苑房地产开发有限公司,深圳市深华物业管理有限公司北京分公司,
清林苑,海淀-学院路-银泉路,116.363868,40.021631,93663,↓0.90%,19,47,暂无数据,2.20元/平米/月,7m²,370户,2001年,充足,1.6,10%(低),北京寅丰房地产开发有限公司,北京寅丰苑物业管理有限责任公司,
清华东路27号院,海淀-学院路-清华东路27号,116.356631,40.007141,80052,↑0.25%,81,34,暂无数据,2.00元/平米/月,8100m²,576户,1990年,不收费,1.8,20%(一般),北京城建三建设集团有限公司,长捷物业,
竹溪园,海淀-学院路-银泉路,116.365231,40.01886,114781,↑2.75%,30,14,暂无数据,2.85元/平米/月,51000m²,112户,2003年,充足,0.8,76%(高),北京京伯房地产开发有限公司,深圳市万厦物业管理公司,
建清园(北区),海淀-学院路-月泉路,116.354773,40.021659,80277,↑3.32%,151,12,暂无数据,1.50元/平米/月,9974123m²,1598户,1996年,充足,1.5,30%(一般),北京城建集团有限责任公司,北京金融街物业管理有限责任公司,
清枫华景园,海淀-学院路-林大北路,116.354502,40.017329,86371,↓2.65%,171,177,暂无数据,2.40元/平米/月,154400m²,1156户,2005年,842,2.57,10%(低),北京华清投资有限公司,北京华清物业管理有限责任公司,
城华园,海淀-学院路-学清路21号,116.358113,40.017408,75829,↑1.21%,266,162,暂无数据,1.30元/平米/月,35922m²,960户,1998年,300,3.5,35%(一般),北京城建集团有限责任公司,北京鹏翔物业管理公司,
逸成东苑,海淀-学院路-月泉路9号,116.356512,40.019483,86651,↓3.84%,455,357,暂无数据,2.50元/平米/月,110000m²,2639户,2004年,1500,3,35%(一般),北京泰跃房地产开发有限责任公司,太月园物业管理公司,
红杉国际公寓,海淀-学院路-双清路89号,116.345173,40.00867,56288,↓8.14%,30,60,暂无数据,4.50元/平米/月,69218m²,320户,2010年,320,4.52,30%(一般),北京中鸿房地产开发有限公司,北京德佳物业管理有限公司,
林大北路10号院,海淀-学院路-林大北路10号,116.358123,40.011071,69804,↓11.81%,2,5,暂无数据,暂无数据,暂无数据,暂无数据,1997年,暂无数据,1.4,23%(一般),暂无数据,业主自管,
学知园,海淀-学院路-学清路16号,116.361922,40.017884,84296,↑1.93%,131,93,暂无数据,1.30元/平米/月,75000m²,700户,1998年,150,2,30%(一般),北京市祺洋房地产开发有限责任公司,北京三合雅居物业管理有限公司,
林大北路6号院,海淀-学院路-林大北路6号,116.357274,40.012426,75180,↓0.78%,42,1,暂无数据,1.00元/平米/月,8200m²,630户,1995年,车位充足,1.4,23%(一般),暂无数据,北京燕山石油化工有限公司物业管理分公司,
海丰园,海淀-学院路-学清路37号,116.358252,40.012117,66299,↓0.02%,21,7,暂无数据,2.00元/平米/月,50000m²,600户,2000年,104,2,33%(一般),北京海天房地产开发有限公司,北京市明海物业管理有限公司,
翰澜庭小区,海淀-学院路-静淑苑路,116.356726,40.009107,94971,↑4.50%,19,14,暂无数据,3.88元/平米/月,43388m²,538户,2010年,349,2.2,20%(一般),暂无数据,长城物业集团股份有限公司,
柏儒苑,海淀-学院路-林业大学北路11号,116.354125,40.013639,73180,↑0.41%,29,29,暂无数据,1.20元/平米/月,暂无数据,1086户,2001年,650,1.52,41%(高),城建四公司,北京育新物业管理有限公司,
静淑苑小区,海淀-学院路-静淑苑路,116.356677,40.011113,86600,↓0.11%,84,49,暂无数据,1.10元/平米/月,74914m²,948户,1996年,充足,1.85,35%(一般),暂无数据,北京育新物业管理公司,
学清路六道口甲39号院,海淀-学院路-学清路,116.35738,40.011675,77373,——,0,0,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.4,42%(高),暂无数据,暂无数据,
农大小区北区,海淀-学院路-石板房南路,116.362889,40.014913,77690,↓2.64%,0,6,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,北京安达房地产开发公司,暂无数据,
中科院半导体宿舍,海淀-学院路-林业大学北路,116.35,40.012045,64166,↓0.77%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
半导体研究所宿舍,海淀-学院路-清华东路甲35号,116.350679,40.011049,88527,↓6.85%,12,0,暂无数据,1.50元/平米/月,7500m²,暂无数据,1985年,充足，免费。,2.2,40%(高),北京城建四建设工程有限责任公司,半导体研究所宿舍居委会,
六道口社区,海淀-学院路-学清路甲39号,116.357919,40.011666,90040,↑13.35%,1,8,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京明海物业管理公司,
学清苑,海淀-学院路-学清路29号,116.360813,40.019446,70769,↓7.39%,1,5,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2001年,暂无数据,暂无数据,20%(一般),北京泰跃房地产开发有限责任公司,北京华清物业管理有限责任公司,
学院路甲5号院,海淀-学院路-学院路甲5号,116.355377,40.015164,88876,↑1.37%,7,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城建四建设工程有限责任公司,业主自营,
静淑东里,海淀-学院路-学清路37号,116.357772,40.010617,78807,↓1.05%,16,38,暂无数据,1.25元/平米/月,56031m²,1024户,1996年,258,2.5,15%(低),北京大华一品置业有限公司,北京圣馨大地物业服务有限公司,
双清路16号院,海淀-学院路-双清路16号,116.351058,40.016928,88789,↓2.48%,10,11,公寓,0.50元/平米/月,600m²,暂无数据,1992年,150元/月,2,30%(一般),北京城建房地产开发有限公司,楼寓公司物业,
林大北路9号院,海淀-学院路-林业大学北路9号,116.355387,40.014465,79355,↓1.27%,55,14,暂无数据,0.80元/平米/月,暂无数据,500户,1998年,150元/车位/月,0.9,25%(一般),768厂大华物业,业主自营,
林大家属区,海淀-学院路-清华东路35号,116.348575,40.006814,76273,↓1.71%,93,8,暂无数据,0.75元/平米/月,暂无数据,暂无数据,1999年,暂无数据,1.2,30%(一般),暂无数据,北林物业管理公司,
文成杰座,海淀-学院路-林业大学北路18号,116.35456,40.012619,85767,↑5.89%,45,47,暂无数据,2.41元/平米/月,94000m²,654户,2005年,2户一个,3.5,34%(一般),北京京西北房地产开发有限公司,北京华厦兴业物业管理有限公司,
双清路14号院,海淀-学院路-双清路14号,116.351628,40.017904,78337,↑1.83%,8,7,公寓,0.60元/平米/月,800m²,1200户,1988年,充足,3.1,25%(一般),北京城建一局五公司,东方华电力公司,
双泉堡125号院,海淀-学院路-银泉路,116.363756,40.020684,84104,↑0.71%,4,14,暂无数据,0.90元/平米/月,1802m²,603户,2000年,充足,1.9,40%(高),北京寅丰房地产开发有限责任公司,北京中地物业管理有限责任公司,
中铁置业翰庭,海淀-学院路-清华东路,116.35629,40.008919,106114,↓0.08%,0,3,公寓,3.88元/平米/月,43388m²,550户,2009年,300,2.2,30%(一般),中国中铁置业集团有限公司,北京长城物业管理有限公司,
前八家居民区,海淀-学院路-双清路,116.348802,40.017275,61642,↓1.84%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
清华东路甲7号院,海淀-学院路-清华东路甲7号,116.370712,40.007895,50387,——,0,7,暂无数据,1.50元/平米/月,暂无数据,176户,1996年,暂无数据,2,15%(低),暂无数据,清华东路甲7号院居民委员会,
双清路85号院,海淀-学院路-双清路85号,116.345641,40.010024,81314,↑15.48%,0,3,暂无数据,1.50元/平米/月,暂无数据,暂无数据,1997年,较少，免费。,0.9,20%(一般),暂无数据,双清路85号院居民委员会,
农业大学东校区家属院,海淀-学院路-清华东路17号,116.359989,40.011605,79494,↑4.23%,0,45,普通住宅,1.60元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.6,35%(一般),暂无数据,暂无数据,
中铁翰庭,海淀-学院路-学清路,116.356662,40.008944,119986,↑5.45%,0,0,暂无数据,3.88元/平米/月,43388m²,暂无数据,2009年,车位充足,2.2,30%(一般),中国中铁置业集团有限公司,北京长城物业管理有限公司,
双全堡125号院,海淀-学院路-双全堡125号,116.363867,40.020478,71753,——,0,0,暂无数据,1.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,暂无数据,
伯儒苑,海淀-学院路-林业大学北路,116.352603,40.014462,57692,——,0,1,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2001年,暂无数据,1.2,暂无数据,暂无数据,北京易事达物业管理顾问有限公司,
大华花园别墅,海淀-学院路-学院路5号,116.357427,40.013681,69619,↓0.97%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1999年,暂无数据,暂无数据,暂无数据,北京大雄华航置业有限公司,安厦物业服务有限公司,
