安河家园,海淀-海淀北部-北清路,116.137729,40.075621,38572,↓7.00%,32,1282,暂无数据,暂无数据,暂无数据,暂无数据,2016年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
麓景嘉园,海淀-海淀北部-后沙涧路,116.151882,40.115658,29218,↓2.86%,20,38,公寓,0.52元/平米/月,298026m²,暂无数据,2013年,停车位充足,2.5,35%(一般),北京市威凯房地产开发经营公司,威凯房地产物业公司,
同泽园东里,海淀-海淀北部-苏二路,116.146332,40.109696,28669,↓2.82%,0,1,暂无数据,0.56元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.8,40%(高),北京房修一建筑工程有限公司,前沙涧定向安置房物业办公室,
凤凰小区,海淀-海淀北部-台头村路,116.120483,40.115873,46534,↓0.41%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,22%(一般),北京燕山石油化工有限公司,暂无数据,
正源尚峰尚水(东区),海淀-海淀北部-白家疃路,116.190911,40.05258,60377,↓1.58%,0,0,暂无数据,0.75元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,暂无数据,
杨庄社区,海淀-海淀北部-温泉路45号,116.197564,40.04763,59114,↓0.21%,10,1,暂无数据,0.60元/平米/月,暂无数据,暂无数据,1995年,暂无数据,2,30%(一般),北京城建集团有限责任公司,北京亿本物业管理公司,
后沙涧六区,海淀-海淀北部-苏家坨北路,116.152281,40.121222,34889,↑0.20%,4,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,40%(高),暂无数据,暂无数据,
麓景嘉园北里,海淀-海淀北部-苏家坨北路,116.152147,40.118729,34372,↓1.22%,9,37,暂无数据,0.52元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京市威凯房地产开发经营公司,北京市威凯房地产物业公司,
尚峰尚水南区,海淀-海淀北部-白家疃路,116.189034,40.051973,65776,↑4.88%,1,1,暂无数据,0.75元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,暂无数据,
同泽园西里,海淀-海淀北部-后沙涧路,116.14324,40.111351,35294,↑0.98%,86,34,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,暂无数据,北京海开房地产股份有限公司,暂无数据,
北安河路甲8号院,海淀-海淀北部-北安河路甲8号,116.131527,40.066265,38395,↓1.45%,52,134,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2.1,30%(一般),暂无数据,暂无数据,
前沙涧路7号院,海淀-海淀北部-沙涧路7号,116.154512,40.115629,37731,↓3.08%,242,61,公寓,0.52元/平米/月,暂无数据,暂无数据,2009年,300,暂无数据,暂无数据,北京城建房地产开发有限公司,单位自管物业,
