观澳园小区,海淀-清河-南马坊东路,116.376894,40.038224,74375,↑1.15%,138,175,暂无数据,1.80元/平米/月,105000m²,982户,2005年,150/300,1.2,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京天鸿宝地物业管理经营有限公司,北京石油学院附属实验小学,
宝盛里,海淀-清河-龙岗路,116.374233,40.040116,67083,↓0.28%,230,195,暂无数据,0.78元/平米/月,387000m²,5500户,1996年,出租150元/月,0.8,35%(一般),天鸿集团，北京宝晟住房股份有限公司,兴华物业,北京石油学院附属实验小学,
橡树湾红橡庭院,海淀-清河-清河中街,近朱房北一街,116.339134,40.037264,99676,↑0.45%,136,308,暂无数据,2.76元/平米/月,710000m²,3470户,2008年,1：2,2.25,33%(一般),华润置地（北京）股份有限公司,华润置地（北京）物业管理有限公司,
水木天成,海淀-清河-龙岗路69号,116.357843,40.03402,69410,↓0.10%,433,167,暂无数据,2.00元/平米/月,143584m²,1057户,2005年,3：2,2.9,31%(一般),北京亚太友谊房地产开发有限责任公司,北京水木天成物业管理有限责任公司,
永泰东里,海淀-清河-永泰中路,116.365461,40.040137,67936,↓0.15%,554,256,暂无数据,0.80元/平米/月,-894967296m²,5800户,1998年,300,2,30%(一般),北京天鸿宝业房地产股份有限公司,北京房修一物业管理有限公司,
莱圳家园北区,海淀-清河-育新花园西路,116.352763,40.052079,79607,↓3.84%,272,33,暂无数据,1.90元/平米/月,62532m²,674户,2012年,2650,2.5,30%(一般),北京海欣方舟房地产开发有限公司,北京怡兴物业管理有限责任公司,
清缘里,海淀-清河-龙岗路12号,116.360617,40.035468,61426,↓0.29%,345,172,暂无数据,1.26元/平米/月,150000m²,3240户,2000年,充足,3,30%(一般),北京恒泰房地产开发有限责任公司,北京嘉瑞物业管理有限公司,
清景园,海淀-清河-永泰庄西路,116.357256,40.036909,66462,↑0.79%,474,109,暂无数据,1.65元/平米/月,50000m²,1203户,2004年,270,2.8,32%(一般),信民开发商,北京市信铭物业管理有限公司,
安宁里(北区),海淀-清河-安宁庄东路12号,116.336081,40.052581,67723,↓3.76%,145,51,普通住宅,0.80元/平米/月,暂无数据,暂无数据,2015年,360,1.22,30%(一般),北京上地房地产开发有限责任公司,北京新通房产管理有限公司,海淀实验二小汇缘校区,
宝盛里观林园,海淀-清河-南马房东路,116.378272,40.045177,81714,↑1.03%,119,13,暂无数据,1.50元/平米/月,210000m²,2986户,2008年,2：1,1.4,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京天鸿宝地物业管理经营有限公司,北京石油学院附属实验小学,
世华龙樾一里,海淀-清河-后屯路,116.360157,40.053248,102906,↓0.28%,236,89,暂无数据,3.49元/平米/月,782052m²,5271户,2014年,车位配比1
芳清园,海淀-清河-龙岗路,116.380627,40.038625,75970,↓4.14%,61,190,暂无数据,1.99元/平米/月,124800m²,894户,2007年,934,1.72,30%(一般),北京城市建设开发集团有限公司,北京世纪鑫豪物业管理有限公司,北京石油学院附属实验小学,
永泰园东区,海淀-清河-前屯路,116.358294,40.040151,70814,↓1.90%,150,120,暂无数据,0.56元/平米/月,10000m²,998户,1980年,300,2.12,41%(高),北京鼎嘉恒房地产开发有限公司,北京佳美物业管理有限责任公司,
高巢小区,海淀-清河-龙岗路35号,116.365025,40.036676,70400,↓2.03%,104,54,暂无数据,2.45元/平米/月,23000m²,381户,2005年,充足,4.3,10%(低),北京恒乾房地产开发有限公司,北京恒乾物业公司,
清缘东里,海淀-清河-龙岗路,116.366223,40.035415,76730,↑0.33%,500,125,暂无数据,1.26元/平米/月,100000m²,1472户,2004年,600,2,35%(一般),北京旭洲房地产开发有限责任公司,北京第一物业股份有限公司,
莱圳家园南区,海淀-清河-育新花园西路,116.351803,40.050142,78520,↓1.88%,184,57,暂无数据,1.90元/平米/月,270000m²,2252户,2006年,2650,2.37,66%(高),北京海欣方舟房地产开发有限公司,北京怡兴物业管理有限责任公司,
阳光南里,海淀-清河-清河二街72号,116.345085,40.038744,69727,↑3.18%,50,11,暂无数据,0.80元/平米/月,18000m²,1027户,1995年,265,1.35,35%(一般),北京市阳光地产开发有限公司,北京康苑物业管理有限公司,
前屯路58号院,海淀-清河-前屯路58号,116.356616,40.043935,68376,↓1.09%,37,8,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2,31%(一般),暂无数据,社区自管,
六二一小区,海淀-清河-朱房路,116.333053,40.037641,73417,↓0.02%,4,4,公寓,1.00元/平米/月,360000m²,暂无数据,1980年,150元/车位/月,1.3,15%(低),暂无数据,北京长城物业管理有限公司,
阳光北里,海淀-清河-安宁庄东路,116.343253,40.04346,68438,↑2.02%,51,34,暂无数据,1.20元/平米/月,50000m²,720户,1993年,150,3.1,30%(一般),北京首创风度房地产开发有限责任公司,北京康苑物业管理有限公司,海淀实验二小汇缘校区,
力度家园,海淀-清河-清河中街,116.345279,40.03702,63483,↓4.98%,36,11,暂无数据,1.95元/平米/月,68000m²,714户,2005年,300,2.6,30%(一般),北京方恒房地产开发有限公司,北京华泰龙安物业管理有限责任公司,
砂轮厂宿舍,海淀-清河-清河二街,116.350051,40.038118,63992,↓9.11%,18,26,普通住宅,1.50元/平米/月,暂无数据,暂无数据,1986年,100,2.13,30%(一般),砂轮厂,无,
小营东路10号院,海淀-清河-小营东路10号,116.355551,40.045333,70734,↑5.28%,1,3,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,小区免费,2.4,30%(一般),北京冶金集团,社区自管,
