尚峰尚水,海淀-温泉镇-温北路8号,116.189254,40.0535,66055,↓1.88%,307,335,暂无数据,3.98元/平米/月,259600m²,2000户,2012年,3000,1.5,30%(一般),北京世纪正源房地产开发有限公司,北京正源和美物业服务有限公司,
北辰香麓雅庭,海淀-温泉镇-显龙山路19号,116.184754,40.055196,50385,↓6.52%,49,29,暂无数据,3.98元/平米/月,暂无数据,暂无数据,2009年,暂无数据,1.49,35%(一般),北京北辰实业股份有限公司,北京北辰信和物业管理有限责任公司,
颐阳山水居西区,海淀-温泉镇-温泉路,116.198595,40.045902,30122,↓0.93%,236,47,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1995年,暂无数据,1.53,30%(一般),保利（北京）房地产开发有限公司,北京同力物业管理有限公司,
水岸家园,海淀-温泉镇-太舟坞路,116.209332,40.052818,33596,↓8.28%,55,37,公寓,0.80元/平米/月,暂无数据,暂无数据,暂无数据,600,暂无数据,30%(一般),北京兴泉置业开发建设有限公司,业主自管,
三嘉信苑,海淀-温泉镇-沙阳路,116.212203,40.133388,36910,↓0.47%,442,62,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,30%(一般),北京三元嘉业房地产开发有限公司,北京三元嘉业房地产开发有限公司,上地实验小学北校区,
山语间(保利西山林语),海淀-温泉镇-黑龙潭路,116.22117,40.041221,68804,↓5.16%,671,320,暂无数据,0.40元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
厢白旗,海淀-温泉镇-北五环路,116.228677,40.001347,73610,↑0.07%,2,5,暂无数据,0.50元/平米/月,197700m²,662户,1996年,150元/车位/月,1.95,38%(一般),北京泰跃房地产开发有限责任公司,业主自管,
青年公寓,海淀-温泉镇-百望山北路,116.255485,40.044936,81092,↓4.71%,13,36,暂无数据,0.80元/平米/月,65000m²,1300户,1992年,1250,1.1,35%(一般),首钢房产开发总公司,北京凯莱物业管理有限公司,
老年医院家属楼,海淀-温泉镇-山口路,116.166773,40.056415,62596,↓6.38%,34,29,暂无数据,暂无数据,暂无数据,暂无数据,2000年,车位充足,暂无数据,39%(一般),北京城建房地产开发有限公司,业主自管,
西颐小区,海淀-温泉镇-北清路,116.16953,40.073354,30270,↑14.66%,15,47,暂无数据,1.20元/平米/月,100000m²,暂无数据,2000年,228,暂无数据,45%(高),北京温泉集团房地产开发有限公司,北京同力物业管理有限公司,
颐阳山水居东区,海淀-温泉镇-黑龙潭路,116.217772,40.044862,30097,↓0.98%,91,41,普通住宅,1.00元/平米/月,暂无数据,暂无数据,2015年,200,1.53,35%(一般),海淀温泉集镇房地产开发公司,北京同力物业管理有限公司,
