西山国际城,海淀-田村-阜石路甲69号,116.236047,39.932998,66925,↑0.43%,330,440,公寓,4.20元/平米/月,170040m²,1338户,2011年,1468,1.38,33%(一般),北京锦绣大地房地产开发有限公司,北京昌泽物业管理有限公司,首师大附小,
圣华里小区,海淀-田村-砂石厂路,116.24667,39.934544,55945,↓0.11%,42,40,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
绿谷雅园,海淀-田村-阜石路91号,116.22482,39.933803,60094,↓0.36%,52,65,暂无数据,1.25元/平米/月,62078m²,528户,2004年,小区内免费停车,1.38,35%(一般),北京锦绣大地房地产开发有限公司,开发商自建自管,
雅世合金公寓,海淀-田村-永定路2号,116.272174,39.93399,98221,↑0.07%,279,97,暂无数据,2.90元/平米/月,78000m²,486户,2010年,432,2.2,31%(一般),北京新岁丰置业有限公司,北京雅世酒店物业管理有限公司,
金隅长安山麓,海淀-田村-砂石厂路,116.244442,39.929202,93445,↓8.74%,31,4,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2012年,暂无数据,1.1,30%(一般),北京金隅嘉业房地产开发有限公司,北京金隅物业管理有限公司,
金隅山墅,海淀-田村-阜石路,116.246741,39.928573,112540,↑5.35%,96,25,暂无数据,3.98元/平米/月,850m²,216户,2015年,15万每个,0.95,30%(一般),北京金隅嘉业房地产开发有限公司,北京金隅物业管理有限公司,
乐府江南,海淀-田村-永定路,近田村路,116.270539,39.933314,99100,↓0.60%,535,120,暂无数据,2.50元/平米/月,300000m²,1568户,2003年,1
大苑海淀名著,海淀-田村-田村路,116.251724,39.934907,99562,↓0.35%,249,31,暂无数据,2.98元/平米/月,88000m²,308户,2013年,全地下车库,2.59,35%(一般),北京市龙鼎华源房地产开发有限责任公司,北京中赛物业管理有限公司,
永达逸家,海淀-田村-玉泉路甲2号,116.261115,39.934222,70329,↓2.93%,104,79,暂无数据,1.76元/平米/月,130000m²,930户,2004年,地下300地上150,2.8,35%(一般),北京永达房地产开发有限公司,北京山川百年物业管理有限公司,
椿楸嘉园,海淀-田村-行集寺路,116.258592,39.943211,56367,↓0.13%,482,286,暂无数据,暂无数据,暂无数据,暂无数据,2014年,暂无数据,暂无数据,30%(一般),北京椿楸房地产开发有限公司海淀区振兴村安置房,无,
畅茜园碧森里,海淀-田村-田村北路,116.256755,39.939545,63000,↓17.39%,1,11,暂无数据,1.89元/平米/月,853600m²,804户,2003年,地下停车300元/月,2.1,37%(一般),北京市龙鼎华源房地产开发有限责任公司,北京国宇嘉物业管理有限公司,
橡胶研究设计院家属院,海淀-田村-田村路40号,116.265135,39.934552,67323,↑7.44%,15,10,暂无数据,暂无数据,8000m²,120户,1988年,120,1,50%(高),暂无数据,业主自管,
自由度,海淀-田村-田村路8号,116.278337,39.933375,69380,↑14.82%,15,16,暂无数据,2.00元/平米/月,18476m²,135263户,1997年,地下45个停车位,2.3,34%(一般),北京通衢房地产开发有限责任公司,和家安物业公司,
兰德华庭,海淀-田村-阜石路35号,116.256925,39.934604,85002,↑1.02%,265,278,暂无数据,2.30元/平米/月,210000m²,1024户,2002年,800个,2,40%(高),北京罗兰德房地产开发有限公司,北京众邦安泰物业管理有限公司,
碧桐园,海淀-田村-田村路,116.230598,39.936053,76168,↑6.14%,42,58,暂无数据,2.29元/平米/月,85157m²,836户,2008年,385,1.6,30%(一般),北京锦绣大地房地产开发有限公司,北京锦绣大地物业管理有限公司,
瑞和园,海淀-田村-田村山南路33号,116.240413,39.925973,40813,↑4.36%,12,70,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金隅大成物业管理有限公司第二分公司,
永景园,海淀-田村-永定路,116.269542,39.932135,80429,↓1.32%,15,18,暂无数据,0.50元/平米/月,20000m²,350户,1996年,150元/车位/月,1.6,32%(一般),北京燕都立民开发有限公司,北京瑞欧物业管理有限公司,图强二小,
田村小区,海淀-田村-田村路,116.25833,39.937004,68479,↓1.53%,11,68,暂无数据,1.00元/平米/月,10000m²,400户,1998年,1：1,1,22%(一般),北京青远房地产开发有限公司,北京阜石物业管理中心,
田村路19号院,海淀-田村-田村路19号,116.273477,39.935558,69458,↓2.12%,8,10,暂无数据,暂无数据,10000m²,180户,1986年,100,1,30%(一般),祥龙公交公司,业主自管,
碧森里,海淀-田村-田村北路,116.256899,39.939436,120996,↑24.04%,107,90,暂无数据,1.78元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.1,37%(一般),北京市龙鼎华源房地产开发有限责任公司,北京国宇嘉物业管理有限公司,
景宜里,海淀-田村-田村东路,116.256037,39.936989,79510,↑1.11%,126,49,暂无数据,1.18元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,53%(高),北京大苑天地房地产开发有限责任公司,街道办事处（委员会）代管物业,
建西苑南里,海淀-田村-八角东街,116.214722,39.923514,66678,↓1.76%,31,17,暂无数据,0.55元/平米/月,10530m²,1317户,2001年,300,1.4,25%(一般),北京金隅佳业房地产开发公司,北京金隅大成物业管理有限公司,
