气象局小区,海淀-白石桥-中关村南大街46号,116.337465,39.953517,127925,↓2.09%,59,18,公寓,2.80元/平米/月,255515m²,530户,1999年,地上150元/车位/月,2.6,30%(一般),无,北京云勤物业管理中心,
中国气象局社区,海淀-白石桥-中关村南大街,116.338331,39.953757,110819,↓9.65%,4,5,暂无数据,2.80元/平米/月,暂无数据,暂无数据,1985年,暂无数据,2.6,35%(一般),无,北京云勤物业管理有限公司,
紫瑞嘉园,海淀-白石桥-大慧寺南路,116.340746,39.951579,113965,↑9.85%,9,0,暂无数据,0.65元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,32%(一般),暂无数据,暂无数据,
金地华著,海淀-白石桥-气象路,116.340686,39.952554,150421,↑2.82%,9,0,暂无数据,暂无数据,暂无数据,暂无数据,2017年,暂无数据,暂无数据,30%(一般),金地（集团）股份有限公司,北京金地物业管理有限责任公司,
紫御府别墅,海淀-白石桥-气象路,116.344418,39.952765,113965,——,428,0,暂无数据,8.00元/平米/月,66000m²,150户,2008年,1
钢研社区,海淀-白石桥-高粱桥斜街13号,116.342878,39.955226,93108,↓7.20%,25,19,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,1500,2.3,27%(一般),无,自管物业,
国家海洋局大院,海淀-白石桥-大慧寺路8号,116.334921,39.95799,110160,↓4.62%,29,4,暂无数据,1.10元/平米/月,暂无数据,暂无数据,1987年,120,1.65,30%(一般),无,自管物业,
大慧寺21号院,海淀-白石桥-大慧寺路21号,116.339618,39.96171,100201,↓1.45%,74,26,暂无数据,1.10元/平米/月,暂无数据,暂无数据,1990年,车位充足,1.4,33%(一般),北京国天物业管理发展有限公司,自管理物业,农科院附小,
大慧寺12号院,海淀-白石桥-大慧寺路12号,116.33536,39.956553,102305,↓6.18%,16,1,暂无数据,1.50元/平米/月,暂无数据,300户,1995年,有,1.38,25%(一般),北京国天物业管理发展有限公司,单位自管理,农科院附小,
大慧寺7号院,海淀-白石桥-大慧寺路7号,116.333607,39.957775,105762,↓1.61%,12,7,暂无数据,1.00元/平米/月,12400m²,680户,1999年,非常充足,暂无数据,33%(一般),无,北京云勤物业管理中心,农科院附小,
大柳树路9号院,海淀-白石桥-大柳树路9号,116.339691,39.961084,94298,↑0.10%,4,1,暂无数据,0.50元/平米/月,暂无数据,300户,1990年,暂无,1.5,15%(低),北京城建房地产开发有限公司,自管物业,农科院附小,
大柳树路3号院,海淀-白石桥-大柳树路3号,116.341473,39.962416,93787,↑1.96%,3,9,暂无数据,0.50元/平米/月,暂无数据,72户,1989年,车位充足,2,20%(一般),北京城建集团有限责任公司,自管物业,
大柳树路13号院,海淀-白石桥-大柳树路13号,116.34142,39.961073,100676,↑3.52%,16,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1983年,暂无数据,2,30%(一般),北京城建集团有限责任公司,自管物业,农科院附小,
动物园社区,海淀-白石桥-北动物园路,116.343078,39.951012,92812,↑2.89%,19,25,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1,30%(一般),无,房管所代管物业,
高粱桥斜街19号院,海淀-白石桥-高粱桥斜街19号,116.348166,39.95252,87365,↑4.65%,2,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
学院南路82号院,海淀-白石桥-学院南路82号,116.333954,39.961989,106482,↑1.84%,6,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
大柳树路7号院,海淀-白石桥-大柳树路7号,116.340526,39.961517,95524,↓0.61%,0,7,暂无数据,0.50元/平米/月,25000m²,126户,1999年,充足,1.6,30%(一般),北京城建集团有限责任公司,自管物业,农科院附小,
学院南路84号院,海淀-白石桥-学院南路84号,116.331118,39.962375,102124,↑3.99%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,1988年,地上,1.5,30%(一般),暂无数据,业主自管,
大慧寺19号院,海淀-白石桥-大慧寺路19号,116.339096,39.958205,101750,↓2.44%,0,17,暂无数据,1.10元/平米/月,暂无数据,暂无数据,1980年,50,2,30%(一般),无,单位自管物业,
阜北小区,海淀-白石桥-阜成路,116.334767,39.929663,109086,——,0,0,公寓,暂无数据,暂无数据,暂无数据,1982年,车位充足,1.3,20%(一般),北京城建房地产开发有限公司,北京安恒泰物业管理有限公司,
大慧寺5号院,海淀-白石桥-大慧寺路5号,116.332458,39.956799,108450,↓2.64%,0,0,暂无数据,1.10元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,单位自管物业,
大慧寺18号院,海淀-白石桥-大慧寺路18号,116.338384,39.956857,102325,↓2.39%,0,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
高粱桥斜街甲18号院,海淀-白石桥-高粱桥斜街18号,116.344314,39.952705,105300,↓2.69%,0,0,暂无数据,3.32元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京科管房地产开发有限公司,单位自管物业,
学院南路72号院,海淀-白石桥-学院南路,116.338435,39.962316,95000,——,0,0,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
