太阳园,海淀-知春路-大钟寺东路,116.347267,39.976178,97819,↑1.31%,229,246,暂无数据,1.42元/平米/月,437000m²,4026户,2000年,3000,3,40%(高),北京泰跃房地产开发有限责任公司,北京市太月物业管理有限责任公司,中关村四小,
知春路52号院,海淀-知春路-知春路52号,116.344477,39.980897,90817,↓4.82%,16,77,暂无数据,2.72元/平米/月,70000m²,853户,1985年,150元,4,30%(一般),北京市海淀区房地产经营开发总公司,北京神舟天辰物业服务有限公司,
金谷园,海淀-知春路-知春路,116.341429,39.980881,85643,↓6.13%,34,44,暂无数据,1.00元/平米/月,30m²,420户,1997年,地上车位,1.8,30%(一般),北京集达房地产开发有限公司,北京博达物业管理中心,
罗庄西里,海淀-知春路-知春路,116.350207,39.979345,81737,↓1.46%,225,311,暂无数据,0.86元/平米/月,360000m²,864户,2015年,200,1.2,25%(一般),北京人济房地产开发集团有限公司,北京蓟门知春物业管理有限公司,
宏嘉丽园,海淀-知春路-知春路,116.355848,39.978452,93512,↓2.69%,215,136,暂无数据,2.48元/平米/月,64000m²,500户,2001年,300多个,暂无数据,33%(一般),北京华宇宏基房地产开发有限公司,山西云馨物业管理有限责任公司北京分公司,
蓟门里北区,海淀-知春路-蓟门里北路,116.357044,39.978601,88490,↑3.17%,148,68,暂无数据,0.83元/平米/月,205000m²,暂无数据,1993年,租、地上150/月，本小区不出售,1,20%(一般),北京房地集团有限公司,北京务实物业有限公司,
蓟门里南区,海淀-知春路-北三环西路,116.357689,39.974074,80122,↑1.01%,78,59,暂无数据,0.83元/平米/月,100000m²,2000户,1992年,100元,1.2,20%(一般),北京房地集团有限公司,北京务实物业有限公司,
锦秋家园,海淀-知春路-知春路,116.355742,39.980371,102219,↓1.34%,209,364,暂无数据,2.20元/平米/月,250000m²,694户,2003年,1：1,3,33%(一般),北京锦秋知春房地产开发公司,房修一物业,
太月园(南区),海淀-知春路-罗庄东路,116.353175,39.979326,84618,↑0.44%,399,242,公寓,2.48元/平米/月,220000m²,1980户,1998年,800,4,35%(一般),北京泰跃房地产开发有限责任公司,北京市太月物业管理有限责任公司,
蓟门里东区,海淀-知春路-西土城路,116.359361,39.974953,83467,↑0.81%,113,99,暂无数据,3.00元/平米/月,108765m²,2000户,2002年,150,2.5,30%(一般),北京市房地产开发经营总公司,北京务实物业有限公司,
保利海德公园,海淀-知春路-西土城路,116.358106,39.980053,145347,↓0.57%,307,145,暂无数据,6.18元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.6,45%(高),北京世博宏业房地产开发有限公司,保利物业管理（北京）有限公司,
汉荣家园,海淀-知春路-知春路,116.344382,39.978753,79319,↓1.87%,28,117,暂无数据,1.85元/平米/月,20000m²,360户,2000年,停车位100个，出租地上：200元/月、,2.1,30%(一般),北京正荣建设工程有限责任公司,北京铁直物业管理有限公司,
罗庄南里,海淀-知春路-知春路,116.352305,39.977934,87705,↓0.57%,89,137,暂无数据,0.70元/平米/月,150000m²,860户,1986年,地上停车,1.5,40%(高),北京城建房地产开发有限公司,北京蓟门物业管理有限公司,
罗庄东里,海淀-知春路-知春路,116.353103,39.980609,95012,↓0.36%,118,152,暂无数据,0.90元/平米/月,37000m²,847户,1993年,地上停车,1.5,20%(一般),东升乡,北京东辉物业管理有限公司,
知春嘉园,海淀-知春路-知春路,116.353532,39.982519,90058,↓3.14%,116,205,暂无数据,2.20元/平米/月,170000m²,584户,1998年,充足,1.9,30%(一般),北京市海淀区房地产经营开发总公司,北京蓟门物业管理有限公司,
紫金数码园(商住楼),海淀-知春路-星规路,116.34467,39.98558,76753,↓3.06%,3,48,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2006年,暂无数据,4.8,30%(一般),北京中关村科学城建设股份有限公司,深圳科技工业员物业管理有限公司,
碧兴园,海淀-知春路-知春路,116.349694,39.980213,96404,↑13.62%,0,89,暂无数据,0.50元/平米/月,60000m²,580户,2015年,地下180地上120,1.9,25%(一般),北京碧兴源房地产开发有限公司,北京市瑞腾物业管理有限公司,
西土城路10号院,海淀-知春路-西土城路10号,116.36722,39.969714,88141,——,0,6,暂无数据,暂无数据,170000m²,2600户,1989年,680,1.5,40%(高),北京城市建设开发集团有限公司,京煤集团有限责任公司绿海物业管理分公司,
中关村东路106号院,海淀-知春路-中关村东路106号,116.341812,39.979219,80831,↓11.89%,0,4,暂无数据,1.40元/平米/月,暂无数据,暂无数据,1996年,暂无数据,1.9,30%(一般),无,北京中航物业管理有限责公司,
北四环中路248号院,海淀-知春路-北四环中路248号,116.352433,39.991854,90666,↓1.77%,0,3,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,20%(一般),暂无数据,北京博德物业管理中心,
航南小区,海淀-知春路-知春路13号,116.355568,39.982667,92142,↓4.28%,19,23,暂无数据,2.00元/平米/月,暂无数据,暂无数据,1998年,暂无数据,4,暂无数据,暂无数据,北京可来博物业管理有限公司,
