主语家园,海淀-紫竹桥-首体南路,116.329751,39.939612,123601,↑0.26%,76,243,暂无数据,3.95元/平米/月,420000m²,620户,2007年,610,4.5,46%(高),北京瑞景清源房地产开发有限公司,主语世邦物业管理有限公司,
三虎桥南路8号院,海淀-紫竹桥-三虎桥南路8号,116.321464,39.942017,86105,↑1.13%,38,1,暂无数据,1.00元/平米/月,44687m²,216户,1998年,楼下,1.9,28%(一般),北京房地产开发有限公司,单位自管物业,
方圆公寓,海淀-紫竹桥-西直门外大街,116.336346,39.945435,99003,↑19.66%,1,10,公寓,1.35元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.9,30%(一般),北京银通房地产开发有限公司,单位自管物业,
三虎桥小区,海淀-紫竹桥-紫竹院路,116.324835,39.944775,88099,↓0.75%,14,48,暂无数据,1.00元/平米/月,300000m²,5000户,1988年,充足,2,39%(一般),北京房地产开发有限公司,单位自管物业,
中海紫金苑,海淀-紫竹桥-万寿寺路,116.321806,39.951154,129733,↑5.59%,178,73,暂无数据,1.30元/平米/月,90000m²,358户,2002年,460,暂无数据,45%(高),中海发展（北京）有限公司,中海物业,
豪柏国际公寓,海淀-紫竹桥-西三环北路50号,116.318637,39.945216,94808,↑1.32%,44,123,暂无数据,2.36元/平米/月,57225m²,432户,2004年,停车位1：1.2,暂无数据,30%(一般),北京新松家园房地产开发有限公司,北京城翔物业管理有限公司,
人济山庄,海淀-紫竹桥-紫竹院路1号,116.319877,39.948724,124431,↑2.67%,348,257,普通住宅,2.80元/平米/月,暂无数据,暂无数据,2003年,300,2.9,50%(高),北京人济房地产开发有限责任公司,北京普瑞物业管理有限公司,海淀实验小学北洼路校区,
国兴家园,海淀-紫竹桥-首体南路20号,116.334747,39.939378,108958,↓0.32%,228,163,暂无数据,4.20元/平米/月,240000m²,1900户,2000年,1200,3.5,36%(一般),北京能源房地产开发有限责任公司,北京三吉利,
紫竹院路14号院,海淀-紫竹桥-紫竹院路14号,116.327965,39.944062,88887,↓3.40%,16,7,暂无数据,2.80元/平米/月,7600m²,760户,2000年,260,2.1,30%(一般),北京房地产开发有限公司,单位自管物业,
紫竹院南路14号院,海淀-紫竹桥-紫竹院南路14号,116.3275246419,39.9439938739,88982,↓4.08%,13,5,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.1,30%(一般),暂无数据,业主自管,
紫竹院南路20号院,海淀-紫竹桥-紫竹院南路20号,116.327519,39.941166,90717,↑0.18%,16,29,暂无数据,2.80元/平米/月,暂无数据,暂无数据,1965年,暂无数据,1.5,30%(一般),北京紫竹花园房地产开发有限公司,单位自管物业,
三虎桥南路12号院,海淀-紫竹桥-三虎桥南路12号,116.321826,39.941003,90063,↑0.52%,9,24,暂无数据,1.00元/平米/月,110000m²,480户,1985年,200,1.7,30%(一般),水电印刷厂,单位自管物业,
首体宿舍,海淀-紫竹桥-中关村南大街,116.333985,39.947342,93356,↓6.64%,1,1,暂无数据,1.00元/平米/月,1700000m²,400户,1985年,充足,1.5,30%(一般),无,北京亿方物业管理有限责任公司,
紫竹园南路20号院,海淀-紫竹桥-紫竹园南路20号,116.327696,39.941269,89967,↑19.67%,4,5,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
车公庄西路45号院,海淀-紫竹桥-车公庄西路45号,116.317949,39.938937,86575,↓4.61%,17,15,公寓,暂无数据,暂无数据,暂无数据,1985年,车位充足,暂无数据,37%(一般),暂无数据,无,
首体南路1号院,海淀-紫竹桥-首体南路1号,116.329899,39.943531,120676,↑5.80%,1,8,暂无数据,0.50元/平米/月,150000m²,203户,2009年,地上停车,1.3,30%(一般),北京房地产开发有限公司,单位自管物业,
三虎桥南路17号院,海淀-紫竹桥-三虎桥南路17号,116.321616,39.941698,122033,↑4.56%,1,3,暂无数据,1.00元/平米/月,200000m²,300户,1996年,30,1.5,26%(一般),水利水电学院,单位自管物业,
