紫金庄园,海淀-苏州桥-万泉河路68号,116.315285,39.972154,80677,↓0.93%,146,190,暂无数据,2.80元/平米/月,34580m²,996户,1998年,920,3,26%(一般),北京原创房地产开发有限责任公司,北京筑邦百扬物业管理有限公司,中关村三小万柳校区,
红五楼,海淀-苏州桥-海淀南路,116.315839,39.973012,89367,↑4.98%,2,8,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),无,自管物业,中关村三小万柳校区,
倒座庙东区,海淀-苏州桥-北京市海淀区苏州街36号,116.314119,39.979583,81705,↑0.10%,27,30,暂无数据,暂无数据,12000m²,500户,1988年,150元/车位/月,1,23%(一般),三建集团,北电华明物业管理公司,中关村三小万柳校区,
海淀南路24号院,海淀-苏州桥-北京市海淀区海淀南路24号,116.315807,39.980707,86193,↓6.75%,40,52,暂无数据,0.60元/平米/月,1200000m²,500户,1986年,200—300,0.8,30%(一般),中国外交部家属楼管理公司,北京首华物业管理有限公司,中关村三小万柳校区,
三义庙社区(南区),海淀-苏州桥-北三环西路,116.318432,39.970247,83804,↓4.10%,61,35,暂无数据,2.80元/平米/月,140000m²,534户,1985年,150,1.5,15%(低),暂无数据,业主自管,中关村三小万柳校区,
海淀南路小区,海淀-苏州桥-海淀南路1-17号,116.320246,39.982807,96760,↑3.81%,144,211,暂无数据,1.81元/平米/月,暂无数据,暂无数据,1989年,暂无数据,1.2,暂无数据,同方股份有限公司,北京亿方物业管理有限责任公司,
西屋国际公寓,海淀-苏州桥-苏州街12号,116.313015,39.98672,69941,↑0.16%,251,38,暂无数据,2.98元/平米/月,130000m²,508户,2004年,380,5.54,31%(一般),北京嘉海房地产开发有限责任公司,北京欣洁物业管理有限公司,中关村三小万柳校区,
人大静园,海淀-苏州桥-静园一路,116.320407,39.978034,69348,↓1.53%,74,130,公寓,0.60元/平米/月,12000m²,350户,2000年,200,2.5,33%(一般),暂无数据,自管物业,中关村三小万柳校区,
人大附中社区,海淀-苏州桥-人民大学北路1号,116.324127,39.979916,73264,↓6.63%,31,7,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,自管物业,中关村三小万柳校区,
中关村公馆,海淀-苏州桥-海淀中街16号,116.318599,39.983506,67217,↑8.01%,55,157,暂无数据,4.00元/平米/月,暂无数据,暂无数据,2009年,暂无数据,暂无数据,20%(一般),北京博雅苑置业有限公司,北京中经世纪物业管理有限责任公司,
人民大学宜园,海淀-苏州桥-知行路,116.316479,39.977277,58639,↓7.88%,7,19,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,自管物业,中关村三小万柳校区,
人大北路19号院,海淀-苏州桥-人大北路19号,116.319634,39.979813,69887,↓2.91%,48,13,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1999年,暂无数据,2,30%(一般),暂无数据,自管物业,中关村三小万柳校区,
沁园公寓,海淀-苏州桥-人民大学北路33号,116.314698,39.979232,67266,↑7.10%,161,18,暂无数据,2.70元/平米/月,60000m²,185户,2000年,充足,10,25%(一般),北京大行基业房地产开发有限公司,北京万达物业管理中心,中关村三小万柳校区,
中湾国际,海淀-苏州桥-彩和坊西小街1号,116.31379,39.987867,95138,↑0.54%,120,244,暂无数据,5.35元/平米/月,52938m²,595户,2007年,320,5.54,30%(一般),北京嘉海房地产开发有限责任公司,北京欣洁物业管理有限公司,中关村三小万柳校区,
友谊社区,海淀-苏州桥-北三环西路47号,116.323237,39.972734,92066,↑2.09%,97,170,暂无数据,0.10元/平米/月,216500m²,3200户,2000年,1860,暂无数据,32%(一般),友谊宾馆,北京乾江物业有限责任公司,中关村三小万柳校区,
远中悦莱国际酒店公寓,海淀-苏州桥-海淀中街15号,116.316634,39.983547,87058,↑0.33%,192,235,暂无数据,4.90元/平米/月,暂无数据,暂无数据,2004年,暂无数据,9.03,30%(一般),北京远中房地产开发有限公司,北京远悦物业管理有限公司,中关村三小万柳校区,
稻香园南区,海淀-苏州桥-万泉河路,116.308278,39.985546,95000,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.3,20%(一般),北京玉亭房地产开发有限公司,北京安居物业管理有限公司,中关村三小万柳校区,
银科名苑,海淀-苏州桥-规划路,116.312865,39.987911,53661,↑2.11%,1,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2001年,暂无数据,1.85,36%(一般),北京寅丰房地产开发有限公司,北京寅丰苑物业管理有限公司,中关村三小万柳校区,
海淀南路2号小区,海淀-苏州桥-海淀南路,116.322752,39.981568,93977,↑7.40%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2,暂无数据,同方股份有限公司,同方物业管理有限公司,
