富力桃园(A区),海淀-西三旗-建材城东路,116.383809,40.070255,67677,↓1.58%,381,188,公寓,2.20元/平米/月,360000m²,1143户,2007年,1
金隅翡丽华庭,海淀-西三旗-建材城中路,116.374072,40.070993,81414,↑0.81%,87,34,暂无数据,4.48元/平米/月,50000m²,224户,2012年,305个,暂无数据,30%(一般),北京金隅程远房地产开发有限公司,北京金隅大成物业管理有限公司,
沁春家园,海淀-西三旗-西三旗转盘东路3号,116.343276,40.062007,58587,↓1.55%,218,59,暂无数据,1.65元/平米/月,180000m²,300户,1999年,地上150、地下300-350,2.5,35%(一般),北京都市房地产开发有限责任公司,北京育新物业管理有限公司,
枫丹丽舍,海淀-西三旗-建材城中路1号,116.368347,40.06977,71102,↑0.14%,244,79,暂无数据,2.10元/平米/月,230000m²,2200户,2000年,5500,1,45%(高),北京爱立斯房地产开发公司,北京瑞赢酒店物业管理有限公司,
育新花园,海淀-西三旗-西三旗东路,116.351656,40.0638,80483,↓2.96%,673,229,暂无数据,1.00元/平米/月,450000m²,4776户,1996年,分散的停车位,2.82,44%(高),北京高校联合房地产开发有限公司,北京育新物业管理有限公司,首师大附属育新学校小学部,
常秀家园,海淀-西三旗-建材城西路,116.337358,40.061084,64309,↓2.08%,71,57,暂无数据,0.60元/平米/月,30000m²,3650户,1994年,200,1.2,12%(低),北京市第七运输公司,北京第七运输公司,
雪梨澳乡(别墅),海淀-西三旗-悦秀路,116.340494,40.058364,82128,↓1.32%,238,28,暂无数据,3.60元/平米/月,140000m²,570户,2000年,每户2个
悦秀园,海淀-西三旗-悦秀路,116.340369,40.060134,63133,↓0.62%,83,7,暂无数据,0.65元/平米/月,59000m²,690户,1999年,200,1.3,38%(一般),北京首创阳光房地产开发有限责任公司,北京国广物业管理有限公司,
龙乡小区,海淀-西三旗-建材城西路,116.345236,40.065268,47782,↓3.75%,0,2,暂无数据,0.40元/平米/月,150000m²,1881户,1997年,不收费,1.51,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京昌平回龙观物业管理中心,
建材城西一里,海淀-西三旗-建材城西路,116.358497,40.067684,63354,↑1.67%,94,10,暂无数据,0.83元/平米/月,130000m²,1900户,2000年,充足,1,30%(一般),北京鼎昌源房地产开发有限公司,北京市华远世纪物业管理有限责任公司,
知本时代,海淀-西三旗-建材城西路,116.363458,40.069656,66547,↓0.85%,126,30,暂无数据,暂无数据,137000m²,1300户,2004年,充足
建材城西二里,海淀-西三旗-建材城西路,116.361856,40.068457,60109,↓2.02%,104,51,暂无数据,0.83元/平米/月,120000m²,1800户,2002年,充足,2,35%(一般),北京鼎昌源房地产开发有限公司,北京华远物业管理有限责任公司,
五机床宿舍楼,海淀-西三旗-建材城东路10号,116.375807,40.069296,61201,↑3.43%,6,2,公寓,暂无数据,40000m²,670户,1988年,免费,2,30%(一般),北京第五机床厂开发公司,小区自管,
建材城西路41号院,海淀-西三旗-建材城西路41号,116.355181,40.06689,53833,↓3.50%,1,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2,25%(一般),暂无数据,北京房地产集团有限公司第一物业管理分公司,
动街区小区,海淀-西三旗-建材城西路27号,116.367606,40.066298,57137,↓0.25%,13,15,暂无数据,1.99元/平米/月,36648m²,175户,2008年,184,2.7,30%(一般),北京鼎昌源房地产开发公司（北京城乡建设集团全资子公司）,北京天鸿宝地物业公司,
北新家园,海淀-西三旗-建材城西路,116.355594,40.066842,62576,↓4.59%,37,55,暂无数据,0.86元/平米/月,150000m²,1300户,1982年,充足,2,30%(一般),北新建材（集团）有限公司,北新家园物业管理有限公司,
硅谷先锋,海淀-西三旗-建材城东路,116.380063,40.069055,55511,↓2.41%,0,0,暂无数据,0.80元/平米/月,120000m²,3000户,2002年,停车位充足，150元/车位/月,1.2,38%(一般),北京高新建材城经营开发公司,北京高新建材城经营开发公司,
旗胜家园,海淀-西三旗-建中路,116.365766,40.073108,43956,——,0,1,公寓,0.68元/平米/月,38000m²,2000户,2009年,600,2.3,35%(一般),北京住总房地产开发有限责任公司,北京住总房地产开发有限责任公司,
北辰机械厂职工宿舍,海淀-西三旗-建材城东路,116.375761,40.064595,16507,——,0,10,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,单位集体自建,小区自管,
建材城联合社区,海淀-西三旗-建材城东路,116.376018,40.069433,66619,↓1.01%,0,1,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
林涧阳光,海淀-西三旗-悦秀路7号,116.343859,40.060507,37428,↓2.28%,0,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,34%(一般),北京首库房地产开发有限公司,北京国广物业管理有限公司,
育新嘉园,海淀-西三旗-悦秀路80号,116.345394,40.056454,54012,↓2.47%,5,41,暂无数据,1.32元/平米/月,3000m²,172户,2000年,150,1.3,38%(一般),北京高苑房地产开发有限公司,北京鹏海物业管理有限公司,
润生园,海淀-西三旗-新都路,116.376792,40.072674,52041,↓0.43%,6,12,暂无数据,0.60元/平米/月,108500m²,800户,2015年,充足,2.1,32%(一般),北京金隅集团有限责任公司,北京新奥物业管理有限公司,
华鸿家园,海淀-西三旗-建材城东路,116.387065,40.067658,56965,↓0.31%,15,13,暂无数据,2.38元/平米/月,36938m²,444户,2005年,充足,1,20%(一般),北京东方鸿铭房地产开发有限公司,中邮物业管理有限公司,
建材城东二里,海淀-西三旗-建材城东路,116.381685,40.069737,59519,↓0.02%,121,25,暂无数据,0.86元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,30%(一般),北京合生绿洲房地产开发有限公司,北京市西三旗物业管理公司,
建材城东一里,海淀-西三旗-建材城东路,116.378465,40.068329,59200,↓1.05%,176,34,暂无数据,0.80元/平米/月,130000m²,1900户,2000年,充足,1,30%(一般),北京鼎昌源房地产开发有限公司,北京市华远世纪物业管理有限责任公司,
百旺茉莉园,海淀-西三旗-永丰路,116.261674,40.053328,81818,↓4.10%,1,12,暂无数据,4.80元/平米/月,5000m²,2004户,2007年,1723,1.34,31%(一般),北京德成兴业房地产开发有限公司,北京德成永信物业管理有限公司,中关村一小天秀校区,
