铭科苑,海淀-西二旗-西二旗大街,116.322318,40.058643,65851,↑0.72%,45,204,暂无数据,1.22元/平米/月,140000m²,2160户,1998年,350,1.33,31%(一般),北京安达房地产开发公司,东居物业管理有限公司,西二旗小学,
领秀硅谷2区,海淀-西二旗-西二旗中路6号,116.323056,40.061374,86196,↓3.32%,20,161,暂无数据,2.00元/平米/月,470000m²,2500户,2006年,3000,1.13,45%(高),北京科技园置地有限公司,中实杰肯道夫物业管理有限公司,
领秀新硅谷C区(西二旗西路1号院),海淀-西二旗-西二旗西路1号,116.314396,40.059088,83652,↓0.42%,86,350,暂无数据,3.60元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,45%(高),北京科技园置地有限公司,北京金地物业管理有限责任公司,
西二旗铭科苑,海淀-西二旗-安宁庄西路29号,116.321761,40.057926,65223,↓0.60%,45,181,暂无数据,0.71元/平米/月,暂无数据,暂无数据,1997年,暂无数据,2,31%(一般),北京安达房地产开发公司,北京东居物业管理有限公司,
安宁庄路5号院,海淀-西二旗-安宁庄路5号,116.332614,40.059245,80105,↓3.96%,12,14,暂无数据,暂无数据,暂无数据,暂无数据,1981年,100,2.2,20%(一般),地震局研究院,无,
博雅德园,海淀-西二旗-西二旗中路12号,116.321656,40.063693,68439,↓3.68%,65,163,暂无数据,2.20元/平米/月,66000m²,576户,2000年,地上500个
智学苑,海淀-西二旗-西二旗西路29号,116.317262,40.056477,63218,↑0.40%,122,837,暂无数据,1.50元/平米/月,187401m²,2714户,1999年,500,2.1,29%(一般),北京市安达房地产开发公司,北京东居物业管理有限公司,西二旗小学,
润中苑,海淀-西二旗-西二旗南路6号,116.318338,40.054797,63642,↓1.79%,0,10,暂无数据,1.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京归谷园有限责任公司,金地物业管理有限公司,西二旗小学,
领秀硅谷3区,海淀-西二旗-西二旗中路,116.32298,40.063029,83652,↓1.44%,66,31,暂无数据,3.80元/平米/月,暂无数据,暂无数据,2006年,暂无数据,1.12,30%(一般),北京科技园置地有限公司,中实杰肯道夫物业公司,
领秀新硅谷C区(西二旗西路1号院别墅),海淀-西二旗-西二旗西路1号,116.315398,40.060051,82538,↓18.38%,7,40,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,45%(高),北京科技园置地有限公司,北京金地物业管理有限责任公司,
领秀新硅谷A区(西二旗西路2号院别墅),海淀-西二旗-西二旗西路2号,116.317487,40.060668,104829,↑3.18%,8,35,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2008年,暂无数据,暂无数据,45%(高),北京科技园置地有限公司,北京金地物业管理有限责任公司,
领秀硅谷2区(别墅),海淀-西二旗-西二旗中路6号,116.322206,40.062244,83777,↓5.48%,41,19,暂无数据,暂无数据,暂无数据,暂无数据,2006年,暂无数据,0.8,45%(高),北京科技园置地有限公司,4.2,
领秀硅谷1区,海淀-西二旗-西二旗中路,116.323127,40.062469,79123,↑1.61%,13,91,暂无数据,2.00元/平米/月,197000m²,1200户,2004年,2200,1.67,35%(一般),北京科技园置地有限公司,中实杰肯道夫物业公司,
领秀新硅谷A区(西二旗西路2号院),海淀-西二旗-西二旗西路2号,116.319436,40.061124,99006,↓0.41%,56,154,暂无数据,3.60元/平米/月,暂无数据,暂无数据,2008年,暂无数据,暂无数据,45%(高),北京科技园置地有限公司,北京金地物业管理有限责任公司,
燕尚园,海淀-西二旗-西二旗西路4号,116.32007,40.0546,76953,——,23,166,暂无数据,1.60元/平米/月,41100m²,400户,2006年,一户一位,2,30%(一般),北京归谷园有限责任公司,金地物业管理有限公司,西二旗小学,
