车道沟南里小区,海淀-车道沟-车道沟南路,116.304539,39.949084,89317,↑1.17%,352,188,暂无数据,1.80元/平米/月,400000m²,3150户,1982年,850,3,12%(低),二建建筑工程有限公司,北京房地产集团有限公司第一物业管理分公司,海淀实验小学北洼路校区,
北洼路32号院,海淀-车道沟-北洼路32号,116.309678,39.940033,80524,↓4.99%,5,24,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,1.2,30%(一般),中国银行,新中物业管理有限公司,
北京电视台家属楼,海淀-车道沟-厂洼西街6号,116.309208,39.961607,121611,↑1.83%,16,8,暂无数据,2.20元/平米/月,暂无数据,暂无数据,2005年,暂无数据,4,40%(高),暂无数据,北京京视物业管理有限公司,海淀实验小学苏州街校区,
七贤村小区,海淀-车道沟-玲珑路,116.312009,39.938848,94585,↓0.64%,31,69,暂无数据,1.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京城建集团有限责任公司,新中物业管理有限公司,
颐安嘉园,海淀-车道沟-玲珑路,116.305772,39.939443,79628,↓5.44%,1,75,暂无数据,3.00元/平米/月,43549m²,170户,2001年,1
半壁街南路1号院,海淀-车道沟-半壁街南路1号,116.307016,39.95673,123610,↑7.86%,6,21,暂无数据,1.90元/平米/月,暂无数据,暂无数据,2004年,30,2,34%(一般),暂无数据,北京首华物业甘家口物业站,
厂洼小区,海淀-车道沟-厂洼中路,116.311506,39.964531,88287,↓0.82%,1,13,暂无数据,1.00元/平米/月,15198m²,220户,1987年,充足,2.83,40%(高),北京长廊房地产开发有限公司,北京青东物业管理中心,海淀实验小学苏州街校区,
美林花园,海淀-车道沟-紫竹院路33号,116.313656,39.952272,92424,↑1.67%,42,107,暂无数据,3.90元/平米/月,150000m²,760户,2000年,临时停车位2,5.76,42%(高),北京辰泰房地产开发有限公司,燕桥物业管理公司,
紫竹院路小区,海淀-车道沟-紫竹院路,116.31391,39.948678,85326,↓1.48%,134,39,暂无数据,1.20元/平米/月,1600m²,1128户,1990年,613,1.3,15%(低),北京城建房地产开发有限公司,北京保全物业管理有限公司,
中海雅园,海淀-车道沟-北洼路,116.308052,39.941666,94895,↑3.22%,147,185,暂无数据,3.00元/平米/月,188000m²,1120户,2000年,每户一位,3.01,40%(高),中海发展（北京）有限公司,中海（世纪）物业管理公司,
北洼东里,海淀-车道沟-北洼路,116.312271,39.945206,96035,↑10.75%,2,37,暂无数据,1.60元/平米/月,200m²,暂无数据,2000年,不足,1.5,40%(高),暂无数据,北京安安物业管理中心,
双紫小区,海淀-车道沟-车道沟南路,116.306198,39.945645,90909,↑0.64%,27,9,暂无数据,0.90元/平米/月,50000m²,800户,1999年,充足,2,40%(高),北京艾维房地产开发有限公司,宝莲物业,
万景公寓,海淀-车道沟-北洼路,116.310269,39.941433,71225,↓6.69%,1,29,暂无数据,2.45元/平米/月,130000m²,3000户,2001年,1500,3.33,12%(低),北京万景房地产开发有限责任公司,北京万佳鑫物业管理有限责任公司,
厂洼街1号院,海淀-车道沟-厂洼街1号,116.312615,39.959369,98085,↑1.72%,18,15,暂无数据,0.60元/平米/月,78000m²,820户,2000年,600,2,30%(一般),暂无数据,北京再博物业管理有限公司,海淀实验小学苏州街校区,
富丽小区,海淀-车道沟-北洼西路,116.306873,39.943973,95624,↓3.99%,8,30,暂无数据,1.20元/平米/月,300000m²,789户,2002年,443,2.8,39%(一般),北京嘉里锦华房地产开发有限公司,北京天弘信物业管理有限公司,
车道沟10号院北区,海淀-车道沟-蓝靛厂南路,116.304342,39.957012,98496,↑3.14%,88,12,暂无数据,0.64元/平米/月,暂无数据,暂无数据,1964年,暂无数据,1,25%(一般),北方房地产开发有限责任公司,北京中兵物业管理有限责任公司,
长昆名居,海淀-车道沟-车道沟东路,116.303838,39.958144,95070,——,8,49,暂无数据,2.05元/平米/月,152000m²,176户,2000年,充足,2.5,40%(高),北京三优实创装饰世纪金源居然之家分部,青东物业管理有限公司,
西三环北路23号院,海淀-车道沟-西三环北路23号,116.313802,39.959288,93929,↓0.20%,1,1,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,五矿房地产有限公司,五矿物业,
紫竹院98号院,海淀-车道沟-紫竹院98号,116.311796,39.949119,73841,↑4.39%,32,4,暂无数据,暂无数据,暂无数据,暂无数据,1984年,暂无数据,2.5,30%(一般),北京城建集团有限责任公司,业主自管,海淀实验小学北洼路校区,
车道沟10号院(南区),海淀-车道沟-紫竹院路,116.308122,39.953493,100093,↓1.64%,141,81,暂无数据,0.64元/平米/月,暂无数据,2000户,1985年,150,2.3,70%(高),北方房地产开发有限责任公司,北京北方家园物业管理有限责任公司,
水岸名居,海淀-车道沟-半壁街南路18号,116.303499,39.95907,94527,↓0.32%,11,1,暂无数据,2.60元/平米/月,180000m²,89户,2006年,1：1.4
华澳中心公寓,海淀-车道沟-紫竹院路31号,116.312861,39.950894,74768,↓3.65%,113,116,暂无数据,2.75元/平米/月,190000m²,760户,1999年,充足，地上车位150元/月,7.6,35%(一般),北京京奥房地产开发有限公司,北京中原华夏物业管理有限公司,
万泽御河湾,海淀-车道沟-蓝靛厂南路,116.304778,39.940281,100000,——,25,104,暂无数据,3.20元/平米/月,92000m²,270户,2008年,456,3,30%(一般),北京万泽碧轩房地产开发有限公司,万泽物业公司,
