龙湖颐和原著,海淀-颐和园-二龙闸路,116.294067,40.003795,112475,↑0.97%,268,2,暂无数据,10.00元/平米/月,1320000m²,暂无数据,2010年,地上车位,0.5,78%(高),北京龙湖置业有限公司,北京龙湖物业管理有限公司,
颐东苑,海淀-颐和园-西苑操场路,116.297025,39.999863,74750,↓2.58%,4,71,暂无数据,暂无数据,22000m²,2100户,1990年,700,1.2,40%(高),暂无数据,暂无数据,
新建宫门路21号院,海淀-颐和园-新建宫门路21号,116.289274,40.000766,87983,↑1.74%,23,1,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1980年,暂无数据,1.2,40%(高),暂无数据,无,
北坞嘉园西里,海淀-颐和园-茶棚路,116.252753,39.984083,68940,↓12.54%,14,66,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京颐泉房产开发公司,北坞嘉园物业管理有限公司,首师大附属玉泉学校小学部,
京泉馨苑东里,海淀-颐和园-影泉路,116.259196,39.9772,52678,↓0.96%,13,82,暂无数据,0.75元/平米/月,暂无数据,暂无数据,2012年,暂无数据,暂无数据,暂无数据,北京青远房地产开发有限公司,玉泉馨苑物业公司,
北大燕北园,海淀-颐和园-圆明园西路,116.292745,40.014942,85927,↑0.38%,123,82,暂无数据,暂无数据,暂无数据,暂无数据,1991年,暂无数据,暂无数据,16%(低),北京宏城房地产开发有限公司,北京九台物业发展有限责任公司,中关村一小天秀校区,
北坞嘉园,海淀-颐和园-北坞嘉园北小街,116.257213,39.98558,81518,↓3.36%,198,303,暂无数据,0.80元/平米/月,暂无数据,1668户,2010年,1
骚子营1号院,海淀-颐和园-大有庄大街,116.290366,40.01293,81937,↑9.72%,29,7,暂无数据,0.50元/平米/月,3000m²,86户,1996年,车位充足,暂无数据,30%(一般),无,街道办事处（委员会）代管物业,
圆明园西路51号院,海淀-颐和园-圆明园西路51号,116.292712,40.018334,84972,↓3.21%,39,23,暂无数据,0.56元/平米/月,20000m²,500户,2000年,400,1.6,20%(一般),暂无数据,业主自管,
中信所西苑小区,海淀-颐和园-西苑操场路,116.298781,39.997809,92801,↑0.11%,33,25,暂无数据,0.80元/平米/月,15000m²,552户,1999年,300,1.2,30%(一般),中国信息研究所,业主自管,
御园,海淀-颐和园-玉泉山路,近厢红旗路,116.261616,40.004945,110735,↑0.53%,336,25,暂无数据,8.00元/平米/月,340500m²,593户,2012年,630,0.68,45%(高),北京兴业万发房地产开发有限公司,北京高力国际物业管理有限公司,
骚子营4号院,海淀-颐和园-大有庄大街,116.289947,40.013992,72012,↑3.94%,0,2,公寓,0.50元/平米/月,暂无数据,暂无数据,1996年,暂无数据,2,32%(一般),无,街道办事处（委员会）代管物业,
骚子营5号院,海淀-颐和园-大有庄大街,116.289896,40.013244,78990,↑13.39%,0,0,暂无数据,1.30元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.8,30%(一般),暂无数据,暂无数据,
好山园,海淀-颐和园-马连洼西路,116.277691,40.012426,48833,↓1.94%,0,1,暂无数据,4.00元/平米/月,暂无数据,暂无数据,2001年,暂无数据,暂无数据,暂无数据,北京万城置地房地产开发有限公司,北京万城置地房地产开发有限公司,
永泰自在香山(别墅),海淀-颐和园-瀚河园路,116.240255,39.982554,35919,——,0,2,暂无数据,暂无数据,暂无数据,暂无数据,2008年,暂无数据,0.67,35%(一般),北京鼎嘉恒房地产开发有限公司,5.6,
门头馨园东区,海淀-颐和园-门头馨东街,116.233289,39.984203,50809,↑0.22%,0,16,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,四季嘉诚物业服务集团有限公司,
西苑操场甲1号院,海淀-颐和园-西苑操场路,116.299248,39.99913,76000,↓5.01%,0,6,暂无数据,暂无数据,暂无数据,暂无数据,1990年,暂无数据,1,30%(一般),无,单位自管物业,
昆明湖花园别墅,海淀-颐和园-昆明湖路37号,116.287541,39.99244,60000,↓0.50%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,0.5,37%(一般),暂无数据,暂无数据,
新建宫门路11号院,海淀-颐和园-新建宫门路11号,116.293523,39.997018,73042,↓38.64%,0,5,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1980年,暂无数据,1.2,30%(一般),无,无,
新建宫门路35号院,海淀-颐和园-新建宫门路35号,116.292767,39.997029,89880,↓2.09%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,30%(一般),无,无,
新建宫门路4号院,海淀-颐和园-新建宫门路4号,116.296415,39.996849,87238,↑6.65%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
新建宫门路5号院,海淀-颐和园-新建宫门路5号,116.295994,39.996852,76561,↓11.80%,0,0,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,无,单位自管物业,
新建宫门路6号院,海淀-颐和园-新建宫门路6号,116.295593,39.996866,90452,↓1.47%,0,0,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),无,单位自管物业,
大有庄100号院,海淀-颐和园-大有庄大街100号,116.28976,40.00866,100000,↓10.33%,0,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中关村一小天秀校区,
六郎庄园子里,海淀-颐和园-六郎庄大街,116.293216,39.990756,47474,——,0,2,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
骚子营2号院,海淀-颐和园-大有庄大街,116.290964,40.013247,69226,↓0.61%,4,15,公寓,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.8,20%(一般),无,街道办事处（委员会）代管物业,
骚子营6号院,海淀-颐和园-大有庄大街,116.289664,40.01438,69467,↓2.76%,5,8,公寓,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2,30%(一般),无,街道办事处（委员会）代管物业,
骚子营3号院,海淀-颐和园-大有庄大街,116.290022,40.013588,77334,↑11.16%,19,7,暂无数据,0.50元/平米/月,暂无数据,72户,1992年,免费,1.71,30%(一般),无,街道办事处（委员会）代管物业,
农业职业学院家属楼,海淀-颐和园-玉泉山路,116.233496,39.997192,56103,↓6.49%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,2.1,30%(一般),暂无数据,业主自管,
西苑操场1号院,海淀-颐和园-万泉河路,116.299986,40.002276,106976,↑9.45%,1,12,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
中坞新村,海淀-颐和园-四季青北坞村路,116.271718,39.985152,48945,↑0.20%,0,3,暂无数据,3.00元/平米/月,暂无数据,暂无数据,1998年,150元,暂无数据,35%(一般),丰台城建集团,业主自管,
新建宫门路36号院,海淀-颐和园-新建宫门路36号,116.291201,39.997108,83993,——,0,13,暂无数据,0.50元/平米/月,2360m²,525户,1982年,地上免费,暂无数据,30%(一般),无,无,
国际关系学院教工住宅,海淀-颐和园-坡上村12号,116.291881,40.010578,81000,↑11.40%,0,2,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,1.5,40%(高),暂无数据,暂无数据,中关村一小天秀校区,
北四环西路89号院,海淀-颐和园-北四环西路89号,116.280936,39.978508,30000,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,4,35%(一般),华润置地,华润置地,
