溪山嘉园东府里,海淀-香山东-旱河路131号,116.245833,39.961983,47055,↓6.35%,85,53,暂无数据,暂无数据,400000m²,1000户,2004年,私家车库，免费地上车位2个/户,2.12,42%(高),北京三九建业房地产开发有限公司,无,
燕西台别墅,海淀-香山东-海淀区巨山路,116.230622,39.950379,99204,↓0.51%,88,102,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
京泉馨苑,海淀-香山东-玉虹南街,116.251165,39.971395,58899,↓10.45%,92,112,暂无数据,0.75元/平米/月,38960m²,566户,2015年,430,1.72,35%(一般),北京美妙时光度假有限公司,中海物业,首师大附属玉泉学校小学部,
常青园北里,海淀-香山东-昆明湖南路11号,116.277913,39.969055,54658,↑1.69%,120,109,暂无数据,1.00元/平米/月,12000m²,暂无数据,2015年,1
和泓四季,海淀-香山东-长青路5号,116.274684,39.967045,59284,↓2.65%,75,222,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京东和伟业房地产开发有限公司,北京和泓物业服务有限公司,
天香颐北里,海淀-香山东-闵庄南路,116.254891,39.975871,78947,↓3.94%,1,38,暂无数据,0.60元/平米/月,100000m²,2016户,2001年,150元/车位/月,1.1,30%(一般),北京顺天通房地产开发有限公司,中咨物业管理有限公司,首师大附属玉泉学校小学部,
西山新村,海淀-香山东-黑塔路,116.238559,39.963164,81538,↑8.59%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,150元/车位/月,0.68,21%(一般),北京金地融侨房地产开发有限公司,暂无数据,
檀香山,海淀-香山东-旱河路,116.256913,39.959301,120500,↓0.21%,87,3,暂无数据,4.00元/平米/月,295000m²,138户,2012年,1：2,0.58,47%(高),北京创辉房地产开发有限公司,北京创辉物业管理有限公司,
德顺园,海淀-香山东-燕桥金路,116.262962,39.958776,51144,↓3.76%,23,58,暂无数据,1.00元/平米/月,暂无数据,108户,2006年,1200一年,暂无数据,31%(一般),青远房地产开发有限公司,开发商自建自管,首师大附小,
四季香山,海淀-香山东-旱河路,116.253284,39.966401,116759,↑2.02%,41,72,暂无数据,2.92元/平米/月,234300m²,483户,2004年,1
御墅临枫(别墅),海淀-香山东-闵庄路,116.250157,39.976073,89340,↓4.50%,71,111,别墅,4.50元/平米/月,250000m²,1158户,2006年,1200,0.2,31%(一般),北京润地房地产综合开发有限公司,北京合润物业有限公司,
西山美墅馆,海淀-香山东-南旱河路301号,116.243504,39.964873,96900,↓4.65%,737,368,暂无数据,4.00元/平米/月,1000000m²,1000户,2004年,1：1.5,0.67,50%(高),北京三九建业房地产开发有限公司,世邦魏理仕国际物业管理顾问公司,
燕西台公寓(别墅),海淀-香山东-巨山路,116.23285,39.951417,99174,↑0.47%,125,190,暂无数据,5.00元/平米/月,56900m²,226户,2009年,每户2个,1.05,30%(一般),北京新凤凰城房地产开发有限公司,北京中经物业管理有限公司,
巨山馨苑,海淀-香山东-杏石口路,116.233166,39.948669,58890,↓3.84%,25,32,暂无数据,0.50元/平米/月,暂无数据,300户,2007年,150元/车位/月,1.5,35%(一般),北京新凤凰城房地产开发有限公司,街道办事处（委员会）代管物业,
香山四季,海淀-香山东-旱河路,近西冉北街,116.260219,39.959077,133251,↑36.85%,1,0,暂无数据,7.50元/平米/月,暂无数据,暂无数据,2017年,暂无数据,1.8,31%(一般),北京中城辉煌房地产开发有限公司,北京七一嘉和物业管理有限公司,
西山枫林三区,海淀-香山东-香山南路,116.215141,39.948716,56441,↓0.49%,74,6,暂无数据,1.65元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京和鸿物业公司,
颐香锦苑,海淀-香山东-闵庄路38号,116.256475,39.976751,45994,——,0,0,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
闵庄路甲18号院,海淀-香山东-闵庄路甲18号,116.257203,39.975372,72428,↓1.19%,0,8,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,上工物业管理公司,
闵庄南里,海淀-香山东-影泉路,116.260118,39.97498,72023,↓1.07%,0,3,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,中咨房地产开发有限公司,中咨物业管理有限公司,
清雅苑,海淀-香山东-昆明湖南路13号,116.278605,39.970605,6875,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
瀚河园,海淀-香山东-瀚河园路,116.242304,39.980532,34415,↓0.34%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,35%(一般),永泰房地产（集团）有限公司,润泽枫林物业管理公司,
京香花园中区,海淀-香山东-清琴路,116.220923,39.980204,87690,↓2.35%,0,0,暂无数据,3.00元/平米/月,暂无数据,暂无数据,1996年,暂无数据,暂无数据,60%(高),保利(北京)房地产开发有限公司,西山物业,
中间建筑,海淀-香山东-杏石口路50号,116.238263,39.958235,73206,——,0,152,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
西山美墅馆E区,海淀-香山东-星河路,116.247635,39.964283,100885,↑2.96%,131,1,暂无数据,暂无数据,暂无数据,暂无数据,2003年,暂无数据,1,15%(低),北京新普纪元房地产开发有限公司,北京当代物业管理有限公司,
门头馨园南区,海淀-香山东-门头馨东街,116.229316,39.982064,55244,↑1.05%,18,12,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,四季嘉诚物业服务有限公司,
东冉家园,海淀-香山东-长青路,116.279698,39.96694,57220,↓18.61%,2,3,暂无数据,0.55元/平米/月,20000m²,1600户,2000年,150元/车位/月,1.3,30%(一般),长大开发商,东冉物业,
香山清琴麓苑,海淀-香山东-闵庄路80号,116.230996,39.976343,108501,↑5.62%,56,10,暂无数据,6.00元/平米/月,暂无数据,暂无数据,2008年,暂无数据,0.28,45%(高),北京兴荣基房地产开发有限公司,第一太平融科物业管理公司|北辰信和物业管理公司,
西山美墅馆(别墅),海淀-香山东-南旱河路301号,116.243804,39.964783,115627,↑13.46%,98,6,暂无数据,暂无数据,暂无数据,暂无数据,2004年,暂无数据,0.67,50%(高),北京三九建业房地产开发有限公司,5,
御墅临枫,海淀-香山东-闵庄路,近旱河路,116.249914,39.976178,89576,↓0.98%,207,83,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
门头馨园北区,海淀-香山东-头馨东街,116.231778,39.985885,61253,↑5.27%,31,94,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2014年,暂无数据,暂无数据,暂无数据,暂无数据,四季嘉诚物业服务集团有限公司,
昆明湖南路1号院,海淀-香山东-昆明湖南路1号,116.279969,39.974651,67404,↓0.58%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1.3,30%(一般),北京市泰华房地产开发集团有限公司,北京东光物业管理有限公司,
昆明湖南路甲7号院,海淀-香山东-昆明湖南路甲7号,116.279554,39.97312,100404,↓0.39%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
香山甲第,海淀-香山东-闵庄路,116.253828,39.978118,65666,↓5.71%,0,0,暂无数据,4.00元/平米/月,130000m²,285户,2006年,地上150/月,0.5,35%(一般),北京市物华天宝房地产开发有限公司,北京市物华天宝房地产开发有限公司,
天香颐中里,海淀-香山东-闵庄南路,116.255225,39.969006,22497,——,0,13,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2005年,暂无数据,1.28,30%(一般),暂无数据,业主自管,首师大附属玉泉学校小学部,
永泰自在香山,海淀-香山东-瀚河园路,116.239955,39.982644,54723,↑2.79%,0,150,暂无数据,5.60元/平米/月,200000m²,356户,2008年,1：2,0.67,35%(一般),北京鼎嘉恒房地产开发有限公司,深圳金地物业管理公司,
闵航路29号院,海淀-香山东-闵航路29号,116.258871,39.973053,57404,↓0.68%,0,0,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
天香颐南里,海淀-香山东-闵庄南路,116.255429,39.968644,52500,↑3.92%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.1,30%(一般),中咨房地产开发有限公司,中咨物业管理有限公司,首师大附属玉泉学校小学部,
闵航路19号院,海淀-香山东-闵航路19号,116.259733,39.975717,78642,↓1.45%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
闵航路21号东院,海淀-香山东-闵航路,116.259786,39.975417,78642,↓1.45%,0,0,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
