香山艺墅,海淀-香山西-香山南路,116.21536,39.969856,94681,↓0.82%,83,50,暂无数据,4.90元/平米/月,34000m²,128户,2003年,有自带的停车位,0.68,30%(一般),北京香山艺墅房地产开发有限公司,北京燕侨物业管理有限责任公司,
西山美庐,海淀-香山西-香山南路99号,116.218258,39.958912,138911,↓6.02%,50,7,暂无数据,6.00元/平米/月,90200m²,100户,2006年,200,0.41,70%(高),香山双新房地产公司,乔乐物业服务有限公司,
香山别墅,海淀-香山西-枫林路,116.201706,39.999132,174583,↑30.71%,1,0,暂无数据,6.20元/平米/月,暂无数据,暂无数据,2004年,暂无数据,0.79,48%(高),北京北辰实业股份有限公司,北京北辰信和物业管理有限责任公司,
煤厂街27号院,海淀-香山西-煤厂街27号,116.205462,40.000445,54433,↓4.44%,13,0,暂无数据,暂无数据,15000m²,300户,1989年,200,1.5,30%(一般),香山饭店,香山饭店集团,
红旗村六号院,海淀-香山西-香山南路,116.213221,39.98541,65389,↑37.32%,6,1,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
门头馨村南区,海淀-香山西-香山南路,116.216265,39.974925,55374,↑0.25%,16,58,普通住宅,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1.7,33%(一般),北京京香伟业房地产开发公司,北京四季嘉诚物业管理有限公司,
双新园,海淀-香山西-香山南路87号,116.218429,39.964985,50406,↑7.54%,10,2,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,0.8,30%(一般),北京金时代置业有限公司,业主自管,
门头馨村北二区,海淀-香山西-闵庄路,116.222014,39.983503,54588,↓0.10%,48,47,暂无数据,暂无数据,暂无数据,暂无数据,2005年,暂无数据,2,30%(一般),北京京香伟业房地产开发公司,北京四季嘉诚物业管理有限公司,
西山枫林四区,海淀-香山西-香山南路,116.203131,39.952582,53787,↓2.57%,56,18,暂无数据,1.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京和泓物业公司,
香山清琴,海淀-香山西-团城路,近清琴路,116.224178,39.985589,145231,↓0.01%,603,30,别墅,暂无数据,暂无数据,暂无数据,2008年,暂无数据,0.78,40%(高),北京兴荣基房地产开发有限公司,第一太平融科物业管理（北京）有限公司,
香山植物园家属院,海淀-香山西-香山一棵松53号,116.217576,39.996396,50649,↑5.21%,3,0,暂无数据,0.50元/平米/月,12000m²,暂无数据,2015年,280元/车位/月,1,20%(一般),暂无数据,业主自管,
香山南路19号院,海淀-香山西-香山南路19号,116.21179,39.990845,80775,↓0.88%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
煤厂街26号院,海淀-香山西-煤厂街26号,116.202568,40.000037,54074,↓0.41%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
香山煤厂街26号院,海淀-香山西-香山煤厂街26号,116.202366,40.000196,61000,↑7.64%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
香山南路87号院,海淀-香山西-香山南路87号,116.212029,39.968271,39700,↓0.88%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,26%(一般),暂无数据,暂无数据,
香山橡胶厂家属院,海淀-香山西-香山南路,116.216243,39.997629,38257,↓0.88%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
京香花园,海淀-香山西-清琴路,116.220784,39.980541,32615,↓1.08%,0,0,暂无数据,3.00元/平米/月,150000m²,225户,1996年,1
巨山家园,海淀-香山西-香山南路,116.21623,39.987495,48026,↑3.28%,0,0,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2008年,充足,1.8,30%(一般),北京新凤凰城房地产开发有限公司,北京新凤凰城开发公司,
香邑山,海淀-香山西-正黄旗村路,116.212031,39.994102,69806,↓6.09%,1,0,暂无数据,6.80元/平米/月,11817m²,2000户,2006年,1
