月季园小区,海淀-马甸-马甸西路,116.380877,39.977811,87027,↓1.70%,150,168,暂无数据,1.50元/平米/月,500000m²,2155户,1997年,300,1.5,30%(一般),北京京煤集团有限责任公司门城物业管理分公司,北京务实物业管理中心,
西土城路8号院,海淀-马甸-西土城路8号,116.363693,39.971596,84564,↓7.52%,19,26,暂无数据,1.50元/平米/月,35000m²,暂无数据,2001年,150元/车位/月,1.5,40%(高),交通部交通科学研究院,单位自管物业,
北三环中路43号院,海淀-马甸-北三环中路43号,116.378882,39.979162,92128,↓1.52%,33,37,暂无数据,1.00元/平米/月,1000m²,1250户,1999年,200,1,20%(一般),北京东亚信诚国际会展中心有限公司,社区物业,
新街口外大街15号院,海淀-马甸-新街口外大街15号,116.376656,39.969335,87398,↓15.39%,15,7,暂无数据,0.80元/平米/月,88000m²,566户,2015年,暂无数据,1.6,33%(一般),北京惠安兴业房地产开发有限责任公司,街道办事处代管物业,
冠城南园,海淀-马甸-马甸东路,116.383791,39.978742,95848,——,66,39,暂无数据,3.00元/平米/月,暂无数据,暂无数据,1998年,暂无数据,3.2,30%(一般),北京博宏房地产开发有限公司,北京冠海物业管理公司,
北师大家属院,海淀-马甸-新街口外大街5号,116.376264,39.970867,90125,↓7.85%,6,42,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1993年,暂无数据,暂无数据,30%(一般),暂无数据,北师大后勤物业服务中心,
冠城北园,海淀-马甸-马甸东路,116.383311,39.980344,93796,↓0.40%,226,44,暂无数据,3.00元/平米/月,120000m²,1100户,2002年,800个,3,46%(高),北京博宏房地产开发有限公司,北京冠海物业管理公司,
师大北路21号院,海淀-马甸-师大北路21号,116.366351,39.971279,96113,↓5.57%,77,9,暂无数据,1.50元/平米/月,50000m²,512户,2000年,180,2.6,35%(一般),中华人民共和国国务院,街道办事处代管物业,
花园路14号院,海淀-马甸-花园路14号,116.373104,39.977694,90332,↓2.54%,3,15,公寓,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,业主自营,
船舶工业宿舍,海淀-马甸-月季园甲7号,116.381879,39.978124,98174,↓0.88%,1,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,公司自管,
