柳浪家园北里,海淀-马连洼-树村路,116.303363,40.038509,49598,↑1.01%,72,244,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2014年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
紫成嘉园,海淀-马连洼-厢黄旗东路,116.300582,40.036204,85278,↑3.49%,2,131,暂无数据,2.36元/平米/月,165000m²,1124户,2015年,1
白家疃小区,海淀-马连洼-白家疃路,116.186567,40.048377,32038,↑0.01%,1,2,暂无数据,1.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
七彩华园,海淀-马连洼-农大南路,116.302518,40.028879,78187,↓2.60%,42,216,暂无数据,暂无数据,111260m²,767户,2000年,租地上150元/月
天秀花园荷塘月舍,海淀-马连洼-天秀路,116.286574,40.026708,84227,↓8.79%,4,12,暂无数据,暂无数据,54550m²,335户,2004年,300,1.1,30%(一般),北京海开房地产股份有限公司,北京海开倚源物业管理有限公司,中关村一小天秀校区,
博雅西园,海淀-马连洼-农大南路,116.301087,40.031692,91155,↑0.42%,89,263,暂无数据,2.40元/平米/月,200000m²,1215户,2005年,1
菊园,海淀-马连洼-马连洼北路,116.297292,40.038828,73043,↓1.72%,274,200,暂无数据,0.80元/平米/月,27000m²,1155户,1998年,充足,2.21,30%(一般),北京安达房地产开发公司,北京东居物业管理有限公司,中关村一小天秀校区,
天秀花园古月园,海淀-马连洼-天秀路,116.278344,40.02937,85272,↑1.83%,89,82,暂无数据,暂无数据,168000m²,718户,2003年,730,1.1,39%(一般),北京海开房地产股份有限公司,北京海开倚源物业管理有限公司,中关村一小天秀校区,
天秀花园安和园,海淀-马连洼-天秀路,116.279613,40.026279,90198,↓4.22%,111,127,暂无数据,0.80元/平米/月,408100m²,900户,2000年,500,1.1,30%(一般),北京海开房地产股份有限公司,北京安居物业管理有限公司,中关村一小党校校区,
百旺家苑,海淀-马连洼-马连洼北路,116.27486,40.032154,82559,↓1.07%,220,310,暂无数据,1.18元/平米/月,200000m²,1403户,2003年,不收费,1.1,50%(高),北京德成兴业房地产开发有限公司,北京华特物业管理有限公司,中关村二小百旺校区,
西山庭院,海淀-马连洼-天秀南一路,116.281432,40.02412,103879,↑3.05%,108,156,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,1.13,30%(一般),北京海开，万科房地产开发有限责任公司,北京北宇物业服务公司,
兰园小区,海淀-马连洼-圆明园西路,116.282054,40.037532,70436,↓3.46%,158,137,暂无数据,0.90元/平米/月,暂无数据,暂无数据,1999年,暂无数据,1.9,30%(一般),北京正圆房地产开发有限公司,北京安居物业管理有限公司,中关村一小天秀校区,
圆明园花园别墅,海淀-马连洼-圆明园西路1-5号,116.29892,40.025254,70401,↑0.17%,127,63,暂无数据,2.48元/平米/月,暂无数据,暂无数据,1998年,暂无数据,1.2,31%(一般),北京圆明园花园别墅有限公司,北京大华邦物业管理有限责任公司,北大附小肖家河分校,
菊花盛苑,海淀-马连洼-竹园东街,116.294858,40.039486,74964,——,6,4,暂无数据,0.80元/平米/月,6000m²,162户,2000年,200,2,20%(一般),北京海开房地产股份有限公司,北京东居物业管理有限公司,中关村一小天秀校区,
丰泽盈和,海淀-马连洼-圆明园西路2号,116.29329,40.028283,77099,↑0.51%,2,40,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1996年,暂无数据,暂无数据,暂无数据,暂无数据,北京中保益农物业管理有限公司,中关村一小天秀校区,
