韦伯豪家园,海淀-魏公村-中关村南大街,116.326676,39.960082,104715,↓3.73%,233,264,暂无数据,1.41元/平米/月,125000m²,1003户,2001年,600,3,30%(一般),北京魏公元鼎房地产开发有限责任公司,北京海房物业管理中心,
魏公村路8号院,海淀-魏公村-魏公村路8号,116.322843,39.962277,102767,↑0.21%,46,26,暂无数据,1.70元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,河北伟强房地产开发有限公司,北京中慧元物业管理有限公司,
三义庙北区,海淀-魏公村-北三环西路,116.322684,39.970052,83621,↓3.31%,117,153,暂无数据,0.30元/平米/月,暂无数据,暂无数据,1995年,暂无数据,1.5,15%(低),暂无数据,暂无数据,
鑫德嘉园,海淀-魏公村-民族大学西路66号,116.324164,39.955116,81734,↓4.04%,9,28,暂无数据,2.40元/平米/月,42000m²,360户,2001年,停车位充足，地上车位150元/月,3.2,35%(一般),北京金鹏房地产开发有限公司,敦富（北京）物业管理有限公司,
万寿寺北里,海淀-魏公村-紫竹院路,116.317562,39.958575,103499,↑0.16%,1,66,暂无数据,暂无数据,35000m²,745户,1983年,先到先停,1.5,40%(高),暂无数据,明洁物业管理有限公司,
中关村南大街5号院,海淀-魏公村-中关村南大街5号,116.322879,39.96893,87421,↑7.47%,2,48,暂无数据,暂无数据,20000m²,600户,1980年,600,1.2,20%(一般),暂无数据,业主自管,
民族学院南路7号院,海淀-魏公村-民族学院南路7号,116.326894,39.95676,133170,↑19.33%,3,5,暂无数据,暂无数据,暂无数据,暂无数据,1980年,20,1,35%(一般),暂无数据,业主自管,
私摩空间,海淀-魏公村-法华寺街27号,116.319756,39.957519,96086,↑8.16%,24,42,暂无数据,2.80元/平米/月,1100m²,204户,2003年,1：1,1.2,10%(低),北京海润房地产开发有限公司,北京恒宝升物业服务有限公司,
魏公村北区,海淀-魏公村-魏公村路,116.32619,39.961718,99865,↓4.61%,1,41,暂无数据,3.00元/平米/月,48900m²,5500户,1986年,充足,1.2,25%(一般),北京颐安房地产股份有限公司,业主自管,
万寿寺甲4号院,海淀-魏公村-万寿寺路,116.320896,39.955479,87797,↓1.68%,1,2,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,业主自管,
航天五院小区,海淀-魏公村-白石桥路,116.328353,39.953041,109787,↓5.44%,1,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),北京城建房地产开发有限公司,暂无数据,
中关村南大街31号院,海淀-魏公村-中关村南大街31号,116.329403,39.953307,119676,↓2.36%,51,15,暂无数据,2.72元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.1,30%(一般),北京城建集团有限责任公司,北京神舟天辰物业服务有限公司,
民族大学南路11号院,海淀-魏公村-民族大学南路11号,116.323116,39.952665,99553,↓2.10%,3,2,暂无数据,0.60元/平米/月,5000m²,108户,2015年,68,暂无数据,30%(一般),暂无数据,业主自管,
法华寺小区,海淀-魏公村-法华寺路1号,116.320733,39.956669,96029,↓1.68%,47,8,暂无数据,暂无数据,暂无数据,暂无数据,1994年,暂无数据,2,30%(一般),北京城建集团有限责任公司,业主自管,
民族大学南路19号院,海淀-魏公村-民族大学南路19号,116.325286,39.953798,98731,↓0.88%,11,5,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
三义庙南里,海淀-魏公村-北三环西路64号,116.318341,39.968784,91088,↓4.06%,2,15,暂无数据,暂无数据,暂无数据,暂无数据,2010年,暂无数据,1.5,15%(低),北京第三建筑公司,业主自管,
苏园公寓,海淀-魏公村-中关村南大街1号,116.32531,39.971425,78261,↓1.93%,0,0,暂无数据,0.36元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
北京外国语大学家属院,海淀-魏公村-西三环北路,116.319022,39.958851,85714,——,0,9,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2,30%(一般),暂无数据,业主自管,
万寿寺甲3号院,海淀-魏公村-万寿寺路,116.321163,39.952134,63333,——,0,2,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,35%(一般),暂无数据,暂无数据,
民大附中家属区,海淀-魏公村-民族大学西路,116.322204,39.95603,115357,↑18.58%,0,16,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.4,32%(一般),暂无数据,后勤产业集团,
民族歌舞团宿舍,海淀-魏公村-中关村南大街19号,116.32902,39.958884,--,--,0,1,公寓,1.90元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.5,30%(一般),首创置业股份有限公司,业主自管,
民族印刷厂宿舍,海淀-魏公村-民族大学西路,116.322158,39.959886,97844,↓4.25%,0,0,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
航天部5院小区,海淀-魏公村-白石桥路,116.328353,39.953041,124164,——,0,0,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2.5,30%(一般),暂无数据,航天五院,
中关村南大街19号院,海淀-魏公村-中关村南大街19号,116.328885,39.958934,85763,——,0,26,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1.3,30%(一般),暂无数据,业主自管,
中央社会主义学院宿舍,海淀-魏公村-万寿寺路,116.322369,39.95488,50000,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
总政歌舞团小区,海淀-魏公村-万寿寺甲27号,116.317426,39.954351,83261,↓1.81%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,2001年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
魏公村小区,海淀-魏公村-学院南路82号,116.325088,39.961557,106090,↑0.21%,0,2,暂无数据,0.60元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,农科院附小,
民族大学西路60号院,海淀-魏公村-民族大学西路60号,116.324342,39.956402,97288,——,3,4,暂无数据,暂无数据,500m²,260户,2000年,40,1,30%(一般),暂无数据,业主自管,
农影小区,海淀-魏公村-中关村南大街乙10号,116.329831,39.968054,81538,↓5.82%,8,5,暂无数据,暂无数据,89000m²,844户,2001年,地上150元/月,1.6,23%(一般),暂无数据,业主自管,农科院附小,
中央民族大学社区,海淀-魏公村-法华寺路,116.321088,39.958346,94016,↓1.23%,60,26,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,20%(一般),暂无数据,后勤产业集团,
悦园悦莱苑,海淀-魏公村-西三环北路,116.317283,39.959063,96999,——,0,20,暂无数据,2.80元/平米/月,14403m²,239户,2015年,70个左右,距项目50米内有市政停车位上,2.66,30%(一般),北京正阳置业房地产开发有限公司,北京都市广宇物业管理有限公司,
厂洼10号院,海淀-魏公村-厂洼路,116.311098,39.966249,100000,——,0,11,公寓,1.00元/平米/月,8000m²,1200户,1998年,》100个,1.2,40%(高),北京城建集团有限责任公司,业主自管,
中央民族大学家属院,海淀-魏公村-中关村南大街27号,116.320638,39.957592,97202,↓0.36%,0,2,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,充足,1.88,20%(一般),暂无数据,业主自管,
