钓鱼台7号院,海淀-甘家口-阜成路南二街,116.32852,39.925652,149578,——,332,63,暂无数据,9.50元/平米/月,43383m²,106户,2011年,1：2.5,2.58,50%(高),中赫置地投资控股有限公司,中粮凯莱物业,
阜光里小区,海淀-甘家口-阜成路北二街,116.328584,39.933004,91488,↑0.50%,38,79,暂无数据,1.80元/平米/月,60000m²,550户,1998年,充足,1.5,30%(一般),北京城建房地产开发有限公司,北京中建物业管理有限公司,
阜成路33号院,海淀-甘家口-阜成路33号,116.319879,39.931473,112462,↑1.28%,105,23,普通住宅,1.50元/平米/月,暂无数据,暂无数据,1997年,暂无数据,2.5,30%(一般),暂无数据,小区物业,海淀实验小学阜成路校区,
增光路44号院,海淀-甘家口-增光路44号,116.325445,39.932997,94920,↓0.22%,11,10,暂无数据,2.50元/平米/月,9756m²,125户,1980年,充足,3,30%(一般),北京冠德房地产开发有限责任公司,北京德宏物业管理有限公司,海淀实验小学阜成路校区,
增光佳苑,海淀-甘家口-增光路27号,116.331716,39.934261,84484,↓1.86%,46,108,暂无数据,2.60元/平米/月,60639m²,362户,2001年,充足,3.8,32%(一般),北京都禾房地产开发公司,东方大学物业管理有限公司,
阜北社区,海淀-甘家口-阜成路,116.334767,39.929663,94661,↓1.06%,71,20,暂无数据,暂无数据,160000m²,300户,2002年,无,暂无数据,45%(高),二建建筑工程有限公司,业主自管,
阜南小区,海淀-甘家口-阜成路,116.333101,39.927849,103798,↑14.34%,18,17,暂无数据,0.10元/平米/月,26m²,500户,2015年,150元/车位/月,1,20%(一般),北京首钢房地产开发有限公司,单位自管物业,
中海馥园,海淀-甘家口-增光路37号,116.327649,39.934735,109586,↑0.17%,86,113,暂无数据,3.25元/平米/月,130000m²,998户,2003年,886,3.9,40%(高),北京中海地产有限公司,北京中海物业管理有限公司,
建设部大院,海淀-甘家口-三里河路9号,116.337149,39.936698,109862,↓0.23%,239,121,暂无数据,1.50元/平米/月,25000m²,5423户,1996年,2个大型停车场,3.1,35%(一般),暂无数据,北京万科物业管理有限公司,
增光路16号院,海淀-甘家口-增光路16号,116.338305,39.93351,86242,↓0.58%,23,5,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2,20%(一般),暂无数据,单位自管物业,
甘家口小区,海淀-甘家口-甘百路,116.336058,39.931894,90388,↓0.75%,379,274,暂无数据,1.75元/平米/月,60000m²,258户,1996年,充足,1.5,10%(低),北京凯威房地产开发有限公司,北京羲和物业管理中心,
增光路36号院,海淀-甘家口-增光路36号,116.330411,39.933642,88377,↑2.78%,6,7,暂无数据,1.80元/平米/月,30000m²,390户,1999年,60,2,40%(高),北京城建集团有限责任公司,北京中建物业管理有限公司,
景王坟小区,海淀-甘家口-增光路,116.333286,39.935311,104261,↑3.66%,13,7,暂无数据,1.00元/平米/月,60000m²,832户,2015年,60,1.3,40%(高),东城区住宅发展有限公司,单位自管物业,
增光路21号院,海淀-甘家口-增光路21号,116.336917,39.934078,103701,↑2.79%,11,2,暂无数据,2.00元/平米/月,300000m²,暂无数据,1997年,充足,2.41,46%(高),中国纺织部,单位自管物业,首师大实验小学,
